service,total_pct,female_pct,male_pct
Agricultural practices,55.8,56.3,43.7
Post-harvest handling and storage,14.6,54.3,45.7
Erosion control measures,27.1,55.1,44.9
Horticulture skills,15.5,57.1,42.9
Animal production and nutrition,8.8,52.8,47.2
Veterinary services,6.8,52.6,47.4
Agribusiness skills,6.2,51.8,48.2
Weather and climate information products/ services,11.9,53.3,46.7
Saving,19.1,55.9,44.1
Integrated pest management,13.4,54.4,45.6
Nutrition and food security,20.4,57.8,42.2
Smart Nkunganire,13.7,52.0,48.0
