"Table 1: Resident population by sex, Province, District and population density",,,,,,
,Province/ Districts,Counts,,,Population share (% of the total population),Population density
,,Both sexes,Male,Female,Both sexes,
,Rwanda,13246394,6429326,6817068,100,503
,City of Kigali ,1745555,888882,856673,13.2,2401
,Nyarugenge,374319,195780,178539,2.8,2830
,Gasabo,879505,443987,435518,6.6,2056
,Kicukiro,491731,249115,242616,3.7,2944
,Southern Province ,3002699,1448455,1554244,22.7,547
,Nyanza,365718,178645,187073,2.8,545
,Gisagara,397051,188965,208086,3,584
,Nyaruguru,318126,151980,166146,2.4,409
,Huye,381900,188859,193041,2.9,657
,Nyamagabe,371501,176725,194776,2.8,441
,Ruhango,359121,172096,187025,2.7,573
,Muhanga,358433,173615,184818,2.7,555
,Kamonyi,450849,217570,233279,3.4,683
,Western Province ,2896484,1384635,1511849,21.9,693
,Karongi,373869,178417,195452,2.8,482
,Rutsiro,369180,176498,192682,2.8,565
,Rubavu,546683,267299,279384,4.1,1614
,Nyabihu,319047,150072,168975,2.4,642
,Ngororero,367955,171065,196890,2.8,551
,Rusizi,485529,236426,249103,3.7,871
,Nyamasheke,434221,204858,229363,3.3,632
,Northern Province ,2038511,972960,1065551,15.4,663
,Rulindo,360144,171849,188295,2.7,635
,Gakenke,365292,172600,192692,2.8,520
,Musanze,476522,227340,249182,3.6,1157
,Burera,387729,184782,202947,2.9,682
,Gicumbi,448824,216389,232435,3.4,544
,Eastern Province ,3563145,1734394,1828751,26.9,433
,Rwamagana,484953,243794,241159,3.7,740
,Nyagatare,653861,318740,335121,4.9,373
,Gatsibo,551164,264461,286703,4.2,435
,Kayonza,457156,221448,235708,3.5,338
,Kirehe,460860,221763,239097,3.5,398
,Ngoma,404048,192720,211328,3.1,498
,Bugesera,551103,271468,279635,4.2,450
