"Table 2: Resident population by residence, Province, and District",,,,,,,
,Province/District,Count,,,Percentage,,
,,Total,Urban,Rural,Total,Urban,Rural
,Rwanda,13246394,3701245,9545149,100,27.9,72.1
,City of Kigali,1745555,1517168,228387,100,86.9,13.1
,Nyarugenge,374319,315899,58420,100,84.4,15.6
,Gasabo,879505,714069,165436,100,81.2,18.8
,Kicukiro,491731,487200,4531,100,99.1,0.9
,Southern Province,3002699,444106,2558593,100,14.8,85.2
,Nyanza,365718,33765,331953,100,9.2,90.8
,Gisagara,397051,13513,383538,100,3.4,96.6
,Nyaruguru,318126,7641,310485,100,2.4,97.6
,Huye,381900,79744,302156,100,20.9,79.1
,Nyamagabe,371501,40592,330909,100,10.9,89.1
,Ruhango,359121,39079,320042,100,10.9,89.1
,Muhanga,358433,87252,271181,100,24.3,75.7
,Kamonyi,450849,142520,308329,100,31.6,68.4
,Western Province,2896484,640307,2256177,100,22.1,77.9
,Karongi,373869,33542,340327,100,9,91
,Rutsiro,369180,20606,348574,100,5.6,94.4
,Rubavu,546683,294448,252235,100,53.9,46.1
,Nyabihu,319047,78027,241020,100,24.5,75.5
,Ngororero,367955,18142,349813,100,4.9,95.1
,Rusizi,485529,162165,323364,100,33.4,66.6
,Nyamasheke,434221,33377,400844,100,7.7,92.3
,Northern Province,2038511,353729,1684782,100,17.4,82.6
,Rulindo,360144,38110,322034,100,10.6,89.4
,Gakenke,365292,14788,350504,100,4,96
,Musanze,476522,234258,242264,100,49.2,50.8
,Burera,387729,38442,349287,100,9.9,90.1
,Gicumbi,448824,28131,420693,100,6.3,93.7
,Eastern Province,3563145,745935,2817210,100,20.9,79.1
,Rwamagana,484953,180056,304897,100,37.1,62.9
,Nyagatare,653861,157894,495967,100,24.1,75.9
,Gatsibo,551164,55351,495813,100,10,90
,Kayonza,457156,65071,392085,100,14.2,85.8
,Kirehe,460860,29039,431821,100,6.3,93.7
,Ngoma,404048,37297,366751,100,9.2,90.8
,Bugesera,551103,221227,329876,100,40.1,59.9
