Table 3: Number and population share (%) of some specific interventions target groups by sex,,,,,,,
,  Specific age,Population,,,Percentage,,
, group,Both sexes,Male,Female,Both sexes,Male,Female
,Total Resident ,13246394,6429326,6817068,100,48.5,51.5
,Population,,,,,,
,<1,339900,170246,169654,2.6,1.3,1.3
,<5,1708460,856228,852232,12.9,6.5,6.4
, 1-4,1368560,685982,682578,10.3,5.2,5.2
, 3-5,1071139,536957,534182,8.1,4.1,4
, 3-6,1425212,713927,711285,10.8,5.4,5.4
,0-15,5270262,2637972,2632290,39.8,19.9,19.9
,0-17,5896601,2949970,2946631,44.5,22.3,22.2
, 6-11,1937762,970363,967399,14.6,7.3,7.3
, 7-12,1894300,948050,946250,14.3,7.2,7.1
, 12-17,1886896,940635,946261,14.2,7.1,7.1
,13-18,1868015,931523,936492,14.1,7,7.1
,14+,8619109,4111820,4507289,65.1,31,34
,14-35,5153898,2536585,2617313,38.9,19.1,19.8
,16-30,3595670,1767063,1828607,27.1,13.3,13.8
,15-24,2683890,1322706,1361184,20.3,10,10.3
,16-24,2370440,1166123,1204317,17.9,8.8,9.1
,15-49,6716136,3270471,3445665,50.7,24.7,26
,16-64,7424204,3571680,3852524,56,27,29.1
,16+,7976132,3791354,4184778,60.2,28.6,31.6
,18+,7349793,3479356,3870437,55.5,26.3,29.2
,21+,6492924,3056093,3436831,49,23.1,25.9
,60+,862929,356467,506462,6.5,2.7,3.8
,65+,551928,219674,332254,4.2,1.7,2.5
