Table 8: Population aged 15 years and above by language(s) of literacy[1],,,,,,,
,Language,Province,,,,,
,,Rwanda,City of Kigali,Southern,Western,Northern,Eastern
,,,,,,,
,  Total Counts,8289582,1182667,1888697,1752855,1298763,2166600
, %,100,100,100,100,100,100
,Kinyarwanda only,54,46.5,55.9,54.2,56.1,55.2
,English only,0,0.2,0,0,0,0
,French only,0,0,0,0,0,0
,Swahili only,0,0,0,0,0,0
,Kinyarwanda and English,14.1,21.6,11.7,13,13.1,13.8
,Kinyarwanda and French,1.9,2.5,1.7,1.6,2,1.8
,Kinyarwanda and Swahili,0.7,1.7,0.4,0.8,0.3,0.7
,"Kinyarwanda, English and French",4.1,9.6,3.3,3,3.6,2.9
,"Kinyarwanda, English and Swahili",1,2.5,0.6,0.7,0.6,0.8
,"Kinyarwanda, English, French and Swahili",1.5,4.6,0.9,1.1,0.9,1
,Other,1.4,4.3,0.5,0.9,0.6,1.3
,,21.2,6.5,24.9,24.7,22.8,22.4
,Not stated,0,0.1,0,0,0,0
,"[1] Literacy means here being able to read, to write and to understand any language",,,,,,
