"Table 9: Population by highest level of educational attended[1], sex and residence",,,,,,,
,Level of education attended,Counts,,,%,,
,,Both sexes,Male,Female,Both sexes,Male,Female
,,,,,,,
,Rwanda,13246394,6429326,6817068,100,100,100
,Never attended ,2954770,1358360,1596410,22.3,21.1,23.4
,School,,,,,,
,Pre-nursery/ECD,293449,143112,150337,2.2,2.2,2.2
,Nursery,321341,157258,164083,2.4,2.4,2.4
,Primary,7139525,3543088,3596437,53.9,55.1,52.8
,INGOBOKA/,96357,51720,44637,0.7,0.8,0.7
,Vocational,,,,,,
,Lower secondary,1154349,520274,634075,8.7,8.1,9.3
,Upper secondary,850334,408754,441580,6.4,6.4,6.5
,University,434476,245384,189092,3.3,3.8,2.8
,Not Stated,1793,1376,417,0,0,0
,Urban,3701245,1854525,1846720,100,100,100
,Never attended ,665953,321593,344360,18,17.3,18.6
,School,,,,,,
,Pre-nursery/ECD,33356,16302,17054,0.9,0.9,0.9
,Nursery,124832,62152,62680,3.4,3.4,3.4
,Primary,1655811,836815,818996,44.7,45.1,44.3
,INGOBOKA/,33058,18483,14575,0.9,1,0.8
,Vocational,,,,,,
,Lower secondary,417709,198759,218950,11.3,10.7,11.9
,Upper secondary,444340,219581,224759,12,11.8,12.2
,University,325044,179938,145106,8.8,9.7,7.9
,Not Stated,1142,902,240,0,0,0
,Rural,9545149,4574801,4970348,100,100,100
,Never attended ,2288817,1036767,1252050,24,22.7,25.2
,School,,,,,,
,Pre-nursery/ECD,260093,126810,133283,2.7,2.8,2.7
,Nursery,196509,95106,101403,2.1,2.1,2
,Primary,5483714,2706273,2777441,57.5,59.2,55.9
,INGOBOKA/,63299,33237,30062,0.7,0.7,0.6
,Vocational,,,,,,
,Lower secondary,736640,321515,415125,7.7,7,8.4
,Upper secondary,405994,189173,216821,4.3,4.1,4.4
,University,109432,65446,43986,1.1,1.4,0.9
,Not Stated,651,474,177,0,0,0
,[1] It is important to note that the propotion of those who never ettended school include also children below 1 year.,,,,,,
