Table 13: Percentage of children aged 7-12 years currently attending school by sex and residence,,,,,,,,,,
,Province/ District,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,91.4,90.3,92.5,93.5,92.9,94.1,90.7,89.5,91.9
,City of Kigali,93.3,92.7,94,94.1,93.6,94.6,89.6,88.1,91.1
,  Nyarugenge,94.5,94,95.1,94.7,94.3,95.2,93.6,92.6,94.5
,  Gasabo,92.5,91.8,93.1,93.7,93.4,94.1,88.5,86.8,90.1
,  Kicukiro,94.1,93.5,94.8,94.2,93.5,94.8,90.5,90.6,90.3
,Southern Province,91.9,90.6,93.3,95.7,95.1,96.3,91.4,90,92.8
,  Nyanza,90.9,89.4,92.5,94.7,94,95.4,90.6,89,92.3
,  Gisagara,86.9,85.1,88.9,92.7,92.1,93.3,86.8,84.8,88.7
,  Nyaruguru,90.2,88.8,91.6,95.5,94.3,96.6,90.1,88.7,91.5
,  Huye,92.5,91.2,93.7,95.6,95.2,96,91.9,90.5,93.3
,  Nyamagabe,92,90.7,93.3,96.6,95.9,97.4,91.5,90.1,92.9
,  Ruhango,91.7,90.3,93.2,96,95.2,96.7,91.3,89.8,92.8
,  Muhanga,96.6,95.8,97.4,97.4,96.9,97.8,96.4,95.5,97.3
,  Kamonyi,95.1,94.2,96,95.2,94.6,95.8,95,94.1,96
,Western Province,90.5,89.5,91.5,91.2,90.6,91.8,90.3,89.2,91.4
,  Karongi,93.7,92.7,94.8,97,96.6,97.5,93.4,92.3,94.6
,  Rutsiro,90.1,88.8,91.3,93.6,92.7,94.6,89.8,88.6,91.1
,  Rubavu,83.3,82.3,84.3,89.2,88.7,89.7,76.9,75.3,78.4
,  Nyabihu,91.3,90.2,92.5,91.6,90.6,92.6,91.3,90.1,92.4
,  Ngororero,92,91.1,92.9,98,97.8,98.2,91.8,90.8,92.7
,  Rusizi,91.6,90.6,92.5,91.5,90.6,92.4,91.6,90.6,92.6
,  Nyamasheke,93.9,93,94.7,95.8,95.8,95.9,93.7,92.8,94.6
,Northern Province,94,93.1,94.9,94.9,94.3,95.5,93.8,92.8,94.7
,  Rulindo,95.6,94.9,96.2,96.7,96,97.4,95.4,94.8,96.1
,  Gakenke,95.4,94.8,96.1,97.3,96.1,98.4,95.4,94.7,96
,  Musanze,92.7,91.7,93.6,94.3,93.7,94.8,91.3,89.9,92.6
,  Burera,93.3,92.3,94.3,95.9,95.1,96.8,93,92,94
,  Gicumbi,93.4,92.3,94.5,95.3,95,95.5,93.3,92.1,94.4
,Eastern Province,89.5,88.3,90.8,92.9,92,93.8,88.8,87.4,90.1
,  Rwamagana,91.3,90,92.6,94.7,94.4,95,89.8,88,91.5
,  Nyagatare,88.4,87.2,89.6,90.8,89.6,92,87.7,86.5,88.9
,  Gatsibo,89.4,88.2,90.7,92.6,91.5,93.7,89.1,87.8,90.4
,  Kayonza,88.5,87,90,93.7,92.7,94.7,87.8,86.2,89.4
,  Kirehe,92,91.1,92.8,94.2,93.5,94.9,91.8,91,92.7
,  Ngoma,87.5,86,88.9,92.8,91.3,94.3,87,85.6,88.5
,  Bugesera,89.9,88.6,91.3,92.9,92.1,93.7,88.3,86.7,89.9
