Table 16: Percentage of children aged 12-17 currently attending school by sex and residence,,,,,,,,,,
,Province and District,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,,,,,,,,,,
,Rwanda,73.1,71,75.3,77.7,78.8,76.7,71.7,68.7,74.8
,City of Kigali,76.9,78.5,75.6,78.1,80.9,75.6,71.2,67,75.6
,Nyarugenge,79.5,81.6,77.7,80,82.9,77.3,77.2,75.1,79.4
,Gasabo,75.2,76.1,74.5,77.1,80.2,74.4,69.7,64.7,74.8
,Kicukiro,78.1,80.5,76,78.2,80.6,76.1,69.2,71.3,67.1
,Southern Province,74.2,70.7,77.9,79.3,79.9,78.8,73.5,69.5,77.7
,Nyanza,73.4,68.9,78.2,79.4,78.4,80.3,72.8,68,77.9
,Gisagara,67.7,64.7,70.7,73.4,71.8,75.1,67.5,64.5,70.6
,Nyaruguru,75.4,71.6,79.3,83.8,80.2,87.6,75.2,71.4,79.2
,Huye,75.2,72.3,78.2,80.2,84.1,76.8,74.4,70.4,78.5
,Nyamagabe,76.4,73.4,79.4,82.4,82,82.9,75.7,72.5,79
,Ruhango,74.4,70.8,78.1,81.9,82,81.8,73.5,69.7,77.7
,Muhanga,76.1,72.8,79.4,79.2,82.9,76,75.3,70.5,80.4
,Kamonyi,76.1,72.2,80,77.6,76.6,78.5,75.5,70.6,80.7
,Western Province,73,71.1,75,77.6,77.7,77.5,71.8,69.4,74.3
,Karongi,77.3,74.4,80.3,82,82.6,81.5,76.9,73.8,80.2
,Rutsiro,69.3,67,71.6,79.4,77.8,80.9,68.7,66.4,71
,Rubavu,67.7,67.9,67.5,76,77.1,74.9,58.8,58.3,59.4
,Nyabihu,72.3,69.2,75.4,77.2,74.9,79.4,70.8,67.4,74.1
,Ngororero,67.9,65.3,70.5,82.6,82.1,83,67.2,64.5,69.9
,Rusizi,77.8,76.2,79.4,78.1,78,78.2,77.6,75.3,80.1
,Nyamasheke,79.4,76.9,81.8,83.1,82.4,83.7,79.1,76.5,81.6
,Northern Province,71.8,68.8,74.7,76.7,76.5,77,70.8,67.4,74.2
,Rulindo,72.9,69.5,76.2,77.2,79.1,75.4,72.4,68.4,76.3
,Gakenke,71.4,68.2,74.7,80.5,78.1,82.4,71.1,67.8,74.4
,Musanze,70.3,68.5,72.1,75.8,75.6,76,65.8,62.8,68.8
,Burera,72.1,69.4,74.7,79,77.7,80.4,71.3,68.5,74.1
,Gicumbi,72.4,68.5,76.3,78.7,77.5,79.9,72.1,68,76.1
,Eastern Province,71.6,69.6,73.5,76.7,76.7,76.7,70.4,68.1,72.8
,Rwamagana,72.8,69.3,76.3,77.9,78,77.8,70.6,65.6,75.6
,Nyagatare,70.3,69.2,71.4,75.3,74.9,75.7,68.8,67.5,70.2
,Gatsibo,71.7,69,74.3,77.4,76.5,78.3,71.1,68.3,73.9
,Kayonza,70.4,68.1,72.7,75.7,76.3,75.2,69.6,67,72.3
,Kirehe,74.8,73.5,76,77.1,76.8,77.3,74.6,73.3,75.9
,Ngoma,67.5,65.8,69.2,77.4,76.6,78.1,66.6,64.9,68.3
,Bugesera,73.5,72.1,75,76.8,77.6,76.2,71.7,69.2,74.2
