"Table 19: Gross, net attendance rates in secondary education (12-17 years) by sex and residence",,,,,,,
,Province and area of residence,"Gross Attendance Rates, GAR (%)",,,"Net Attendance Rates, NAR (%)",,
,,,,,,,
,,Both sexes,Male,Female,Both sexes,Male,Female
,,,,,,,
,Rwanda,39.9,36.1,43.8,22.3,18.8,25.8
,  Urban,60.1,59.1,61,33.4,31.3,35.2
,  Rural,33.7,29.3,38.1,18.9,15.2,22.7
,City of Kigali,62.4,62.6,62.2,35.2,33.6,36.6
,  Urban,68.1,70,66.5,38.1,37.4,38.7
,  Rural,33,28.1,38,20.5,16.1,25
,Southern Province,38.3,32.6,44.2,21.9,17.4,26.5
,  Urban,61.6,58.7,64.2,34.5,31.3,37.5
,  Rural,35,29.1,41.1,20.1,15.6,24.8
,Western Province,38,34.4,41.7,20.6,17.5,23.7
,  Urban,54.2,52.6,55.8,28.9,27,30.9
,  Rural,33.7,29.7,37.8,18.4,15,21.8
,Northern Province,39.7,34.7,44.6,22.9,18.6,27
,  Urban,59.4,56,62.5,33.3,30,36.3
,  Rural,36,30.8,41.1,20.9,16.5,25.2
,Eastern Province,34.9,32.1,37.7,19.2,16.3,22.2
,  Urban,51.8,49.7,53.7,29.1,26.5,31.5
,  Rural,31.1,28.3,34,17,14.1,20.1
