Table 23: Number and % of population owning a mobile phone by Province and age groups,,,,,,,,,,
,Province/Age group,Total,,,Urban,,,Rural,,
,,Total,Male,Female,Total,Male,Female,Total,Male,Female
,Counts,,,,,,,,,
,Population 10 years and above,,,,,,,,,
,    Total,4631510,2431066,2200444,1781720,908895,872825,2849790,1522171,1327619
,   City of Kigali,960818,501304,459514,881281,459227,422054,79537,42077,37460
,   Southern Province,919630,469583,450047,191224,92972,98252,728406,376611,351795
,   Western Province,912654,480619,432035,252366,127201,125165,660288,353418,306870
,   Northern Province,691311,370719,320592,153658,75955,77703,537653,294764,242889
,   Eastern Province,1147097,608841,538256,303191,153540,149651,843906,455301,388605
,Population 16 years and above,,,,,,,,,
,    Total,4590898,2407650,2183248,1758647,897082,861565,2832251,1510568,1321683
,   City of Kigali,945913,493846,452067,867043,452206,414837,78870,41640,37230
,   Southern Province,912645,465328,447317,188924,91786,97138,723721,373542,350179
,   Western Province,907484,477402,430082,250350,126068,124282,657134,351334,305800
,   Northern Province,686744,367905,318839,152237,75208,77029,534507,292697,241810
,   Eastern Province,1138112,603169,534943,300093,151814,148279,838019,451355,386664
,Population 21 years and above,,,,,,,,,
,    Total,3998897,2096965,1901932,1541057,792842,748215,2457840,1304123,1153717
,   City of Kigali,828140,438289,389851,759484,402415,357069,68656,35874,32782
,   Southern Province,794366,402287,392079,164732,80337,84395,629634,321950,307684
,   Western Province,797695,418620,379075,221084,111244,109840,576611,307376,269235
,   Northern Province,594920,319339,275581,133766,66342,67424,461154,252997,208157
,   Eastern Province,983776,518430,465346,261991,132504,129487,721785,385926,335859
,Percentages,,,,,,,,,
,Population 10 years and above,,,,,,,,,
,    Total,47.8,52.9,43.1,65.9,68.9,63.1,40.7,46.5,35.7
,   City of Kigali,73.2,75.6,70.7,76.3,78.3,74.1,50.7,54.9,46.7
,   Southern Province,41.5,45.2,38.3,61.1,62.9,59.6,38.3,42.3,34.8
,   Western Province,43.6,49.5,38.5,55,58.5,51.8,40.4,46.9,34.9
,   Northern Province,45.7,52.5,39.7,59.5,63,56.6,42.8,50.4,36.2
,   Eastern Province,44.8,50,40,58.7,62.2,55.4,41.2,47,36.1
,Population 16 years and above,,,,,,,,,
,    Total,58.6,65.7,52.4,77.6,81.1,74.1,50.9,59,44
,   City of Kigali,83.9,86.3,81.5,86.5,88.3,84.5,63.3,68.9,57.9
,   Southern Province,51.4,56.9,46.7,72.6,75.2,70.3,47.7,53.7,42.7
,   Western Province,54.8,63.4,47.6,67.9,73.2,63.4,51,60.5,43.3
,   Northern Province,55.5,64.7,47.7,71,75.8,66.9,52.3,62.4,43.7
,    Eastern Province,55.9,63.3,49.3,71.1,75.8,66.8,51.9,60,44.8
,Population 21 years and above,,,,,,,,,
,    Total,62.9,71.4,55.6,82.5,86.2,79,54.7,64.6,46.6
,   City of Kigali,87.6,89.6,85.4,90.1,91.5,88.6,66.9,73.2,61.2
,   Southern Province,54.9,61.8,49.2,77.7,80.6,75.2,50.9,58.4,44.9
,   Western Province,59.9,70.6,51.3,74.8,81.2,69.3,55.7,67.5,46.4
,   Northern Province,59.6,70.7,50.4,76.7,82.3,71.9,56,68.2,46
,   Eastern Province,60.1,68.8,52.7,76.3,81.3,71.9,55.8,65.3,47.8
