Table 24: Distribution of the population owning mobile phone by type of mobile phone,,,,,,,,,,
,Type of mobilephone/ Area of residence,Population 10 years and above,,,Population 16 years and above,,,Population 21 years and above,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Counts,,,,,,,,,
,Rwanda,4631510,2431066,2200444,4590898,2407650,2183248,3998897,2096965,1901932
,Smart phone,1126276,649234,477042,1113470,641976,471494,1004721,577333,427388
,Ordinary Phone with radio,3458247,1763043,1695204,3430870,1747127,1683743,2951557,1502888,1448669
,Ordinary Phone without radio,46987,18789,28198,46558,18547,28011,42619,16744,25875
,Urban,1781720,908895,872825,1758647,897082,861565,1541057,792842,748215
,Smart phone,791671,435953,355718,780168,429669,350499,705148,388446,316702
,Ordinary Phone with radio,980533,468635,511898,969195,463229,505966,827862,400727,427135
,Ordinary Phone without radio,9516,4307,5209,9284,4184,5100,8047,3669,4378
,Rural,2849790,1522171,1327619,2832251,1510568,1321683,2457840,1304123,1153717
,Smart phone,334605,213281,121324,333302,212307,120995,299573,188887,110686
,Ordinary Phone with radio,2477714,1294408,1183306,2461675,1283898,1177777,2123695,1102161,1021534
,Ordinary Phone without radio,37471,14482,22989,37274,14363,22911,34572,13075,21497
,Percentages,,,,,,,,,
,Rwanda,100,100,100,100,100,100,100,100,100
,Smart phone,24.3,26.7,21.7,24.3,26.7,21.6,25.1,27.5,22.5
,Ordinary Phone with radio,74.7,72.5,77,74.7,72.6,77.1,73.8,71.7,76.2
,Ordinary Phone without radio,1,0.8,1.3,1,0.8,1.3,1.1,0.8,1.4
,Urban,100,100,100,100,100,100,100,100,100
,Smart phone,44.4,48,40.8,44.4,47.9,40.7,45.8,49,42.3
,Ordinary Phone with radio,55,51.6,58.6,55.1,51.6,58.7,53.7,50.5,57.1
,Ordinary Phone without radio,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.6
,Rural,100,100,100,100,100,100,100,100,100
,Smart phone,11.7,14,9.1,11.8,14.1,9.2,12.2,14.5,9.6
,Ordinary Phone with radio,86.9,85,89.1,86.9,85,89.1,86.4,84.5,88.5
,Ordinary Phone without radio,1.3,1,1.7,1.3,1,1.7,1.4,1,1.9
