Table 25: Percentage of private households whose at least one member owns a mobile phone,,,,,,,
,Province/ District,Sex of the household head,,,Area of residence,,
,,All,Male Head,Female Head,Rwanda,Urban,Rural
,Rwanda,78.1,82.4,67.4,78.1,89.9,73.2
,City of Kigali,92.4,93.4,89.2,92.4,93.9,80.9
,Nyarugenge,92.8,93.4,90.8,92.8,93.9,84.1
,Gasabo,91.3,92.6,87,91.3,93.6,80
,Kicukiro,94.3,95,91.9,94.3,94.4,79.6
,Southern Province,71.9,76.4,62.2,71.9,86.6,69.4
,Nyanza,69.3,73.7,60.8,69.3,84.4,67.7
,Gisagara,66.5,70.4,59.3,66.5,70.5,66.4
,Nyaruguru,67.6,73.2,54.9,67.6,79.9,67.3
,Huye,70.1,74.5,61.9,70.1,86.2,66.6
,Nyamagabe,70.5,75.4,59.4,70.5,86.1,68.9
,Ruhango,71.2,75.9,61.6,71.2,84.6,69.5
,Muhanga,77.9,82.1,67.7,77.9,91.9,73.8
,Kamonyi,79.6,83.3,70.1,79.6,87,76.2
,Western Province,77.1,82.7,64,77.1,86.1,74.6
,Karongi,74.1,79.4,62.7,74.1,86.8,72.7
,Rutsiro,73,79.3,57.4,73,79.4,72.6
,Rubavu,79.3,84.4,66.5,79.3,87.3,69.2
,Nyabihu,76.1,82.1,62.6,76.1,84.2,73.5
,Ngororero,72.4,79.1,58,72.4,87.1,71.6
,Rusizi,81,85.4,69.5,81,85,79
,Nyamasheke,82.1,87.2,69.7,82.1,88.6,81.6
,Northern Province,77.6,83.1,62.9,77.6,87.4,75.6
,Rulindo,77.8,82.8,64.6,77.8,88.1,76.5
,Gakenke,76.2,82.3,60.1,76.2,88.3,75.7
,Musanze,81.6,86.4,69.1,81.6,87.9,75.5
,Burera,77.6,84,58.8,77.6,83.5,77
,Gicumbi,74.5,79.6,60.3,74.5,86.5,73.7
,Eastern Province,76.5,80.3,67.3,76.5,86.6,73.8
,Rwamagana,81.1,84.4,73.6,81.1,89.4,76.8
,Nyagatare,78.9,82.5,69.5,78.9,85.2,76.8
,Gatsibo,71.4,75.4,61.6,71.4,84.1,69.9
,Kayonza,76.2,79.8,67.6,76.2,87,74.2
,Kirehe,76.9,81.3,67.2,76.9,86.1,76.3
,Ngoma,71.4,75.9,61.5,71.4,84.6,70.1
,Bugesera,78.3,82.1,69,78.3,86.5,72.8
