"Table 27: Population aged 12 and above by marital status, sex and age groups",,,,,,,,,
,Age group/ sex,,Total counts,Total,Divorced,Never married,Separated,Married,Widowed
,,,,,,,,,
,All ages above 12 years,Both sexes,9236689,100,0.2,44.4,1.7,49.1,4.6
,,Male,4419991,100,0.1,48.8,0.9,49.3,0.9
,,Female,4816698,100,0.3,40.4,2.4,48.9,8
,  12-14,Both sexes,947107,100, 0.0,99.8,0,0.1,0
,,Male,472054,100, 0.0,99.9,0,0.1,0
,,Female,475053,100, 0.0,99.8,0,0.2,0
,  15-19,Both sexes,1509341,100, 0.0,97.7,0.1,2.2,0
,,Male,750163,100, 0.0,99.4,0,0.6,0
,,Female,759178,100, 0.0,96,0.2,3.8,0
,  20-24,Both sexes,1174549,100,0,73.5,0.9,25.5,0.1
,,Male,572543,100,0,84.3,0.2,15.5,0
,,Female,602006,100,0,63.3,1.6,35,0.1
,  25-29,Both sexes,1007307,100,0.1,40,1.8,57.9,0.2
,,Male,494594,100,0,49,0.6,50.3,0
,,Female,512713,100,0.1,31.3,3,65.2,0.4
,  30-34,Both sexes,950747,100,0.2,19.9,2.5,76.8,0.6
,,Male,465744,100,0.1,23.4,1.1,75.3,0.1
,,Female,485003,100,0.3,16.5,3.9,78.3,1
,  35-39,Both sexes,869983,100,0.4,10.5,3,85,1.2
,,Male,425313,100,0.2,11.2,1.5,86.9,0.2
,,Female,444670,100,0.6,9.8,4.3,83.2,2.1
,  40-44,Both sexes,724954,100,0.5,7.5,3.2,86.2,2.6
,,Male,346800,100,0.3,7.3,1.9,90.1,0.5
,,Female,378154,100,0.7,7.6,4.4,82.6,4.6
,  45-49,Both sexes,479255,100,0.6,6.1,3.3,84,6
,,Male,215314,100,0.4,5.3,2.1,91.3,0.9
,,Female,263941,100,0.7,6.7,4.3,78.1,10.1
,  50-54,Both sexes,393788,100,0.5,5.2,3.1,80.3,10.8
,,Male,178670,100,0.4,4.3,2.1,91.4,1.7
,,Female,215118,100,0.7,5.9,3.9,71.1,18.4
,  55-59,Both sexes,316729,100,0.4,4,2.7,76.5,16.4
,,Male,142329,100,0.4,3.5,2.2,91.2,2.8
,,Female,174400,100,0.5,4.4,3.1,64.6,27.5
,  60-64,Both sexes,311001,100,0.4,3,2.2,72.6,21.7
,,Male,136793,100,0.3,2.9,2.1,90.3,4.3
,,Female,174208,100,0.4,3.1,2.3,58.8,35.4
,  65-69,Both sexes,214001,100,0.3,2.1,1.8,68.6,27.1
,,Male,92098,100,0.3,2,1.9,89.5,6.3
,,Female,121903,100,0.3,2.2,1.8,52.9,42.8
,  70-74,Both sexes,147138,100,0.3,1.8,1.5,63.3,33.2
,,Male,60277,100,0.2,1.9,1.7,87.3,8.9
,,Female,86861,100,0.3,1.7,1.3,46.7,50
,  75-79,Both sexes,77805,100,0.3,1.4,1.1,56.2,41
,,Male,28476,100,0.3,1.5,1.5,84.8,11.9
,,Female,49329,100,0.2,1.3,0.9,39.6,57.8
,  80-84,Both sexes,57999,100,0.2,1.3,0.8,50.3,47.4
,,Male,20408,100,0.3,1.4,1.2,80.6,16.6
,,Female,37591,100,0.1,1.2,0.7,33.8,64.2
,  85+,Both sexes,54985,100,0.1,1.4,0.5,42.9,55
,,Male,18415,100,0.2,1.5,1,74.2,23.1
,,Female,36570,100,0.1,1.4,0.3,27.2,71.1
