"Table 28: Prevalence of medical insurance by district, residence and sex",,,,,,,,,,
,Province/District,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,97.3,97.1,97.5,96.7,96.5,97,97.5,97.3,97.6
,City of Kigali,96.1,95.7,96.4,96,95.6,96.4,96.3,96.1,96.4
,Nyarugenge,95.6,95.3,95.9,95.5,95,96,96.2,96.6,95.7
,Gasabo,96.4,96,96.7,96.4,96,96.8,96.3,96,96.6
,Kicukiro,95.9,95.5,96.3,95.9,95.5,96.3,94.9,94.3,95.6
,Southern Province,96.9,96.7,97.2,97.5,97.3,97.7,96.9,96.6,97.1
,Nyanza,93.4,93,93.8,95.5,94.7,96.2,93.2,92.8,93.6
,Gisagara,97.2,96.9,97.5,98.1,97.8,98.5,97.2,96.8,97.4
,Nyaruguru,98.4,98.3,98.5,99.1,99,99.2,98.4,98.3,98.5
,Huye,96.2,95.9,96.4,97.7,97.9,97.6,95.7,95.3,96.1
,Nyamagabe,98.3,98.2,98.4,96.6,96.4,96.8,98.5,98.4,98.6
,Ruhango,96.4,96,96.7,96.9,96.5,97.2,96.3,96,96.7
,Muhanga,98,97.9,98.2,98.5,98.5,98.6,97.9,97.7,98
,Kamonyi,97.7,97.4,98,97.5,97.1,97.9,97.8,97.5,98
,Western Province,97.8,97.7,97.8,96.8,96.7,96.8,98,98,98.1
,Karongi,97.8,97.7,97.8,96.9,96.8,97,97.8,97.7,97.9
,Rutsiro,97.7,97.7,97.7,98.1,98.1,98.1,97.7,97.6,97.7
,Rubavu,95.6,95.6,95.6,95.5,95.4,95.6,95.7,95.8,95.6
,Nyabihu,98.5,98.5,98.5,97,97,97,99,98.9,99
,Ngororero,98.6,98.6,98.6,99.4,99.4,99.5,98.6,98.6,98.6
,Rusizi,98.2,98.1,98.2,98.1,98.1,98.2,98.2,98.1,98.3
,Nyamasheke,98.8,98.8,98.8,98.7,98.7,98.7,98.8,98.8,98.8
,Northern Province,98.9,98.9,99,98.4,98.3,98.5,99,99,99.1
,Rulindo,98.6,98.5,98.7,97.3,97,97.5,98.8,98.7,98.9
,Gakenke,99.7,99.7,99.7,99.6,99.5,99.7,99.7,99.7,99.7
,Musanze,98.3,98.2,98.3,98.3,98.3,98.4,98.2,98.1,98.2
,Burera,99.1,99.1,99.1,98.9,98.9,98.9,99.1,99.1,99.1
,Gicumbi,99.2,99.1,99.2,99.2,99,99.3,99.2,99.1,99.2
,Eastern Province,96.8,96.5,97,96.8,96.7,97,96.7,96.5,97
,Rwamagana,97.5,97.3,97.6,97.9,97.9,97.9,97.2,96.9,97.5
,Nyagatare,96.1,95.8,96.3,95.4,95.2,95.6,96.3,96,96.6
,Gatsibo,96.7,96.5,96.8,97.4,97.3,97.5,96.6,96.4,96.7
,Kayonza,96.9,96.6,97.1,97,96.6,97.4,96.8,96.6,97.1
,Kirehe,98.3,98.1,98.4,98.5,98.3,98.7,98.3,98.1,98.4
,Ngoma,96.2,95.9,96.4,97.6,97.3,97.9,96,95.8,96.2
,Bugesera,96.1,95.8,96.4,96.4,96.2,96.7,95.9,95.6,96.3
