Table 29: Population who have a medical insurance by main type of insurance,,,,,,,,
,Province/District,Total,Mutuelle,RSSB[1],Private[2],School,NGOs,Employer
,,,,,,,,
,Rwanda,100,93.1,4.1,0.7,0.1,0.8,1.3
,City of Kigali,100,85.5,7.6,3.2,0.2,0.3,3.2
,Nyarugenge,100,89.9,6.1,1.8,0.2,0.2,1.8
,Gasabo,100,86.8,6.8,2.8,0.1,0.3,3.1
,Kicukiro,100,79.9,10,4.8,0.2,0.4,4.6
,Southern Province,100,94.5,3.8,0.3,0,0.6,0.7
,Nyanza,100,95.8,3.3,0.2,0,0,0.6
,Gisagara,100,94.9,2.2,0.1,0,2.3,0.5
,Nyaruguru,100,96.2,3.1,0.1,0,0,0.5
,Huye,100,93,5.5,0.4,0.1,0.1,0.8
,Nyamagabe,100,93.6,3.5,0.2,0,2.3,0.3
,Ruhango,100,95.7,3.3,0.1,0,0,0.8
,Muhanga,100,92.9,5.4,0.4,0,0.1,1.1
,Kamonyi,100,94.4,3.9,0.6,0,0.1,1
,Western Province,100,94.9,3.5,0.3,0,0.5,0.8
,Karongi,100,91.8,3.7,0.4,0,3.6,0.6
,Rutsiro,100,96.9,2.6,0.2,0,0,0.4
,Rubavu,100,93.3,4.1,0.4,0,0.2,1.9
,Nyabihu,100,94.6,3.6,0.1,0,0.2,1.4
,Ngororero,100,96.4,3,0.1,0,0,0.5
,Rusizi,100,95.6,3.6,0.3,0,0,0.5
,Nyamasheke,100,96,3.5,0.2,0,0,0.3
,Northern Province,100,94.4,4.1,0.2,0,0,1.2
,Rulindo,100,95.1,3.8,0.2,0,0,0.9
,Gakenke,100,95.9,3.3,0.1,0,0,0.7
,Musanze,100,90.5,6,0.6,0.1,0.1,2.7
,Burera,100,95.7,3.5,0.1,0,0,0.7
,Gicumbi,100,95.4,3.5,0.2,0,0,0.8
,Eastern Province,100,93.2,3.1,0.3,0.1,1.9,1.5
,Rwamagana,100,92.1,4,0.5,0,0.1,3.3
,Nyagatare,100,96.3,2.5,0.1,0.1,0.1,1
,Gatsibo,100,94.1,2.7,0.3,0,2,0.9
,Kayonza,100,95.5,2.8,0.3,0,0,1.3
,Kirehe,100,84.9,2.4,0.3,0,11.7,0.7
,Ngoma,100,95.8,3,0.1,0,0,1
,Bugesera,100,92.7,4.1,0.7,0.2,0.2,2
,[1] RSSB (former RAMA),,,,,,,
,[2] Private insurance company,,,,,,,
