"Table 35: Both Sexes Abridged Life Table, Rwanda 2022",,,,,,,,,
,Age,nMx,nqx, lx,ndx,nLx,5Px, Tx, ex
,0,0.0296,0.0289,100000,2890,97505,0.966044,6956740,69.6
,1,0.003,0.0119,97110,1159,385517,0.991629,6859235,70.6
,5,0.0007,0.0032,95951,311,478978,0.997067,6473718,67.5
,10,0.0005,0.0026,95640,250,477574,0.996479,5994740,62.7
,15,0.0009,0.0044,95390,422,475892,0.994604,5517166,57.8
,20,0.0013,0.0064,94967,605,473324,0.993336,5041274,53.1
,25,0.0014,0.007,94362,657,470170,0.992451,4567950,48.4
,30,0.0016,0.0081,93706,763,466620,0.990651,4097780,43.7
,35,0.0021,0.0106,92943,982,462258,0.987186,3631159,39.1
,40,0.003,0.0151,91961,1387,456334,0.980909,3168902,34.5
,45,0.0047,0.0232,90573,2097,447622,0.970621,2712567,29.9
,50,0.0073,0.0357,88476,3163,434472,0.954502,2264945,25.6
,55,0.0114,0.0556,85313,4744,414704,0.929383,1830474,21.5
,60,0.0181,0.0865,80569,6970,385419,0.889504,1415770,17.6
,65,0.0294,0.1368,73599,10065,342832,0.826552,1030351,14
,70,0.0484,0.216,63534,13720,283368,0.733163,687519,10.8
,75,0.0795,0.3317,49813,16525,207755,0.602379,404151,8.1
,80,0.132,0.4962,33289,16518,125147,0.440336,196396,5.9
,85,0.2086,0.6856,16770,11498,55107,0.268396,71249,4.2
,90,0.313,0.8779,5272,4629,14790,0.083734,16142,3.1
,95,0.4763,1,644,644,1352, ,1352,2.1
