"Table 40: Birth registration rate by district, sex, and residence",,,,,,,,,,
,Province/ District,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,94.3,94.3,94.3,93.8,93.8,93.8,94.4,94.4,94.5
,City of Kigali,92.8,92.8,92.8,92.5,92.5,92.5,94.5,94.5,94.5
, Nyarugenge,92.6,92.5,92.6,92,91.9,92,95.9,95.9,95.9
, Gasabo,92.4,92.5,92.4,91.9,92,91.9,94.2,94.2,94.2
, Kicukiro,93.8,93.7,93.9,93.8,93.7,93.9,89.8,89.5,90
,Southern Province,93.8,93.8,93.8,94.4,94.2,94.6,93.7,93.7,93.7
, Nyanza,92,92,92,94,93.9,94,91.8,91.8,91.8
, Gisagara,91.2,91.1,91.3,96.2,96,96.4,91,91,91.1
, Nyaruguru,97.2,97.2,97.1,97.4,97.3,97.6,97.2,97.2,97.1
, Huye,95.3,95.3,95.3,95.4,95.2,95.6,95.3,95.3,95.2
, Nyamagabe,93.8,93.7,93.9,88,87.9,88.1,94.5,94.4,94.5
, Ruhango,91.4,91.3,91.5,93.1,93.1,93.2,91.2,91.1,91.3
, Muhanga,95.7,95.6,95.7,95.9,95.8,96,95.6,95.6,95.6
, Kamonyi,94.5,94.4,94.5,95,94.8,95.3,94.2,94.2,94.2
,Western Province,95,95,95.1,95.3,95.2,95.4,95,94.9,95
, Karongi,95.5,95.6,95.5,95.2,95.3,95.1,95.6,95.6,95.6
, Rutsiro,92.5,92.3,92.6,95.2,95.1,95.3,92.3,92.1,92.5
, Rubavu,93.7,93.7,93.8,94.6,94.5,94.6,92.8,92.8,92.9
, Nyabihu,93.6,93.5,93.6,91.9,91.7,92.1,94.1,94.1,94.1
, Ngororero,93.9,93.9,93.9,97.2,97.1,97.3,93.7,93.7,93.7
, Rusizi,97.6,97.6,97.7,97.7,97.6,97.7,97.6,97.5,97.7
, Nyamasheke,97.6,97.5,97.6,97.5,97.2,97.8,97.6,97.6,97.6
,Northern Province,96.7,96.7,96.7,95.8,95.8,95.7,96.8,96.8,96.8
, Rulindo,97.4,97.4,97.4,95.3,95.4,95.2,97.7,97.7,97.7
, Gakenke,98.1,98.1,98.1,99,98.7,99.2,98.1,98.1,98.1
, Musanze,94.8,94.8,94.8,95.4,95.5,95.3,94.3,94.3,94.3
, Burera,96.6,96.6,96.6,96.6,96.7,96.6,96.6,96.6,96.5
, Gicumbi,97,96.9,97,97.4,97.2,97.6,96.9,96.9,97
,Eastern Province,93.3,93.3,93.3,93.5,93.6,93.4,93.3,93.3,93.3
, Rwamagana,94,94.1,94,94.6,94.8,94.5,93.7,93.7,93.7
, Nyagatare,90.6,90.6,90.5,90.3,90.3,90.4,90.6,90.6,90.6
, Gatsibo,92,91.9,92.1,92,91.9,92.1,92,91.9,92.1
, Kayonza,93.8,93.7,93.8,95.5,95.6,95.4,93.5,93.4,93.6
, Kirehe,95.7,95.7,95.7,97.5,97.9,97.2,95.6,95.5,95.6
, Ngoma,94.5,94.6,94.5,96.1,95.9,96.3,94.4,94.4,94.3
, Bugesera,94.1,94.2,94.1,93.9,94.1,93.8,94.2,94.3,94.2
