"Table 44: Number of youth (16-30 years) by district, sex and residence",,,,,,,,,,
,Province/,Total,,,Urban,,,Rural,,
,District,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,3595670,1767063,1828607,1163894,570801,593093,2431776,1196262,1235514
,City of Kigali,584290,288533,295757,526310,257692,268618,57980,30841,27139
,Nyarugenge,126094,65433,60661,109444,55074,54370,16650,10359,6291
,Gasabo,282898,137605,145293,242683,117681,125002,40215,19924,20291
,Kicukiro,175298,85495,89803,174183,84937,89246,1115,558,557
,Southern Province,746908,370748,376160,128358,63563,64795,618550,307185,311365
,Nyanza,87247,43603,43644,9570,4506,5064,77677,39097,38580
,Gisagara,96997,48165,48832,3651,1847,1804,93346,46318,47028
,Nyaruguru,80401,40128,40273,2259,1138,1121,78142,38990,39152
,Huye,94211,48390,45821,23808,13290,10518,70403,35100,35303
,Nyamagabe,99691,49141,50550,12051,5721,6330,87640,43420,44220
,Ruhango,85663,42138,43525,10668,4933,5735,74995,37205,37790
,Muhanga,90816,44843,45973,26678,13431,13247,64138,31412,32726
,Kamonyi,111882,54340,57542,39673,18697,20976,72209,35643,36566
,Western Province,757749,368921,388828,182053,87991,94062,575696,280930,294766
,Karongi,94832,46491,48341,9779,4694,5085,85053,41797,43256
,Rutsiro,99652,49078,50574,5637,2672,2965,94015,46406,47609
,Rubavu,153630,75745,77885,85668,40638,45030,67962,35107,32855
,Nyabihu,89609,42913,46696,22695,10687,12008,66914,32226,34688
,Ngororero,92595,43679,48916,5444,2618,2826,87151,41061,46090
,Rusizi,122794,60957,61837,44322,22680,21642,78472,38277,40195
,Nyamasheke,104637,50058,54579,8508,4002,4506,96129,46056,50073
,Northern Province,564353,274197,290156,107855,51351,56504,456498,222846,233652
,Rulindo,92714,45113,47601,9991,4519,5472,82723,40594,42129
,Gakenke,95141,45791,49350,4309,2032,2277,90832,43759,47073
,Musanze,139508,67241,72267,73423,35101,38322,66085,32140,33945
,Burera,112731,54951,57780,11586,5654,5932,101145,49297,51848
,Gicumbi,124259,61101,63158,8546,4045,4501,115713,57056,58657
,Eastern Province,942370,464664,477706,219318,110204,109114,723052,354460,368592
,Rwamagana,130746,67206,63540,55345,30130,25215,75401,37076,38325
,Nyagatare,177981,87827,90154,44845,22147,22698,133136,65680,67456
,Gatsibo,145378,71160,74218,16080,7860,8220,129298,63300,65998
,Kayonza,120691,59127,61564,19423,9219,10204,101268,49908,51360
,Kirehe,123154,59826,63328,8510,4074,4436,114644,55752,58892
,Ngoma,99607,47908,51699,10233,4739,5494,89374,43169,46205
,Bugesera,144813,71610,73203,64882,32035,32847,79931,39575,40356
