"Table 45: Share of the youth in the population by district, sex and residence",,,,,,,,,,
,Province/District,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Bothsexea,Male,Female,Both sexes,Male,Female
,,,,,,,,,,
,Rwanda,27.1,27.5,26.8,31.4,30.8,32.1,25.5,26.1,24.9
,City of Kigali,33.5,32.5,34.5,34.7,33.4,36,25.4,26.3,24.4
,Nyarugenge,33.7,33.4,34,34.6,34,35.3,28.5,30.7,25.5
,Gasabo,32.2,31,33.4,34,32.4,35.6,24.3,24.5,24.1
,Kicukiro,35.6,34.3,37,35.8,34.4,37.1,24.6,24.7,24.5
,Southern Province,24.9,25.6,24.2,28.9,28.4,29.4,24.2,25.1,23.3
,Nyanza,23.9,24.4,23.3,28.3,27.8,28.9,23.4,24.1,22.8
,Gisagara,24.4,25.5,23.5,27,28.7,25.5,24.3,25.4,23.4
,Nyaruguru,25.3,26.4,24.2,29.6,30.6,28.6,25.2,26.3,24.1
,Huye,24.7,25.6,23.7,29.9,29.1,30.8,23.3,24.5,22.2
,Nyamagabe,26.8,27.8,26,29.7,29.8,29.6,26.5,27.6,25.5
,Ruhango,23.9,24.5,23.3,27.3,26.3,28.2,23.4,24.3,22.7
,Muhanga,25.3,25.8,24.9,30.6,30.1,31.1,23.7,24.4,23
,Kamonyi,24.8,25,24.7,27.8,27,28.7,23.4,24.1,22.8
,Western Province,26.2,26.6,25.7,28.4,28.2,28.7,25.5,26.2,24.9
,Karongi,25.4,26.1,24.7,29.2,28.4,29.9,25,25.8,24.2
,Rutsiro,27,27.8,26.2,27.4,27.5,27.2,27,27.8,26.2
,Rubavu,28.1,28.3,27.9,29.1,28.5,29.6,26.9,28.1,25.8
,Nyabihu,28.1,28.6,27.6,29.1,29,29.2,27.8,28.5,27.1
,Ngororero,25.2,25.5,24.8,30,30,30.1,24.9,25.3,24.6
,Rusizi,25.3,25.8,24.8,27.3,27.8,26.9,24.3,24.7,23.8
,Nyamasheke,24.1,24.4,23.8,25.5,24.7,26.2,24,24.4,23.6
,Northern Province,27.7,28.2,27.2,30.5,30.1,30.9,27.1,27.8,26.5
,Rulindo,25.7,26.3,25.3,26.2,24.4,27.9,25.7,26.5,25
,Gakenke,26,26.5,25.6,29.1,28.7,29.5,25.9,26.4,25.4
,Musanze,29.3,29.6,29,31.3,31,31.7,27.3,28.2,26.5
,Burera,29.1,29.7,28.5,30.1,30.7,29.7,29,29.6,28.3
,Gicumbi,27.7,28.2,27.2,30.4,29.8,30.9,27.5,28.1,26.9
,Eastern Province,26.4,26.8,26.1,29.4,29.3,29.5,25.7,26.1,25.3
,Rwamagana,27,27.6,26.3,30.7,31.1,30.4,24.7,25.3,24.2
,Nyagatare,27.2,27.6,26.9,28.4,28.6,28.2,26.8,27.2,26.5
,Gatsibo,26.4,26.9,25.9,29.1,29,29.1,26.1,26.7,25.5
,Kayonza,26.4,26.7,26.1,29.8,29,30.6,25.8,26.3,25.4
,Kirehe,26.7,27,26.5,29.3,29.1,29.5,26.5,26.8,26.3
,Ngoma,24.7,24.9,24.5,27.4,26.8,28,24.4,24.7,24.1
,Bugesera,26.3,26.4,26.2,29.3,28.8,29.8,24.2,24.7,23.8
