"Table 47: Number and Percentage of women by Province, District and residence",,,,,,,
,Province/District,Total,,Urban,,Rural,
,,Number of women,% of women in the total population,Number of women,% of women in the total population,Number of women,% of women in the total population
,Rwanda,6817068,51.5,1846720,49.9,4970348,52.1
,City of Kigali,856673,49.1,745507,49.1,111166,48.7
,Nyarugenge,178539,47.7,153856,48.7,24683,42.3
,Gasabo,435518,49.5,351306,49.2,84212,50.9
,Kicukiro,242616,49.3,240345,49.3,2271,50.1
,Southern Province,1554244,51.8,220143,49.6,1334101,52.1
,Nyanza,187073,51.2,17550,52,169523,51.1
,Gisagara,208086,52.4,7074,52.3,201012,52.4
,Nyaruguru,166146,52.2,3923,51.3,162223,52.2
,Huye,193041,50.5,34112,42.8,158929,52.6
,Nyamagabe,194776,52.4,21420,52.8,173356,52.4
,Ruhango,187025,52.1,20341,52.1,166684,52.1
,Muhanga,184818,51.6,42576,48.8,142242,52.5
,Kamonyi,233279,51.7,73147,51.3,160132,51.9
,Western Province,1511849,52.2,328306,51.3,1183543,52.5
,Karongi,195452,52.3,17019,50.7,178433,52.4
,Rutsiro,192682,52.2,10882,52.8,181800,52.2
,Rubavu,279384,51.1,152100,51.7,127284,50.5
,Nyabihu,168975,53,41160,52.8,127815,53
,Ngororero,196890,53.5,9401,51.8,187489,53.6
,Rusizi,249103,51.3,80550,49.7,168553,52.1
,Nyamasheke,229363,52.8,17194,51.5,212169,52.9
,Northern Province,1065551,52.3,182922,51.7,882629,52.4
,Rulindo,188295,52.3,19606,51.4,168689,52.4
,Gakenke,192692,52.8,7709,52.1,184983,52.8
,Musanze,249182,52.3,121050,51.7,128132,52.9
,Burera,202947,52.3,20006,52,182941,52.4
,Gicumbi,232435,51.8,14551,51.7,217884,51.8
,Eastern Province,1828751,51.3,369842,49.6,1458909,51.8
,Rwamagana,241159,49.7,83037,46.1,158122,51.9
,Nyagatare,335121,51.3,80501,51,254620,51.3
,Gatsibo,286703,52,28269,51.1,258434,52.1
,Kayonza,235708,51.6,33303,51.2,202405,51.6
,Kirehe,239097,51.9,15016,51.7,224081,51.9
,Ngoma,211328,52.3,19608,52.6,191720,52.3
,Bugesera,279635,50.7,110108,49.8,169527,51.4
