Table 48: Household headship rate among females and males (12+ years) by District,,,,,,,
,Province/District,Total,,Urban,,Rural,
,,Female,Male,Female,Male,Female,Male
,Rwanda,19.9,54.9,19.4,56.9,20.1,54
,City of Kigali,19,58.8,18.9,58.9,19.8,58.4
,Nyarugenge,20.7,57.5,20.7,57.3,20.1,59.4
,Gasabo,18.9,60.4,18.7,60.9,19.7,58
,Kicukiro,17.9,56.9,17.9,56.9,19.5,60.4
,Southern Province,21.9,53.4,20.6,54.9,22.1,53.2
,Nyanza,23.9,52.7,24.1,53.3,23.9,52.6
,Gisagara,24.5,52.4,25.4,49.7,24.5,52.5
,Nyaruguru,19.7,50.3,23.1,51.7,19.6,50.3
,Huye,24.4,52.8,22,55.1,24.9,52.3
,Nyamagabe,20.1,52.3,23.7,43.4,19.6,53.3
,Ruhango,22.9,53.6,22.4,56,23,53.4
,Muhanga,20.2,56.7,19.5,57.4,20.3,56.5
,Kamonyi,19.6,55.6,17.6,57.2,20.4,54.9
,Western Province,18.9,52.6,18.9,52.3,19,52.7
,Karongi,21,51.7,22.4,55,20.8,51.3
,Rutsiro,18.5,53.7,18.5,54.1,18.4,53.7
,Rubavu,18.5,53.2,18.8,53.1,18.2,53.3
,Nyabihu,19.7,52.6,21.5,50.1,19.1,53.4
,Ngororero,21.5,55.5,19.4,53.8,21.6,55.6
,Rusizi,17,51.3,17.5,50.9,16.8,51.5
,Nyamasheke,17.4,50.9,16.2,51.5,17.5,50.9
,Northern Province,17.8,55.9,18.4,56.7,17.7,55.8
,Rulindo,18.7,56.8,17.1,61.8,18.9,56.2
,Gakenke,18.2,56.2,16.8,59.5,18.2,56.1
,Musanze,18.6,56.7,19,56.6,18.1,56.8
,Burera,16.2,54.8,16.5,52.9,16.2,55
,Gicumbi,17.4,55.2,18.7,54.5,17.3,55.3
,Eastern Province,20.8,55.1,20.8,57.6,20.8,54.4
,Rwamagana,21.8,56.5,21.1,58.8,22.2,55.3
,Nyagatare,19.6,55.4,20.9,57,19.2,54.9
,Gatsibo,20,54.4,22.2,55.5,19.8,54.3
,Kayonza,21,54,21.5,57.3,20.9,53.5
,Kirehe,21.1,53.3,19.4,57.7,21.2,53
,Ngoma,21.8,54.7,20.6,55,21.9,54.6
,Bugesera,21,56.8,20.2,58.2,21.6,55.9
