"Table 52: Prevalence (%) of disability among the elderly by district, sex and residence",,,,,,,,,,
,Province/District,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,12.6,11.3,13.5,13,11.4,14.2,12.5,11.3,13.3
,CoK,13.1,10.5,15.1,12.8,9.9,15,14.2,12.6,15.4
,Nyarugenge,13.4,11.1,15.4,13.5,10.6,15.8,13.1,12.4,13.9
,Gasabo,13.6,10.9,15.6,13,9.9,15.4,14.8,12.9,16
,Kicukiro,11.9,9.3,13.9,12,9.4,14,7.5,6.8,8.1
,Southern Province,12.2,11,13.1,12.4,11.8,12.9,12.2,10.9,13.1
,Nyanza,12.4,10.6,13.7,11.2,9.3,12.3,12.5,10.7,13.8
,Gisagara,10.1,9.2,10.7,11.5,9.9,12.4,10.1,9.2,10.6
,Nyaruguru,11,9.6,11.9,11.4,14.3,9.3,10.9,9.5,11.9
,Huye,12.5,11.9,13,14.3,14.1,14.7,12.1,10.9,12.8
,Nyamagabe,12.8,11.9,13.4,12,11.2,12.6,12.9,12,13.5
,Ruhango,15.5,13.1,17,12.3,10.8,13.3,15.8,13.3,17.3
,Muhanga,12.3,11.1,13.2,15,13.5,16.2,11.9,10.6,12.7
,Kamonyi,11.2,9.9,12.1,9.7,8.2,10.7,11.6,10.4,12.5
,Western Province,13.2,12.1,13.9,12.8,11.9,13.5,13.3,12.1,14
,Karongi,14.1,12.7,15.1,10,10.3,9.8,14.3,12.8,15.4
,Rutsiro,11.9,10.9,12.6,10,11.2,9.2,12,10.9,12.7
,Rubavu,12.8,11.1,14,12.4,10.6,13.6,13.1,11.4,14.3
,Nyabihu,13.4,11.8,14.2,13.8,12.3,14.7,13.2,11.7,14.1
,Ngororero,11.6,10.7,12.1,11.4,8.9,13,11.6,10.7,12.1
,Rusizi,12.7,12.2,13.2,13.5,13.5,13.6,12.5,11.7,13.1
,Nyamasheke,15.3,14.2,16,14.6,13.1,15.7,15.3,14.3,16
,Northern Province,12.1,10.8,13,13.2,11.2,14.4,12,10.8,12.9
,Rulindo,11.7,10.4,12.7,11.7,9.8,13.1,11.7,10.4,12.7
,Gakenke,10.7,9.6,11.6,7.3,6.8,7.6,10.8,9.7,11.7
,Musanze,13,11.5,13.9,13.1,11.2,14.2,12.9,11.7,13.6
,Burera,12.5,11.4,13.2,13.2,12.1,13.9,12.5,11.4,13.2
,Gicumbi,12.7,11.3,13.8,19,13.7,22.6,12.5,11.2,13.4
,Eastern Province,12.6,11.6,13.4,13.8,12.5,14.9,12.4,11.5,13.1
,Rwamagana,11.6,10.8,12.2,11.4,10.9,12,11.7,10.7,12.3
,Nyagatare,14.2,12.6,15.4,15.5,13.1,17.3,13.8,12.5,14.9
,Gatsibo,11.6,10.6,12.2,13.3,12.5,13.9,11.4,10.4,12.1
,Kayonza,13,12.6,13.2,12.1,11,12.8,13.1,12.8,13.3
,Kirehe,11.6,10.6,12.3,15.8,13.7,17.5,11.4,10.4,12.1
,Ngoma,12.3,10.9,13.2,14,11.3,15.8,12.1,10.9,12.9
,Bugesera,14.1,13.2,14.8,14.7,13.9,15.4,13.8,12.8,14.5
