"Table 53: Proportion of the elderly by main type of medical insurance, sex and residence",,,,,,,
,Province/District,Total,Mutuelle,RSSB,Other,,Not stated
,,,,,,,
,Rwanda,100,95.8,1.3,0.9,1.9,0.1
,City of Kigali,100,85.6,7.6,3.2,3.3,0.3
,Nyarugenge,100,87.8,6.6,1.8,3.5,0.2
,Gasabo,100,87.2,6.3,3.2,3.1,0.3
,Kicukiro,100,80.7,11.1,4.3,3.6,0.3
,Southern Province,100,96.2,1,0.5,2.3,0.1
,Nyanza,100,94.3,0.8,0.2,4.6,0.1
,Gisagara,100,96.2,0.3,1.5,1.9,0.1
,Nyaruguru,100,98.1,0.7,0.1,1.0,0.1
,Huye,100,95.1,1.4,0.4,3.0,0.1
,Nyamagabe,100,96.5,0.9,1.4,1.2,0.1
,Ruhango,100,96.1,0.9,0.1,2.8,0.1
,Muhanga,100,96.7,1.6,0.2,1.5,0.1
,Kamonyi,100,96.9,1.1,0.1,1.7,0.1
,Western Province,100,96.9,0.8,0.6,1.5,0.1
,Karongi,100,94.1,0.8,3.1,1.9,0.1
,Rutsiro,100,97.7,0.5,0.2,1.6,0
,Rubavu,100,94.2,1.6,0.5,3.4,0.2
,Nyabihu,100,97.9,1,0.2,0.9,0.1
,Ngororero,100,98.4,0.5,0.2,0.8,0.1
,Rusizi,100,97.6,0.8,0.2,1.4,0.1
,Nyamasheke,100,98.3,0.7,0.2,0.8,0.1
,Northern Province,100,98.2,1,0.1,0.6,0
,Rulindo,100,98.1,1,0.1,0.8,0.1
,Gakenke,100,99.2,0.6,0,0.1,0
,Musanze,100,96.3,2,0.4,1.2,0.1
,Burera,100,98.7,0.6,0.1,0.6,0
,Gicumbi,100,98.5,0.9,0.1,0.5,0
,Eastern Province,100,95.3,0.8,1.4,2.4,0.1
,Rwamagana,100,96.4,1.2,0.4,1.9,0.1
,Nyagatare,100,96.6,0.6,0.2,2.5,0.1
,Gatsibo,100,94.8,0.7,1.7,2.7,0.1
,Kayonza,100,96.5,0.8,0.2,2.4,0.1
,Kirehe,100,91.2,0.4,6.8,1.4,0.2
,Ngoma,100,96.2,0.9,0.2,2.7,0.1
,Bugesera,100,95.3,1.1,0.5,3.1,0.2
