Table 54: Number and Percentage of population aged 5+ years with disability by district,,,,,,,
, Province/District,Counts,,,Percentage,,
,,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,391775,174949,216826,3.4,3.1,3.6
,City of Kigali,34730,15502,19228,2.3,2,2.6
,Nyarugenge,8206,3791,4415,2.5,2.2,2.8
,Gasabo,17585,7779,9806,2.3,2,2.6
,Kicukiro,8939,3932,5007,2.1,1.8,2.3
,Southern Province,98337,43918,54419,3.7,3.5,4
,Nyanza,12692,5589,7103,4,3.6,4.3
,Gisagara,11499,5055,6444,3.4,3.1,3.6
,Nyaruguru,9914,4383,5531,3.6,3.4,3.8
,Huye,13675,6572,7103,4.1,4,4.2
,Nyamagabe,11813,5175,6638,3.6,3.3,3.8
,Ruhango,14355,6040,8315,4.6,4,5
,Muhanga,11586,5388,6198,3.7,3.5,3.8
,Kamonyi,12803,5716,7087,3.2,3,3.5
,Western Province,88967,39357,49610,3.5,3.3,3.8
,Karongi,12628,5561,7067,3.8,3.6,4.1
,Rutsiro,10464,4686,5778,3.2,3.1,3.4
,Rubavu,14446,6455,7991,3.1,2.8,3.3
,Nyabihu,10257,4297,5960,3.7,3.3,4
,Ngororero,10379,4533,5846,3.2,3.1,3.4
,Rusizi,14773,6794,7979,3.5,3.4,3.7
,Nyamasheke,16020,7031,8989,4.3,4,4.5
,Northern Province,60336,26348,33988,3.4,3.1,3.6
,Rulindo,10093,4399,5694,3.2,2.9,3.4
,Gakenke,10474,4605,5869,3.2,3,3.4
,Musanze,13025,5623,7402,3.1,2.8,3.4
,Burera,12347,5304,7043,3.6,3.3,3.9
,Gicumbi,14397,6417,7980,3.7,3.4,3.9
,Eastern Province,109405,49824,59581,3.6,3.3,3.8
,Rwamagana,13003,6050,6953,3.1,2.8,3.3
,Nyagatare,20631,9346,11285,3.7,3.4,3.9
,Gatsibo,16420,7614,8806,3.4,3.3,3.5
,Kayonza,14937,6940,7997,3.8,3.6,3.9
,Kirehe,14230,6409,7821,3.6,3.4,3.8
,Ngoma,13165,5797,7368,3.7,3.5,4
,Bugesera,17019,7668,9351,3.6,3.3,3.9
