"Table 55: Prevalence of disability by type, sex and residence",,,,,,,,,,
, Type of disability,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Seeing,1.4,1.2,1.6,1.2,1,1.4,1.4,1.2,1.6
,Hearing,0.6,0.5,0.6,0.4,0.3,0.4,0.7,0.6,0.7
,Walking/Climbing,1.1,1,1.1,0.8,0.8,0.9,1.2,1.1,1.2
,Communicating,0.4,0.4,0.3,0.3,0.3,0.2,0.4,0.5,0.3
,Remembering and ,0.6,0.6,0.7,0.4,0.4,0.5,0.7,0.7,0.8
,concentrating,,,,,,,,,
,Selfcare,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.4
,Short stature disability,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1
,Albinism disability,0,0,0,0,0,0,0,0,0
