Table 57: Current school attendance rate in children (6-17) with/without disabilities by province,,,,,,,
, Province/Area of residence,Has disability,,,Does not have disability,,
,,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,65.3,63.7,67.3,81.7,80.1,83.2
,City of Kigali,67.1,64.4,70.2,84.8,85.6,84.2
,Southern Province,65.5,63.3,68.3,82.3,79.9,84.7
,Western Province,66.4,65.9,67,81,79.6,82.4
,Northern Province,65.7,63.6,68.4,82.7,80.9,84.5
,Eastern Province,63.6,62.1,65.4,79.9,78.4,81.4
,Urban,68.9,67.6,70.6,85.2,85.6,84.8
,City of Kigali,69,66.9,71.5,85.8,87.3,84.5
,Southern Province,71.3,70.1,72.8,87.4,87.7,87.1
,Western Province,68.2,68.2,68.3,83.1,82.9,83.3
,Northern Province,68.6,64.9,72.8,85.7,85.5,85.9
,Eastern Province,68.3,67.6,69.2,84.5,84.2,84.8
,Rural,64.4,62.7,66.5,80.5,78.4,82.6
,City of Kigali,59.1,54.5,64.9,79.7,77,82.5
,Southern Province,64.8,62.5,67.8,81.6,78.8,84.4
,Western Province,65.9,65.3,66.7,80.4,78.7,82.1
,Northern Province,65.3,63.4,67.6,82.1,80.1,84.2
,Eastern Province,62.7,61.1,64.7,78.8,77.1,80.6
