"Table 58: Private households (Number) by province, district and residence",,,,
, Province/District,Total,Urban,Rural
,,,,
,Rwanda,3312743,964287,2348456
,City of Kigali,488868,432432,56436
,Nyarugenge,103985,91603,12382
,Gasabo,249420,206614,42806
,Kicukiro,135463,134215,1248
,Southern Province,760173,108719,651454
,Nyanza,93007,9087,83920
,Gisagara,101145,3395,97750
,Nyaruguru,73805,1902,71903
,Huye,96037,17208,78829
,Nyamagabe,92052,8888,83164
,Ruhango,94508,10576,83932
,Muhanga,93241,21089,72152
,Kamonyi,116378,36574,79804
,Western Province,671506,148659,522847
,Karongi,91444,8794,82650
,Rutsiro,86802,4951,81851
,Rubavu,124080,69462,54618
,Nyabihu,76391,18485,57906
,Ngororero,92623,4560,88063
,Rusizi,104937,35056,69881
,Nyamasheke,95229,7351,87878
,Northern Province,506064,88394,417670
,Rulindo,91909,9898,82011
,Gakenke,93609,4009,89600
,Musanze,119387,58426,60961
,Burera,91786,9158,82628
,Gicumbi,109373,6903,102470
,Eastern Province,886132,186083,700049
,Rwamagana,121051,41920,79131
,Nyagatare,160435,40099,120336
,Gatsibo,136208,14325,121883
,Kayonza,114186,17233,96953
,Kirehe,113886,7700,106186
,Ngoma,102589,9196,93393
,Bugesera,137777,55610,82167
