Table 59: Number and Percentage of the households headed by women by district,,,,,,,
, Province/District,All,,Urban,,Rural,
,,Number,%,Number,%,Number,%
,Rwanda,3312743,28.9,964287,26.4,2348456,29.9
,City of Kigali,488868,24,432432,23.7,56436,26.3
,Nyarugenge,103985,25.4,91603,25.4,12382,25.5
,Gasabo,249420,23.6,206614,23,42806,26.5
,Kicukiro,135463,23.7,134215,23.7,1248,24.5
,Southern Province,760173,31.9,108719,29.6,651454,32.3
,Nyanza,93007,34.1,9087,34.1,83920,34.1
,Gisagara,101145,35.2,3395,37.1,97750,35.1
,Nyaruguru,73805,30.7,1902,32.6,71903,30.7
,Huye,96037,34.9,17208,31.3,78829,35.7
,Nyamagabe,92052,30.7,8888,38.5,83164,29.8
,Ruhango,94508,32.7,10576,31.4,83932,32.9
,Muhanga,93241,29.1,21089,28.1,72152,29.4
,Kamonyi,116378,28.1,36574,25.1,79804,29.5
,Western Province,671506,29.6,148659,28.8,522847,29.8
,Karongi,91444,31.8,8794,31.1,82650,31.9
,Rutsiro,86802,28.7,4951,28.8,81851,28.7
,Rubavu,124080,28.2,69462,28.1,54618,28.4
,Nyabihu,76391,30.9,18485,34,57906,29.9
,Ngororero,92623,32.1,4560,29.1,88063,32.3
,Rusizi,104937,27.3,35056,27.3,69881,27.4
,Nyamasheke,95229,28.8,7351,26.4,87878,29
,Northern Province,506064,26.9,88394,27.2,417670,26.9
,Rulindo,91909,27.4,9898,23.3,82011,27.9
,Gakenke,93609,27.4,4009,24,89600,27.6
,Musanze,119387,27.7,58426,28.1,60961,27.2
,Burera,91786,25.4,9158,25.9,82628,25.4
,Gicumbi,109373,26.5,6903,28.3,102470,26.4
,Eastern Province,886132,29.6,186083,28.5,700049,30
,Rwamagana,121051,30.3,41920,28.8,79131,31
,Nyagatare,160435,27.9,40099,28.5,120336,27.7
,Gatsibo,136208,29.3,14325,30.8,121883,29.2
,Kayonza,114186,30.1,17233,29.3,96953,30.2
,Kirehe,113886,30.8,7700,26.9,106186,31.1
,goma,102589,31.4,9196,29.4,93393,31.6
,Bugesera,137777,28.8,55610,27.3,82167,29.8
