Table 65: Distribution of the private housing units by main material of the roof and district,,,,,,,
,Province/ District,Total,Iron Sheets,Local tiles,Industrial tiles,Asbestos,Concrete
,Rwanda,100,74.1,25.6,0.2,0,0
,City of Kigali,100,98.8,0.4,0.5,0.1,0.2
,Nyarugenge,100,99.3,0.3,0.1,0.1,0.1
,Gasabo,100,98.5,0.5,0.6,0,0.3
,Kicukiro,100,98.8,0.2,0.6,0.1,0.2
,Southern Province,100,39,60.7,0.2,0,0
,Nyanza,100,49.1,50.6,0.2,0,0
,Gisagara,100,36.1,63.6,0.2,0,
,Nyaruguru,100,29.6,70,0.2,0,
,Huye,100,50.9,48.6,0.2,0.1,0
,Nyamagabe,100,25.4,74.4,0.1,0,0
,Ruhango,100,24.4,75.3,0.2,,0
,Muhanga,100,26.8,72.9,0.2,0,0
,Kamonyi,100,62.2,37.6,0.1,0.1,0
,Western Province,100,59,40.7,0.1,0,0
,Karongi,100,45.4,54.2,0.2,0,0
,Rutsiro,100,13.6,86,0.2,0,0
,Rubavu,100,77.7,21.9,0.2,0,0
,Nyabihu,100,54.2,45.5,0.2,0,0
,Ngororero,100,22.3,77.4,0.2,0,0
,Rusizi,100,98.8,1.1,0,0,0
,Nyamasheke,100,84.5,15.3,0.1,0,0
,Northern Province,100,79.3,20.5,0.1,0,0
,Rulindo,100,62.8,37.1,0.1,0,0
,Gakenke,100,62.8,37,0.2,0,0
,Musanze,100,84.7,15.1,0.1,0,0
,Burera,100,87.9,11.9,0.1,0,0
,Gicumbi,100,94.3,5.6,0,0,0
,Eastern Province,100,98.9,0.9,0,0,0
,Rwamagana,100,99.6,0.3,0,0,0
,Nyagatare,100,99.4,0.3,0,0,0
,Gatsibo,100,98.8,1.1,0,0,0
,Kayonza,100,99.3,0.2,0,0,0
,Kirehe,100,99.5,0.5,0,0,0
,Ngoma,100,99.5,0.4,0,0,0
,Bugesera,100,96.8,3.1,0.1,0,0
