Table 66: Distribution of the private housing units by main material of the wall and District,,,,,,,,,,,
,,Total,Wood with mud without cement,Wood with mud and cement,Sun dried bricks,Cement blocks/ Concrete,Stone,Timber,Burnt bricks,Other,Not stated
,Rwanda,100,18.1,7.5,67,0.6,0.6,0.7,4,0.4,1
,City of Kigali,100,5.1,11.4,65.9,3.2,0.9,0.1,8.1,0.4,4.9
,Nyarugenge,100,6.1,28.2,53.2,2.2,0.7,0.1,5.8,0.2,3.4
,Gasabo,100,6.8,7.6,70.5,3,0.9,0.1,6.4,0.3,4.4
,Kicukiro,100,1.3,5.3,67.1,4.6,1.2,0.1,12.9,0.5,7.1
,Southern Province,100,26.7,10.2,58.9,0.1,0.3,0,3.2,0.1,0.4
,Nyanza,100,21.4,9.5,66.9,0.1,0.3,0,1.5,0,0.2
,Gisagara,100,42.9,22.5,32.7,0,0.2,0,1.1,0.2,0.4
,Nyaruguru,100,59.9,15.8,21.9,0,0.1,0,1.8,0.1,0.4
,Huye,100,29,14.9,49.2,0.1,0.5,0,5.6,0.1,0.5
,Nyamagabe,100,59,14.3,20.3,0.1,0.2,0,5.7,0.2,0.2
,Ruhango,100,3.7,1.2,92.9,0.1,0.3,0,1.3,0.2,0.3
,Muhanga,100,2.7,0.7,88.8,0.1,0.7,0,6.2,0.3,0.6
,Kamonyi,100,6.3,4.3,85.5,0.5,0.3,0,2.4,0.1,0.5
,Western Province,100,14.3,1.8,74.2,0.1,0.6,3.6,4.2,0.6,0.5
,Karongi,100,5.1,0.4,91,0,0.4,0,1.7,0.6,0.6
,Rutsiro,100,1.2,0.2,95.8,0,0.4,0,1.2,0.8,0.4
,Rubavu,100,11.5,1.6,77.2,0.2,0.6,2.7,4.6,1,0.6
,Nyabihu,100,11.8,1.3,83.3,0.3,1.5,0.5,0.6,0.4,0.4
,Ngororero,100,1.8,0.4,96,0,0.2,0,0.8,0.3,0.6
,Rusizi,100,45.8,6.3,25.1,0.4,1.1,6.3,14.3,0.4,0.5
,Nyamasheke,100,18.4,1.8,60.4,0,0.4,14.6,3.8,0.3,0.4
,Northern Province,100,17.4,5.4,71,0.1,1,0,4,0.8,0.3
,Rulindo,100,12.2,8.5,76.5,0.1,0.2,0,1.9,0.3,0.3
,Gakenke,100,2.2,0.5,91,0,0.7,0,4.6,0.4,0.5
,Musanze,100,24.6,7.9,54.3,0.2,2,0,9.1,1.5,0.4
,Burera,100,28.3,3.8,62.8,0.1,1.9,0,1.5,1.2,0.4
,Gicumbi,100,17.6,5.5,74.2,0.1,0.2,0,1.9,0.5,0.2
,Eastern Province,100,21.1,8.5,66.9,0.3,0.4,0,2.3,0.3,0.2
,Rwamagana,100,20.5,13,60.9,0.3,0.5,0,4.1,0.2,0.4
,Nyagatare,100,4.4,1.5,91,0.1,0.4,0,2.1,0.3,0.1
,Gatsibo,100,25.5,6.8,64.6,0.1,0.3,0,2.4,0.1,0.2
,Kayonza,100,27.7,13.5,55.3,0.2,0.3,0,2.2,0.6,0.1
,Kirehe,100,21.9,10,65.5,0.3,0.4,0,1.5,0.2,0.2
,Ngoma,100,53.1,16.2,27.4,0.2,0.5,0,2.2,0.1,0.2
,Bugesera,100,6.7,3.5,86.4,0.8,0.2,0,1.9,0.3,0.2
