Table 70: Distribution (%) of the private households by type of toilet facility and district,,,,,,,,,
,Province/,Main type of toilet facility,,,,,,,
,District,Total,Not shared Flush toilet/WC system,Shared Flush toilet/WC system,Not shared Pit Latrine with constructed floor slab,Shared Pit Latrine with constructed floor slab,Not shared Pit Latrine without constructed floor slab,Shared Pit Latrine without constructed floor slab,Others/NS
,Rwanda,100,3,0.4,68.8,19.9,5.7,1.1,1.1
,City of Kigali,100,13.2,1.8,34.8,46.9,1.4,0.6,1.2
,Nyarugenge,100,9.1,1.8,30.4,55.5,1.5,0.8,1
,Gasabo,100,11,1.6,39.8,44,1.8,0.6,1.2
,Kicukiro,100,20.5,2.1,29,45.5,0.7,0.6,1.6
,Southern Province,100,1.2,0.1,74.1,15.5,6.8,1.3,0.9
,Nyanza,100,0.9,0.1,71.1,16.2,8.8,1.9,1.1
,Gisagara,100,0.2,0,70.8,18.4,7.5,1.7,1.4
,Nyaruguru,100,0.3,0,80.8,12.2,5.1,0.8,0.8
,Huye,100,2.9,0.2,70.2,17.6,7,1.2,0.8
,Nyamagabe,100,0.5,0.1,75.3,14,7.5,1.3,1.2
,Ruhango,100,0.5,0.1,72.3,14.5,9.7,2,1
,Muhanga,100,2,0.2,80.2,13.6,3,0.5,0.4
,Kamonyi,100,2.2,0.1,74.2,16.1,5.8,0.9,0.7
,Western Province,100,1.6,0.4,72.8,15.8,6.6,1.5,1.3
,  Karongi,100,2.2,0.5,74.9,13,6.4,1,2
,  Rutsiro,100,0.6,0.1,76.5,13,7.2,1.5,1.2
,  Rubavu,100,4.3,1.4,53.5,26.1,8.9,3.2,2.6
,  Nyabihu,100,0.3,0.1,72.9,17.1,7,1.6,1
,  Ngororero,100,0.3,0,79,12.1,6.5,1.1,1
,  Rusizi,100,2,0.2,75.4,16.8,4.4,0.8,0.5
,Nyamasheke,100,0.6,0.1,83.4,9,5.8,0.7,0.5
,Northern Province,100,1.2,0.2,78.2,11.1,7.3,1,0.9
,Rulindo,100,0.8,0.1,83.1,9.4,5.1,0.5,0.9
,Gakenke,100,0.5,0.1,86.1,7.3,4.8,0.5,0.8
,Musanze,100,3.5,0.7,62.5,18.5,11.6,2.4,1
,Burera,100,0.2,0.1,81.7,9.7,6.5,0.8,0.9
,Gicumbi,100,0.7,0.1,81.6,8.7,7.4,0.7,0.8
,Eastern Province,100,1,0.1,74.6,17.1,5.3,0.8,1
,Rwamagana,100,1.7,0.2,73.9,17.4,5.4,0.7,0.7
,Nyagatare,100,0.5,0.1,74.3,18.7,4.7,0.9,0.8
,Gatsibo,100,0.3,0,77.6,13.2,6.9,0.9,1.1
,Kayonza,100,0.6,0.2,74.5,17,5.8,0.9,1.2
,Kirehe,100,0.2,0.1,74.2,20.2,3.8,0.6,1
,Ngoma,100,0.8,0.2,80.6,11.8,4.9,0.7,1
,Bugesera,100,2.7,0.2,68.8,20.5,5.8,1.2,0.9
