Table 72: Distribution of the private households by main mode of waste disposal and district,,,,,,,,,,
,Province/District,Total,Public Compost dumping,Household compost dumping,Waste collection companies,Thrown in the household's fields or bushes,Burnt,In a River/ Stream/ Drain/ Gutter/ lacs,Other,Not Stated
,Rwanda,100,4.7,51.2,10,32.4,0.4,0,1.3,0
,City of Kigali,100,3.6,17.2,52.9,25.1,0.2,0.1,0.7,0.2
,Nyarugenge,100,3.2,16.3,56.7,22.8,0.2,0.1,0.6,0.1
,Gasabo,100,3.6,18.7,48.6,27.9,0.2,0.1,0.7,0.1
,Kicukiro,100,4.1,15.1,58,21.7,0.2,0.1,0.7,0.3
,Southern Province,100,4.9,53.8,2.1,37.6,0.2,0,1.3,0
,Nyanza,100,6.1,57.1,1.6,34.3,0.2,0,0.8,0
,Gisagara,100,2.5,66.5,1.1,28.6,0.2,0,1.2,0
,Nyaruguru,100,5.1,59.4,0.3,32.3,0.3,0,2.6,0
,Huye,100,4.5,59.7,3.4,30.8,0.3,0,1.2,0
,Nyamagabe,100,6.7,41.8,0.4,48.6,0.4,0,2.1,0
,Ruhango,100,5.9,55.9,0.8,35.9,0.3,0,1.1,0
,Muhanga,100,3.7,46.5,6.3,42.7,0.1,0,0.7,0
,Kamonyi,100,4.7,45.6,2.6,45.8,0.2,0,0.9,0
,Western Province,100,7.1,49.3,2.7,38.8,0.5,0.1,1.4,0
,Karongi,100,7.8,55.5,0.5,34.8,0.2,0,1.2,0
,Rutsiro,100,5.4,49.9,0.2,42.8,0.4,0.1,1.3,0
,Rubavu,100,8.1,30.1,11.2,47.1,1.1,0.1,2.2,0
,Nyabihu,100,6.5,51.7,0.4,39.5,0.5,0.1,1.3,0
,Ngororero,100,2.4,45,0.3,51.2,0.2,0.1,0.8,0
,Rusizi,100,9.5,55.8,3,29.3,0.6,0.1,1.5,0
,Nyamasheke,100,8.9,62.9,0.2,26.1,0.4,0,1.4,0
,Northern Province,100,3.1,54.5,2.6,38.1,0.4,0,1.3,0
,Rulindo,100,2.6,61.2,0.4,34.5,0.3,0,1.1,0
,Gakenke,100,2.5,57,0.2,38.9,0.4,0,1,0
,Musanze,100,5.7,49.3,9.3,33.6,0.4,0.1,1.4,0
,Burera,100,2.4,49.2,0.3,45.9,0.6,0,1.5,0
,Gicumbi,100,1.9,56.9,0.9,38.8,0.2,0,1.2,0
,Eastern Province,100,4.4,67.1,2.6,23.9,0.4,0,1.5,0
,Rwamagana,100,2.9,75.1,3.4,17,0.3,0,1.3,0
,Nyagatare,100,3.9,62.8,3.3,27.5,0.8,0,1.6,0
,Gatsibo,100,3.6,72.1,0.5,22.1,0.3,0,1.4,0
,Kayonza,100,3.4,74,2.5,18,0.3,0,1.7,0
,Kirehe,100,11.9,73,1.6,11.9,0.3,0,1.4,0
,Ngoma,100,1.5,74.3,0.4,22.1,0.2,0,1.5,0
,Bugesera,100,3.9,44.4,6,43.5,0.6,0,1.4,0
