Table 73: Distribution (%) of the private households by main mode of sewage disposal by Province and District,,,,,,,,,,
, Province/District,Total,Sump,In the courtyard,Rivulet/Trench/Channels,In the street,Main sewer,Cesspool,Bush,Other
,Rwanda,100,7.7,44.9,0.8,0.6,5.5,18.1,19,2.7
,City of Kigali,100,6.9,17,2.8,0.9,8.2,51.9,7.1,0.7
,Nyarugenge,100,7.6,20.8,4,0.8,7.2,47.5,7.7,0.6
,Gasabo,100,7.2,17.7,3.2,0.9,8.4,49.7,8.1,0.9
,Kicukiro,100,6,12.8,1.1,0.9,8.4,59.4,4.8,0.6
,Southern Province,100,6.2,58.7,0.5,0.5,7.3,9.8,13.4,3.4
,Nyanza,100,4.8,61.8,0.2,0.5,7.8,7.3,15.7,1.7
,Gisagara,100,8,59.4,0.6,0.5,3.8,5.8,17.5,4.1
,Nyaruguru,100,6.6,59.3,0.5,0.6,4,5.9,14.6,8.3
,Huye,100,8.3,60.3,0.5,0.6,4.5,14.2,8.7,2.9
,Nyamagabe,100,5.4,61.1,1.1,0.4,6.1,5.5,13.4,6.9
,Ruhango,100,4.1,62.1,0.2,0.6,13.7,5.4,11.7,2
,Muhanga,100,4.5,54,0.5,0.5,10.3,14.7,14,1.2
,Kamonyi,100,7.7,52.8,0.2,0.6,7.7,17,12.2,1.6
,Western Province,100,9,42.5,0.6,0.6,4.9,15.1,24.9,2.1
,Karongi,100,6.5,64.5,0.4,0.4,4.3,7.6,12.6,3.5
,Rutsiro,100,5.6,45.2,0.6,0.5,4.2,6.4,35.9,1.4
,Rubavu,100,9.6,28.7,0.9,1.3,4.7,24.1,28.3,2.1
,Nyabihu,100,9.1,39.6,0.5,0.3,5.2,11.3,32.4,1.4
,Ngororero,100,3.5,54.3,0.7,0.2,5.5,4.2,29.7,1.5
,Rusizi,100,13.7,33.2,0.7,0.7,5.2,25.1,18.8,2.4
,Nyamasheke,100,14.2,38,0.4,0.3,5.1,21.2,18.1,2.5
,Northern Province,100,7.1,50.9,0.2,0.3,3.4,10.7,24.7,2.5
,Rulindo,100,7.7,52,0.2,0.3,5.8,12.2,19,2.6
,Gakenke,100,4.5,37.9,0.1,0.1,2,4.9,46.6,3.7
,Musanze,100,10.9,35.3,0.3,0.4,4,22,25.3,1.7
,Burera,100,6.1,59.4,0.2,0.3,2.1,5,24.7,2
,Gicumbi,100,5.8,71.2,0.2,0.2,3,7,10.1,2.5
,Eastern Province,100,8.8,46.7,0.3,0.6,4,13.2,22.7,3.7
,Rwamagana,100,9.6,41.2,0.2,0.4,4.3,20.7,19.5,3.9
,Nyagatare,100,9.9,40.2,0.4,1,4.8,12.1,28,3.4
,Gatsibo,100,10,54.8,0.3,0.5,3.9,11.5,15.7,3.2
,Kayonza,100,10.2,47.9,0.3,0.5,3.6,11.9,20.6,4.9
,Kirehe,100,8.4,51.3,0.5,0.4,4.3,10.2,21.3,3.6
,Ngoma,100,7.8,49.8,0.2,0.3,3.2,9.1,25.1,4.5
,Bugesera,100,5.8,43.7,0.2,0.7,3.6,15.9,27.2,2.6
