Table 74: Proportion of households that have access to electricity by sex of the household head and residence,,,,,,,
,Province/District,Sex of the household head,,,Area of residence,,
,,All,Male Head,Female Head,Rwanda,Urban,Rural
,Rwanda,61,63.9,54,61,84.6,51.3
,City of Kigali,89.7,90.5,87,89.7,93.7,58.6
,Nyarugenge,92.9,93.4,91.4,92.9,95.4,74.4
,Gasabo,86.5,87.7,82.9,86.5,93.2,54.5
,Kicukiro,92.9,93.5,91,92.9,93.4,43.2
,Southern Province,55.1,57.8,49.2,55.1,78.5,51.1
,Nyanza,51.7,54,47.2,51.7,81,48.5
,Gisagara,52.6,55.9,46.6,52.6,58.9,52.4
,Nyaruguru,65.8,66.5,64.3,65.8,66,65.8
,Huye,56.4,59.3,51,56.4,86.4,49.8
,Nyamagabe,46.7,48.8,41.9,46.7,72.5,43.9
,Ruhango,58.6,61.3,53,58.6,80.3,55.9
,Muhanga,57.2,60.4,49.3,57.2,88.6,48
,Kamonyi,54,57.8,44.2,54,71.7,45.9
,Western Province,56.7,60.4,47.9,56.7,79.9,50.1
,Karongi,50.3,54.1,42.1,50.3,79.9,47.2
,Rutsiro,50.2,54.4,39.7,50.2,64.2,49.3
,Rubavu,71.4,74.5,63.6,71.4,84.5,54.7
,Nyabihu,47,49.3,42.1,47,71.1,39.4
,Ngororero,40.5,43.3,34.4,40.5,75.5,38.6
,Rusizi,67.3,70.7,58.1,67.3,79.4,61.2
,Nyamasheke,61.5,65.9,50.6,61.5,72.7,60.6
,Northern Province,54.1,57,46.3,54.1,76.1,49.4
,Rulindo,54.7,58.7,44.1,54.7,75.5,52.1
,Gakenke,49.7,53.1,40.6,49.7,78.4,48.4
,Musanze,62.9,65.2,56.8,62.9,77.8,48.6
,Burera,52.7,55.3,45,52.7,69,50.9
,Gicumbi,49.1,51.6,42.2,49.1,70.9,47.6
,Eastern Province,57.6,59.8,52.5,57.6,74.9,53
,Rwamagana,67.6,70,62.3,67.6,81.9,60.1
,Nyagatare,54.5,56.1,50.5,54.5,66.7,50.5
,Gatsibo,48.8,50.5,44.8,48.8,68.7,46.5
,Kayonza,57.9,59.7,53.6,57.9,79.2,54.1
,Kirehe,57.1,59.8,51,57.1,75.3,55.8
,Ngoma,58.3,60.8,52.7,58.3,79,56.2
,Bugesera,60.8,63.8,53.4,60.8,75.2,51.1
