"Table 76: % of the private households by main source of energy for cooking, Province and District",,,,,,,,
,Province/District,Total,Firewood,Charcoal,Gas,Other,Do not cook,Not Stated
,Rwanda,100,76.1,17.3,4.6,0.7,1.4,0
,City of Kigali,100,19.3,57.6,20,0.2,2.9,0
,Nyarugenge,100,17.8,60,17.8,0.2,4.2,0
,Gasabo,100,23,56.6,17.5,0.2,2.6,0
,Kicukiro,100,13.6,57.4,26.2,0.2,2.6,0
,Southern Province,100,88.5,8.8,1.3,0.3,1.1,0
,Nyanza,100,92.2,5.3,0.9,0.3,1.2,
,Gisagara,100,94.1,2.9,1.8,0.2,0.9,0
,Nyaruguru,100,95.4,3.3,0.3,0.1,0.8,0
,Huye,100,82.8,13.7,1.9,0.2,1.4,0
,Nyamagabe,100,92.3,6.2,0.4,0.2,0.9,0
,Ruhango,100,91.6,5.7,0.6,1,1.2,0
,Muhanga,100,80.9,15.9,1.8,0.2,1.2,0
,Kamonyi,100,81.3,14.8,2.3,0.3,1.4,0
,Western Province,100,83.9,13.9,1.2,0.2,0.8,0
,Karongi,100,87.8,10.2,0.8,0.2,1,0
,Rutsiro,100,95.6,3.5,0.2,0.2,0.4,0
,Rubavu,100,56.3,38.8,4,0.1,0.8,0
,Nyabihu,100,85.6,13.6,0.3,0.1,0.5,0
,Ngororero,100,94.9,4,0.3,0.3,0.5,0
,Rusizi,100,82.5,14.4,1.4,0.3,1.3,0
,Nyamasheke,100,95.1,3.5,0.4,0.1,0.8,0
,Northern Province,100,88.4,8.7,1.4,0.8,0.8,0
,Rulindo,100,87.9,9.7,1,0.4,0.9,0
,Gakenke,100,96.6,2.2,0.3,0.2,0.7,0
,Musanze,100,73.9,21,4,0.4,0.7,0
,Burera,100,93.4,3.3,0.2,2.5,0.6,0
,Gicumbi,100,93.5,4.3,0.7,0.6,0.9,0
,Eastern Province,100,83.8,10,3.2,1.5,1.6,0
,Rwamagana,100,73.7,22,2.4,0.3,1.5,0
,Nyagatare,100,83.6,7.1,1.8,6.1,1.4,0
,Gatsibo,100,89.7,6.3,0.9,1.5,1.6,0
,Kayonza,100,87,9.3,1.9,0.3,1.6,0
,Kirehe,100,83.8,3,11.1,0.6,1.5,0
,Ngoma,100,93.1,4.4,0.8,0.2,1.5,
,Bugesera,100,77.4,16.7,3.9,0.2,1.8,0
