"Table 79: Number and Percentage of private agricultural households by Province, District and residence",,,,,,,,,,
,Province/District,Total households,,,Agricultural Households,,,,,
,,Counts,,,Counts,,,Percentage,,
,,Total,Urban,Rural,Total,Urban,Rural,Total,Urban,Rural
,Rwanda,3312743,964287,2348456,2280854,330194,1950660,68.9,34.2,83.1
,City of Kigali,488868,432432,56436,102733,65243,37490,21,15.1,66.4
,Nyarugenge,103985,91603,12382,20073,12836,7237,19.3,14,58.4
,Gasabo,249420,206614,42806,58735,29381,29354,23.5,14.2,68.6
,Kicukiro,135463,134215,1248,23925,23026,899,17.7,17.2,72
,Southern Province ,760173,108719,651454,618452,54280,564172,81.4,49.9,86.6
,Nyanza,93007,9087,83920,75365,4787,70578,81,52.7,84.1
,Gisagara,101145,3395,97750,87353,2645,84708,86.4,77.9,86.7
,Nyaruguru,73805,1902,71903,65613,1240,64373,88.9,65.2,89.5
,Huye,96037,17208,78829,74948,7040,67908,78,40.9,86.1
,Nyamagabe,92052,8888,83164,79974,4678,75296,86.9,52.6,90.5
,Ruhango,94508,10576,83932,74538,6111,68427,78.9,57.8,81.5
,Muhanga,93241,21089,72152,74147,8569,65578,79.5,40.6,90.9
,Kamonyi,116378,36574,79804,86514,19210,67304,74.3,52.5,84.3
,Western Province ,671506,148659,522847,503360,68078,435282,75,45.8,83.3
,Karongi,91444,8794,82650,76076,4827,71249,83.2,54.9,86.2
,Rutsiro,86802,4951,81851,73034,3627,69407,84.1,73.3,84.8
,Rubavu,124080,69462,54618,56974,21447,35527,45.9,30.9,65
,Nyabihu,76391,18485,57906,56126,9968,46158,73.5,53.9,79.7
,Ngororero,92623,4560,88063,82102,3041,79061,88.6,66.7,89.8
,Rusizi,104937,35056,69881,78039,20178,57861,74.4,57.6,82.8
,Nyamasheke,95229,7351,87878,81009,4990,76019,85.1,67.9,86.5
,Northern Province ,506064,88394,417670,417503,47386,370117,82.5,53.6,88.6
,Rulindo,91909,9898,82011,77125,5023,72102,83.9,50.7,87.9
,Gakenke,93609,4009,89600,86772,2930,83842,92.7,73.1,93.6
,Musanze,119387,58426,60961,79190,28470,50720,66.3,48.7,83.2
,Burera,91786,9158,82628,78077,6717,71360,85.1,73.3,86.4
,Gicumbi,109373,6903,102470,96339,4246,92093,88.1,61.5,89.9
,Eastern Province ,886132,186083,700049,638806,95207,543599,72.1,51.2,77.7
,Rwamagana,121051,41920,79131,79624,18842,60782,65.8,45,76.8
,Nyagatare,160435,40099,120336,106284,20710,85574,66.3,51.7,71.1
,Gatsibo,136208,14325,121883,106895,8268,98627,78.5,57.7,80.9
,Kayonza,114186,17233,96953,85078,8590,76488,74.5,49.8,78.9
,Kirehe,113886,7700,106186,84424,4852,79572,74.1,63,74.9
,Ngoma,102589,9196,93393,85032,6070,78962,82.9,66,84.5
,Bugesera,137777,55610,82167,91469,27875,63594,66.4,50.1,77.4
