Table 83: Number of private crop farming households cultivating different types of crops by district,,,,,,,,,,,,,,
,,Maize,Rice,Sorghum,Wheat,Bean,Soybean,Cassava,Sweet potato,Irish potato,Yams & Taro,Banana,Vegetables,Fruits
,Rwanda,1168846,48752,390289,50606,1658842,224595,1010374,919286,299515,255215,506195,311054,1358294
,City of Kigali,33265,1239,15730,0 ,59624,7147,39024,24615,8327,5587,16888,11285,48018
,Nyarugenge,5398,135,1307,0 ,11851,1850,8344,4830,735,1496,3330,2238,9390
,Gasabo,19618,871,11823,0 ,35364,4378,23657,15514,6911,2933,10458,7239,29685
,Kicukiro,8249,233,2600,0 ,12409,919,7023,4271,681,1158,3100,1808,8943
,Southern Province,238526,25694,112522,18960,488749,120251,398359,348049,64577,115087,165131,97711,395686
,Nyanza,32526,3714,15875,0 ,60643,11393,52406,27977,3184,11184,18614,7301,46330
,Gisagara,50789,10013,16851,0 ,79376,22976,64283,42878,7187,16075,23266,12632,60990
,Nyaruguru,31258,177,18164,5077,53402,4973,25325,50357,16994,9719,16210,13447,46064
,Huye,25395,5142,21366,0 ,62628,15239,51529,39422,7061,8637,17859,12228,49411
,Nyamagabe,37177,918,21413,13481,60530,5418,34405,54486,15267,9634,17669,12723,45174
,Ruhango,17358,2333,7722,0 ,55617,18432,54257,35468,2157,11829,15499,9410,43592
,Muhanga,16992,2011,569,402,48913,17793,51857,56477,5146,37181,34144,18493,50312
,Kamonyi,27031,1386,10562,0 ,67640,24027,64297,40984,7581,10828,21870,11477,53813
,Western Province,244310,4175,12557,13602,323797,48127,223938,204959,71573,61831,98188,69080,267794
,Karongi,40494,170,6436,682,55983,8107,41727,44351,6905,14233,25226,15915,46010
,Rutsiro,43304,0 ,1388,1422,39281,9252,23707,26784,13582,10603,15458,10239,34301
,Rubavu,16464,0 ,1811,0 ,29081,1873,3182,5384,12747,600,3353,4256,18526
,Nyabihu,26866,0 ,782,4957,27054,298,3013,13859,23450,747,3538,3786,24181
,Ngororero,37924,330,1059,5703,54065,8442,35347,58326,9511,20709,21536,13436,42895
,Rusizi,50735,2558,431,170,62299,5486,60570,16091,3513,7676,10069,9616,47555
,Nyamasheke,28523,1117,650,668,56034,14669,56392,40164,1865,7263,19008,11832,54326
,Northern Province,221903,733,113273,16659,317928,11095,106902,229277,94268,33058,92063,84679,254727
,Rulindo,37594,117,21215,1721,62336,3528,35735,51739,19289,4181,19207,18979,52977
,Gakenke,54893,616,1896,1430,74211,5257,40762,68221,11602,21012,36740,26991,55055
,Musanze,46263,0 ,7990,3759,52297,327,3493,20351,19893,1422,6917,8584,39924
,Burera,44519,0 ,34686,6232,53314,46,1840,30258,20857,1030,7303,9855,42799
,Gicumbi,38634,0 ,47486,3517,75770,1937,25072,58708,22627,5413,21896,20270,63972
,Eastern Province,430842,16911,136207,1385,468744,37975,242151,112386,60770,39652,133925,48299,392069
,Rwamagana,48163,1017,24459,257,59248,3491,43293,22625,14930,9014,23048,9402,52996
,Nyagatare,80228,1886,18138,317,64922,6322,20937,7766,2184,1569,11941,4148,53083
,Gatsibo,67967,3355,26583,503,75627,9092,40553,19739,14238,6360,27549,12111,66261
,Kayonza,55570,2468,23920,308,61476,2105,28523,11778,9735,2165,11648,3362,50051
,Kirehe,61815,1851,16971,0 ,67800,4114,25063,10157,8677,6688,17399,4799,55845
,Ngoma,56651,3465,14340,0 ,66944,7224,42821,20245,8377,8247,27493,8515,59723
,Bugesera,60448,2869,11796,0 ,72727,5627,40961,20076,2629,5609,14847,5962,54110
