Table 85: % of private households rearing different types of livestock by District (urban and rural),,,,,,,,,,
,,Cows,Goats,Sheep,Pigs,Rabbits,Chickens,Other poultry,Bee hives,Other
,Rwanda,27.9,19.4,4.7,14.9,5.6,12,0.9,1,0.4
,City of Kigali ,5.8,4.7,0.4,2.1,7.8,5,0.4,1,0.2
,Nyarugenge,4.3,4.8,0.2,1.4,7.8,4.9,0.4,1.4,0.2
,Gasabo,7.6,5.6,0.4,2.8,8.1,5.2,0.4,0.9,0.2
,Kicukiro,3.7,3,0.6,1.4,7.3,4.5,0.4,1.1,0.2
,Southern Province ,37.2,26.4,2.6,27,8,17.1,0.6,1,0.4
,Nyanza,32.1,35.1,1.4,13.2,5.4,21.3,0.7,1,0.3
,Gisagara,29.6,36.1,1.2,22.7,9,17.1,0.3,1.2,0.5
,Nyaruguru,55.7,22.8,3.4,32.5,4.5,11.5,0.1,0.8,0.4
,Huye,28,23.4,1.9,33.2,8.1,15.5,0.2,0.7,0.3
,Nyamagabe,46.3,21.2,3.7,43.3,5.1,13.8,0.1,1.2,0.6
,Ruhango,33.3,28,1.9,19.6,7.6,18.6,0.7,0.9,0.3
,Muhanga,48.9,19.3,5.5,34,13.1,18.6,1.3,1.3,0.4
,Kamonyi,30,24.4,2.2,20.8,10.1,18.6,1.3,1.1,0.4
,Western Province ,33,13.5,7.6,18.3,4.2,10.1,0.3,0.7,0.5
,Karongi,48.2,23.2,3.2,21.3,4.4,17.5,0.1,1.2,0.4
,Rutsiro,39.2,11.7,9.5,19.6,5.1,9.8,0.4,0.7,0.7
,Rubavu,11.4,4.7,9.9,3.4,2.3,5.1,0.4,0.3,0.4
,Nyabihu,28.2,7.4,18.9,9.6,2.6,7.1,0.1,0.6,0.1
,Ngororero,54,13.4,9.1,30.6,8.3,12.2,0.4,0.8,0.4
,Rusizi,20.6,17.6,2.2,22,2.2,10.7,0.6,0.5,1.1
,Nyamasheke,38.3,17.6,2.5,24.6,2.7,9.6,0.1,0.8,0.5
,Northern Province ,44.8,17.3,13.3,15.1,4.5,10.7,0.4,0.7,0.2
,Rulindo,46.8,19.9,8.7,15.8,6.8,13.7,0.7,0.8,0.3
,Gakenke,60.8,23.9,13,28.8,6.6,12.7,0.3,1.2,0.2
,Musanze,21.7,8.1,13.3,10.7,2.2,5.8,0.2,0.5,0.1
,Burera,40.7,12.2,19.3,12.8,1.3,6.6,0.3,0.5,0.1
,Gicumbi,57.8,23.6,12.2,9.8,4.7,15.3,0.7,0.6,0.4
,Eastern Province ,18.8,27.3,1.8,8.9,4.6,13.5,2.1,1.5,0.4
,Rwamagana,19.1,22.4,2.5,7.9,6.8,13.2,1.4,1.3,0.4
,Nyagatare,13.4,21.6,2.3,4.9,3.4,13,1.6,1.4,0.5
,Gatsibo,29.5,29.2,1.9,8.9,6.3,13.3,1.4,1.6,0.4
,Kayonza,14.8,27.7,1.6,9.8,4.2,10.1,2.4,1.4,0.3
,Kirehe,19.1,34.8,1.7,9.3,1.9,12.7,2.9,1.1,0.2
,Ngoma,23.4,34.8,1.3,15.8,3.8,18.3,4.9,1.8,0.5
,Bugesera,13.8,24,1.2,8.3,5.6,14.5,1.1,1.8,0.4
