Table 86: Percentage of private households rearing different types of livestock by District (Urban) ,,,,,,,,,,
,Province and district,Cows,Goats,Sheep,Pigs,Rabbits,Chickens,Other poultry,Beekeeping,Other
,Rwanda,7.5,6.8,1.6,4.4,5.4,6.6,0.6,0.9,0.2
,City of Kigali ,3,2.5,0.3,1.2,7.8,3.7,0.3,1.1,0.2
,Nyarugenge,2.3,2.6,0.1,1,7.6,3.6,0.3,1.4,0.2
,Gasabo,2.9,2.1,0.2,1.2,8.4,3.3,0.2,1,0.2
,Kicukiro,3.6,2.8,0.5,1.3,7.2,4.3,0.4,1.1,0.2
,Southern Province ,13,11.5,0.7,10.2,8.3,11.9,0.5,0.7,0.3
,Nyanza,12.3,14.4,0.5,6.5,6.6,12.1,0.6,0.7,0.3
,Gisagara,25.8,30.3,1.1,22.5,9,14.6,0.1,0.9,0.1
,Nyaruguru,36.9,7.3,1.8,11,2.1,9.8,0.1,0.2,0.5
,Huye,6.4,7.9,0.4,7.2,9,9.4,0.4,0.6,0.3
,Nyamagabe,17.7,7.9,0.9,21.3,6.1,10.6,0.2,0.5,0.3
,Ruhango,17.2,13.3,0.9,7.1,6.6,14,0.6,0.7,0.3
,Muhanga,8.4,5.3,0.8,11.8,10.9,10.9,0.5,0.6,0.3
,Kamonyi,14,14.9,0.7,8.7,8.7,13.1,0.6,0.8,0.4
,Western Province ,9.8,6.9,3.7,7.4,2.5,7,0.6,0.4,0.3
,Karongi,15.7,12,0.4,6,2.6,11.6,0.2,0.8,0.1
,Rutsiro,29,8.7,7,15.7,6.4,8.5,0.1,0.6,0.8
,Rubavu,6,3.4,3.6,3.1,2.7,5.6,0.6,0.3,0.3
,Nyabihu,15.6,4.4,11.4,2.5,1.3,3.8,0,0.2,0
,Ngororero,28.2,8.3,5.5,18.2,5.9,10.8,0.7,0.8,0.2
,Rusizi,6.1,12.9,0.5,13.4,1.5,9.2,1.2,0.3,0.4
,Nyamasheke,18.2,9.6,1.5,20.9,1.3,8.4,0.1,0.6,0.1
,Northern Province ,15.1,8.7,6.7,6.9,3.1,6.8,0.4,0.6,0.1
,Rulindo,17.5,9.9,2.1,7.6,8.3,9.7,1.1,0.9,0.3
,Gakenke,35.3,20.3,2.9,22.3,5.9,10.7,0.3,1.2,0.2
,Musanze,10.7,6.3,7.1,5.8,1.7,6,0.3,0.4,0.1
,Burera,23.5,14.9,12.9,8,0.9,5.9,0.3,0.5,0.1
,Gicumbi,26.2,12.9,4.2,5,5.8,9.4,0.4,0.6,0.4
,Eastern Province ,9.4,13.2,0.9,4.9,5.2,10,1.3,1.4,0.3
,Rwamagana,8.6,10.1,0.9,4.8,7.9,9.1,1.1,1.4,0.3
,Nyagatare,9,13,1.3,3.4,2.9,9.7,1.4,1.4,0.4
,Gatsibo,12.3,14.7,0.6,4.6,5.6,9.7,1.2,1.2,0.2
,Kayonza,9.9,12.1,0.4,6.5,3.4,7.7,1.2,1.1,0.2
,Kirehe,10.6,22.6,1.4,4.8,2.1,10.3,2.8,1.2,0.2
,Ngoma,14.9,20.6,0.5,9.4,4.4,12.9,2.9,1.6,0.5
,Bugesera,8.3,13.1,0.9,5,6.1,11.2,0.9,1.7,0.3
