Table 87: Percentage of private households rearing different types of livestock by District (Rural) ,,,,,,,,,,
,Province and district,Cows,Goats,Sheep,Pigs,Rabbits,Chickens,Other poultry,Bee hives,Other
,Rwanda,36.3,24.6,6,19.2,5.6,14.2,1,1,0.4
,City of Kigali ,27.7,22,1.3,8.9,7.9,14.8,1.3,0.9,0.5
,Nyarugenge,19.5,21,0.5,4.2,8.2,14.9,1.3,1.3,0.5
,Gasabo,30.5,22.2,1.2,10.2,7.8,14.6,1.2,0.8,0.6
,Kicukiro,15.3,23.1,11.6,9.5,8.3,18.3,2.1,1.6,0.2
,Southern Province ,41.2,28.9,2.9,29.8,7.9,17.9,0.6,1.1,0.4
,Nyanza,34.3,37.3,1.5,13.9,5.4,22.3,0.7,1,0.4
,Gisagara,29.7,36.3,1.2,22.7,9,17.2,0.3,1.2,0.5
,Nyaruguru,56.2,23.2,3.4,33.1,4.5,11.6,0.1,0.8,0.4
,Huye,32.7,26.8,2.2,38.9,8.1,16.8,0.2,0.7,0.3
,Nyamagabe,49.4,22.6,3.9,45.7,5.1,14.1,0.1,1.3,0.6
,Ruhango,35.3,29.9,2,21.2,7.7,19.2,0.7,0.9,0.3
,Muhanga,60.7,23.4,6.9,40.5,13.3,20.8,1.5,1.3,0.4
,Kamonyi,37.4,28.8,2.9,26.3,10.5,21.2,1.7,1.2,0.4
,Western Province ,39.6,15.4,8.7,21.4,4.4,11,0.2,0.8,0.6
,Karongi,51.6,24.4,3.5,22.9,4.5,18.2,0.1,1.3,0.4
,Rutsiro,39.8,11.9,9.6,19.8,5,9.9,0.4,0.7,0.7
,Rubavu,18.3,6.4,17.9,3.9,2,4.6,0.2,0.3,0.4
,Nyabihu,32.3,8.3,21.4,11.9,2.8,8.2,0.1,0.6,0.2
,Ngororero,55.3,13.7,9.3,31.3,8.4,12.3,0.4,0.8,0.4
,Rusizi,27.8,20,3.1,26.4,2.4,11.4,0.3,0.6,1.4
,Nyamasheke,40,18.3,2.6,24.9,2.8,9.8,0.1,0.8,0.5
,Northern Province ,51,19.1,14.6,16.9,4.6,11.5,0.4,0.8,0.2
,Rulindo,50.4,21.1,9.4,16.7,6.7,14.2,0.7,0.8,0.3
,Gakenke,62,24.1,13.5,29.1,6.6,12.8,0.3,1.2,0.2
,Musanze,32.3,9.9,19.3,15.4,2.5,5.6,0.1,0.6,0.1
,Burera,42.6,11.9,20,13.3,1.3,6.7,0.3,0.5,0.1
,Gicumbi,59.9,24.4,12.7,10.1,4.7,15.7,0.7,0.6,0.4
,Eastern Province ,21.3,31,2,9.9,4.5,14.5,2.3,1.5,0.4
,Rwamagana,24.7,29,3.3,9.6,6.6,15.4,1.6,1.3,0.5
,Nyagatare,14.9,24.4,2.6,5.3,3.4,14.1,1.7,1.4,0.5
,Gatsibo,31.5,30.9,2,9.4,6.3,13.7,1.4,1.6,0.4
,Kayonza,15.7,30.5,1.8,10.4,4.3,10.6,2.6,1.5,0.4
,Kirehe,19.8,35.6,1.7,9.6,1.9,12.9,2.9,1.1,0.2
,Ngoma,24.2,36.2,1.4,16.4,3.8,18.9,5.1,1.8,0.5
,Bugesera,17.5,31.3,1.3,10.5,5.4,16.8,1.2,1.8,0.4
