Table 88: Number of private households rearing different types of livestock by District,,,,,,,,,,
,Province and district,Cows,Goats,Sheep,Pigs,Rabbits,Chickens,Other poultry,Beehives,Other
,Rwanda,925808,643420,155525,494305,94111,396161,29642,17231,12241
,City of Kigali,28548,23049,1859,10280,5688,24232,2010,749,1131
,Nyarugenge,4518,5002,183,1421,1046,5131,438,181,241
,Gasabo,18963,13937,923,6943,3387,13070,1009,382,597
,Kicukiro,5067,4110,753,1916,1255,6031,563,186,293
,Southern Province,282433,200881,19658,205568,38555,129811,4660,5003,3053
,Nyanza,29867,32631,1280,12300,3079,19815,609,576,323
,Gisagara,29954,36528,1259,22998,5775,17307,326,736,506
,Nyaruguru,41098,16853,2480,24003,2448,8506,37,443,280
,Huye,26910,22451,1793,31928,4653,14843,215,407,302
,Nyamagabe,42646,19491,3360,39885,3397,12710,79,825,533
,Ruhango,31428,26490,1790,18526,4315,17600,646,490,313
,Muhanga,45564,17986,5120,31729,8203,17334,1180,787,346
,Kamonyi,34966,28451,2576,24199,6685,21696,1568,739,450
,Western Province,221800,90514,51095,122986,15815,68109,2103,2784,3462
,Karongi,44056,21230,2941,19461,2684,16036,130,753,331
,Rutsiro,34003,10161,8211,17004,2774,8543,318,367,644
,Rubavu,14133,5823,12289,4248,855,6364,550,117,436
,Nyabihu,21574,5617,14472,7370,1033,5435,39,220,107
,Ngororero,50006,12433,8419,28359,5645,11322,381,560,394
,Rusizi,21568,18471,2346,23102,1186,11223,619,279,1110
,Nyamasheke,36460,16779,2417,23442,1638,9186,66,488,440
,Northern Province,226476,87418,67084,76656,14803,54197,2155,2413,1115
,Rulindo,43054,18275,7952,14480,4140,12613,662,468,278
,Gakenke,56927,22383,12193,26942,4985,11858,280,899,169
,Musanze,25952,9689,15924,12765,1191,6891,246,275,133
,Burera,37324,11219,17678,11726,768,6067,236,315,119
,Gicumbi,63219,25852,13337,10743,3719,16768,731,456,416
,Eastern Province,166551,241558,15829,78815,19250,119812,18714,6282,3480
,Rwamagana,23137,27168,3009,9569,3620,15998,1731,683,490
,Nyagatare,21529,34587,3617,7791,2114,20789,2613,902,788
,Gatsibo,40210,39830,2521,12099,4584,18131,1871,1138,539
,Kayonza,16879,31642,1839,11199,2190,11582,2687,743,395
,Kirehe,21797,39586,1937,10541,1120,14498,3272,667,267
,Ngoma,23989,35688,1312,16170,2258,18801,5047,1079,508
,Bugesera ,19010,33057,1594,11446,3364,20013,1493,1070,493
