Table 90: Livestock owned by the private households by livestock type and District (Urban),,,,,,,,,
,Province/District,Cows,Goat,Sheep,Pigs,Rabbits,Chicken,Other poultry,Other
,Rwanda,193809,197695,39885,120061,74509,1217068,23238,11991
,City of Kigali ,17320,27586,2340,14774,26582,350658,5574,4059
,Nyarugenge,2559,6346,192,1699,4872,55545,1078,1099
,Gasabo,9092,10540,804,7531,13068,161342,1977,1807
,Kicukiro,5669,10700,1344,5544,8642,133771,2519,1153
,Southern province ,28459,35549,2406,29178,17933,175745,2964,1954
,Nyanza,2983,3957,170,2182,1253,15160,212,80
,Gisagara,1812,2895,200,1774,856,4409,30,5
,Nyaruguru,1666,545,142,713,202,2842,1,45
,Huye,2924,3681,228,3242,2774,30702,269,229
,Nyamagabe,2774,1786,181,3533,793,9545,181,198
,Ruhango,3455,3906,312,2169,1430,12191,252,159
,Muhanga,3513,3042,409,6244,3656,33410,832,420
,Kamonyi,9332,15737,764,9321,6969,67486,1187,818
,Western  province ,37839,25566,14260,24887,4975,113860,4100,2089
,Karongi,2974,2779,419,1562,585,13464,190,38
,Rutsiro,5446,1265,764,1371,652,2423,25,195
,Rubavu,10758,6294,6736,7678,1977,51613,2194,1100
,Nyabihu,9578,2153,5220,949,290,10609,44,7
,Ngororero,3698,1000,536,1718,601,2484,76,39
,Rusizi,3184,10412,353,8785,684,28461,1507,636
,Nyamasheke,2201,1663,232,2824,186,4806,64,74
,Northern province ,22165,18571,13834,18898,5465,124020,1614,828
,Rulindo,3175,2605,457,2581,1710,34346,530,385
,Gakenke,2525,1955,419,2717,854,18215,47,32
,Musanze,9484,8309,9713,8738,1717,56304,627,257
,Burera,3146,3091,2353,1430,199,5074,98,75
,Gicumbi,3835,2611,892,3432,985,10081,312,79
,Eastern  province ,88026,90423,7045,32324,19554,452785,8986,3061
,Rwamagana,9966,13057,1532,9730,5592,132238,2002,616
,Nyagatare,39925,20223,2216,3928,2219,29755,2117,441
,Gatsibo,7613,6325,403,2687,1424,9743,516,112
,Kayonza,12929,12121,533,3200,1001,27279,739,378
,Kirehe,3254,5592,318,989,725,8995,733,51
,Ngoma,2834,5770,238,1754,1031,16917,683,252
,Bugesera,11505,27335,1805,10036,7562,227858,2196,1211
