Table 91: Livestock owned by the private households by livestock type and District (Rural),,,,,,,,,
,Province/District,Cows,Goat,Sheep,Pigs,Rabbits,Chicken,Other poultry,Other
,Rwanda,644211,1315445,291863,666130,286821,1366265,67564,41764
,City of Kigali,8764,30191,1839,11221,9969,47668,2094,1148
,Nyarugenge,1515,6723,236,1792,2383,9135,563,263
,Gasabo,7065,22501,1246,9114,7179,35451,1458,858
,Kicukiro,184,967,357,315,407,3082,73,27
,Southern province,201179,392632,34599,272939,118014,395838,12129,10635
,Nyanza,15445,71527,2584,18184,10506,61347,1620,867
,Gisagara,24930,74449,2366,29839,18579,67415,777,1931
,Nyaruguru,32271,31137,4092,29474,7420,23727,89,1094
,Huye,24331,42205,3458,43492,13799,49895,484,862
,Nyamagabe,34851,38742,6254,52102,10383,36531,152,2366
,Ruhango,20888,51198,3122,25308,13706,48963,1777,823
,Muhanga,27793,31304,8219,40750,22987,43145,2748,1200
,Kamonyi,20670,52070,4504,33790,20634,64815,4482,1492
,Western province,170454,154288,96868,159041,44337,177605,3444,15241
,Karongi,46053,38757,5395,27393,7481,39923,348,1222
,Rutsiro,25745,19833,17555,23587,8333,24571,1096,2992
,Rubavu,6664,8685,23187,4557,1661,11021,399,933
,Nyabihu,11386,9642,28188,10029,2612,14752,120,486
,Ngororero,38932,20925,14413,37344,15548,28430,816,1440
,Rusizi,14586,28357,4012,26538,3485,33237,539,5870
,Nyamasheke,27088,28089,4118,29593,5217,25671,126,2298
,Northern  province,120277,163411,121683,111781,50055,259299,5127,3477
,Rulindo,26942,35273,14857,23734,16720,99831,1873,983
,Gakenke,28668,38774,20641,36923,14356,63127,652,443
,Musanze,13251,11814,25292,15808,2807,13627,217,285
,Burera,22751,21256,33264,17147,2736,22766,576,403
,Gicumbi,28665,56294,27629,18169,13436,59948,1809,1363
,Eastern province,143537,574923,36874,111148,64446,485855,44770,11263
,Rwamagana,10770,55243,5813,14540,11880,89533,3593,1478
,Nyagatare,24900,92374,10244,11669,7683,80289,6170,1916
,Gatsibo,35669,89755,5823,19340,15859,63713,4304,1997
,Kayonza,23267,88877,4824,16633,7842,47868,6684,1346
,Kirehe,20034,95852,4850,14007,4012,51085,8644,1078
,Ngoma,14430,79825,2592,20536,7425,67464,12132,1927
,Bugesera,14467,72997,2728,14423,9745,85903,3243,1521
