"Table 92: Evolution of the Rwanda’s population (in millions) by area of residence, 2022-2052",,,,,,,,,,
,Year,High,,,Medium,,,Low,,
,,Rwanda,Urban,Rural,Rwanda,Urban,Rural,Rwanda,Urban,Rural
,2022,13.2,3.7,9.5,13.2,3.7,9.5,13.2,3.7,9.5
,2023,13.5,3.9,9.6,13.5,3.9,9.5,13.5,3.9,9.5
,2024,13.8,4.2,9.6,13.8,4.2,9.6,13.8,4.2,9.6
,2025,14.1,4.5,9.6,14.1,4.5,9.6,14.1,4.5,9.6
,2026,14.4,4.8,9.6,14.4,4.8,9.6,14.4,4.8,9.6
,2027,14.7,5.1,9.6,14.7,5.1,9.6,14.7,5.1,9.6
,2028,15.1,5.5,9.6,15.1,5.5,9.6,15,5.5,9.6
,2029,15.4,5.8,9.6,15.4,5.8,9.6,15.4,5.8,9.6
,2030,15.7,6.2,9.6,15.7,6.1,9.6,15.7,6.1,9.6
,2031,16.1,6.5,9.6,16.1,6.5,9.6,16,6.5,9.5
,2032,16.4,6.9,9.5,16.4,6.9,9.5,16.4,6.9,9.5
,2033,16.8,7.2,9.6,16.7,7.2,9.5,16.7,7.2,9.5
,2034,17.1,7.6,9.6,17.1,7.5,9.6,17,7.5,9.5
,2035,17.5,7.9,9.6,17.4,7.9,9.6,17.4,7.9,9.5
,2036,17.9,8.3,9.6,17.8,8.3,9.5,17.7,8.2,9.5
,2037,18.3,8.7,9.6,18.2,8.7,9.5,18.1,8.6,9.5
,2038,18.6,9.1,9.5,18.5,9.1,9.5,18.4,9,9.4
,2039,19,9.5,9.5,18.9,9.5,9.4,18.8,9.4,9.4
,2040,19.4,10,9.4,19.3,9.9,9.3,19.1,9.8,9.3
,2041,19.8,10.4,9.3,19.6,10.4,9.3,19.5,10.3,9.2
,2042,20.1,10.9,9.2,20,10.8,9.2,19.8,10.7,9.1
,2043,20.5,11.4,9.1,20.3,11.3,9,20.2,11.2,9
,2044,20.9,11.9,9,20.7,11.8,8.9,20.5,11.7,8.8
,2045,21.3,12.5,8.8,21.1,12.3,8.7,20.8,12.2,8.6
,2046,21.7,13,8.7,21.4,12.9,8.6,21.2,12.7,8.5
,2047,22.1,13.6,8.5,21.8,13.4,8.4,21.5,13.2,8.3
,2048,22.5,14.2,8.3,22.1,14,8.2,21.8,13.8,8
,2049,22.8,14.8,8,22.5,14.6,7.9,22.1,14.4,7.8
,2050,23.2,15.4,7.8,22.9,15.2,7.7,22.5,14.9,7.5
,2051,23.6,16.1,7.5,23.2,15.8,7.4,22.8,15.5,7.2
,2052,24,16.8,7.2,23.6,16.5,7.1,23.1,16.2,6.9
,Change: 2022 - 2052,81.6,356.5,-24.5,78.4,348.4,-25.8,74.9,339.5,-27.3
