"Table 93: Evolution of the population density by residence (medium projection), 2022-2052",,,,,,,
,Year,Total Population,Density ,Urban Population,Density ,Rural  Population,Density 
,2022,13.2,501,3.7,1695,9.5,394
,2023,13.5,513,3.9,1820,9.5,395
,2024,13.8,524,4.2,1950,9.6,396
,2025,14.1,535,4.5,2084,9.6,396
,2026,14.4,547,4.8,2224,9.6,397
,2027,14.7,559,5.1,2368,9.6,397
,2028,15.1,572,5.5,2517,9.6,397
,2029,15.4,584,5.8,2672,9.6,397
,2030,15.7,597,6.1,2832,9.6,396
,2031,16.1,610,6.5,2997,9.6,395
,2032,16.4,623,6.9,3167,9.5,394
,2033,16.7,636,7.2,3318,9.5,395
,2034,17.1,649,7.5,3476,9.6,395
,2035,17.4,663,7.9,3640,9.6,395
,2036,17.8,676,8.3,3811,9.5,395
,2037,18.2,690,8.7,3989,9.5,394
,2038,18.5,703,9.1,4174,9.5,392
,2039,18.9,717,9.5,4367,9.4,390
,2040,19.3,731,9.9,4567,9.3,387
,2041,19.6,745,10.4,4774,9.3,383
,2042,20,759,10.8,4989,9.2,379
,2043,20.3,773,11.3,5212,9,374
,2044,20.7,786,11.8,5443,8.9,368
,2045,21.1,800,12.3,5682,8.7,362
,2046,21.4,814,12.9,5929,8.6,355
,2047,21.8,827,13.4,6185,8.4,346
,2048,22.1,841,14,6450,8.2,338
,2049,22.5,854,14.6,6723,7.9,328
,2050,22.9,868,15.2,7007,7.7,317
,2051,23.2,881,15.8,7299,7.4,305
,2052,23.6,894,16.5,7602,7.1,292
