age_group,residence,sex,value
Total,Rwanda,Male,6429326.0
Total,Rwanda,Female,6817068.0
Total,Urban,Male,1854525.0
Total,Urban,Female,1846720.0
Total,Rural,Male,4574801.0
Total,Rural,Female,4970348.0
0-4,Rwanda,Male,856228.0
0-4,Rwanda,Female,852232.0
0-4,Urban,Male,238913.0
0-4,Urban,Female,237293.0
0-4,Rural,Male,617315.0
0-4,Rural,Female,614939.0
5-9,Rwanda,Male,849389.0
5-9,Rwanda,Female,847616.0
5-9,Urban,Male,216386.0
5-9,Urban,Female,215022.0
5-9,Rural,Male,633003.0
5-9,Rural,Female,632594.0
10-14,Rwanda,Male,775772.0
10-14,Rwanda,Female,775575.0
10-14,Urban,Male,178399.0
10-14,Urban,Female,182075.0
10-14,Rural,Male,597373.0
10-14,Rural,Female,593500.0
15-19,Rwanda,Male,750163.0
15-19,Rwanda,Female,759178.0
15-19,Urban,Male,183178.0
15-19,Urban,Female,209786.0
15-19,Rural,Male,566985.0
15-19,Rural,Female,549392.0
20-24,Rwanda,Male,572543.0
20-24,Rwanda,Female,602006.0
20-24,Urban,Male,192193.0
20-24,Urban,Female,200735.0
20-24,Rural,Male,380350.0
20-24,Rural,Female,401271.0
25-29,Rwanda,Male,494594.0
25-29,Rwanda,Female,512713.0
25-29,Urban,Male,189192.0
25-29,Urban,Female,182561.0
25-29,Rural,Male,305402.0
25-29,Rural,Female,330152.0
30-34,Rwanda,Male,465744.0
30-34,Rwanda,Female,485003.0
30-34,Urban,Male,178965.0
30-34,Urban,Female,166519.0
30-34,Rural,Male,286779.0
30-34,Rural,Female,318484.0
35-39,Rwanda,Male,425313.0
35-39,Rwanda,Female,444670.0
35-39,Urban,Male,147185.0
35-39,Urban,Female,127651.0
35-39,Rural,Male,278128.0
35-39,Rural,Female,317019.0
40-44,Rwanda,Male,346800.0
40-44,Rwanda,Female,378154.0
40-44,Urban,Male,113177.0
40-44,Urban,Female,98167.0
40-44,Rural,Male,233623.0
40-44,Rural,Female,279987.0
45-49,Rwanda,Male,215314.0
45-49,Rwanda,Female,263941.0
45-49,Urban,Male,66456.0
45-49,Urban,Female,62438.0
45-49,Rural,Male,148858.0
45-49,Rural,Female,201503.0
50-54,Rwanda,Male,178670.0
50-54,Rwanda,Female,215118.0
50-54,Urban,Male,49237.0
50-54,Urban,Female,45089.0
50-54,Rural,Male,129433.0
50-54,Rural,Female,170029.0
55-59,Rwanda,Male,142329.0
55-59,Rwanda,Female,174400.0
55-59,Urban,Male,33937.0
55-59,Urban,Female,32729.0
55-59,Rural,Male,108392.0
55-59,Rural,Female,141671.0
60-64,Rwanda,Male,136793.0
60-64,Rwanda,Female,174208.0
60-64,Urban,Male,27532.0
60-64,Urban,Female,29656.0
60-64,Rural,Male,109261.0
60-64,Rural,Female,144552.0
65-69,Rwanda,Male,92098.0
65-69,Rwanda,Female,121903.0
65-69,Urban,Male,17061.0
65-69,Urban,Female,20093.0
65-69,Rural,Male,75037.0
65-69,Rural,Female,101810.0
70-74,Rwanda,Male,60277.0
70-74,Rwanda,Female,86861.0
70-74,Urban,Male,10826.0
70-74,Urban,Female,14540.0
70-74,Rural,Male,49451.0
70-74,Rural,Female,72321.0
75-79,Rwanda,Male,28476.0
75-79,Rwanda,Female,49329.0
75-79,Urban,Male,5071.0
75-79,Urban,Female,8689.0
75-79,Rural,Male,23405.0
75-79,Rural,Female,40640.0
80-84,Rwanda,Male,20408.0
80-84,Rwanda,Female,37591.0
80-84,Urban,Male,3628.0
80-84,Urban,Female,6612.0
80-84,Rural,Male,16780.0
80-84,Rural,Female,30979.0
85+,Rwanda,Male,18415.0
85+,Rwanda,Female,36570.0
85+,Urban,Male,3189.0
85+,Urban,Female,7065.0
85+,Rural,Male,15226.0
85+,Rural,Female,29505.0
