geo,geo_type,province,residence,sex,value
City of Kigali,Province,City of Kigali,Rwanda,Male,2.7
City of Kigali,Province,City of Kigali,Rwanda,Female,3.6
City of Kigali,Province,City of Kigali,Urban,Male,2.4
City of Kigali,Province,City of Kigali,Urban,Female,3.1
City of Kigali,Province,City of Kigali,Rural,Male,4.8
City of Kigali,Province,City of Kigali,Rural,Female,6.7
Nyarugenge,District,City of Kigali,Rwanda,Male,3.0
Nyarugenge,District,City of Kigali,Rwanda,Female,3.8
Nyarugenge,District,City of Kigali,Urban,Male,2.6
Nyarugenge,District,City of Kigali,Urban,Female,3.4
Nyarugenge,District,City of Kigali,Rural,Male,4.7
Nyarugenge,District,City of Kigali,Rural,Female,6.1
Gasabo,District,City of Kigali,Rwanda,Male,2.7
Gasabo,District,City of Kigali,Rwanda,Female,3.7
Gasabo,District,City of Kigali,Urban,Male,2.2
Gasabo,District,City of Kigali,Urban,Female,2.9
Gasabo,District,City of Kigali,Rural,Male,4.8
Gasabo,District,City of Kigali,Rural,Female,6.9
Kicukiro,District,City of Kigali,Rwanda,Male,2.5
Kicukiro,District,City of Kigali,Rwanda,Female,3.3
Kicukiro,District,City of Kigali,Urban,Male,2.5
Kicukiro,District,City of Kigali,Urban,Female,3.3
Kicukiro,District,City of Kigali,Rural,Male,6.5
Kicukiro,District,City of Kigali,Rural,Female,7.0
Southern Province,Province,Southern Province,Rwanda,Male,6.9
Southern Province,Province,Southern Province,Rwanda,Female,9.3
Southern Province,Province,Southern Province,Urban,Male,5.7
Southern Province,Province,Southern Province,Urban,Female,6.6
Southern Province,Province,Southern Province,Rural,Male,7.1
Southern Province,Province,Southern Province,Rural,Female,9.7
Nyanza,District,Southern Province,Rwanda,Male,7.3
Nyanza,District,Southern Province,Rwanda,Female,9.1
Nyanza,District,Southern Province,Urban,Male,4.5
Nyanza,District,Southern Province,Urban,Female,7.3
Nyanza,District,Southern Province,Rural,Male,7.6
Nyanza,District,Southern Province,Rural,Female,9.3
Gisagara,District,Southern Province,Rwanda,Male,5.9
Gisagara,District,Southern Province,Rwanda,Female,9.1
Gisagara,District,Southern Province,Urban,Male,5.5
Gisagara,District,Southern Province,Urban,Female,9.3
Gisagara,District,Southern Province,Rural,Male,5.9
Gisagara,District,Southern Province,Rural,Female,9.1
Nyaruguru,District,Southern Province,Rwanda,Male,7.0
Nyaruguru,District,Southern Province,Rwanda,Female,9.3
Nyaruguru,District,Southern Province,Urban,Male,5.5
Nyaruguru,District,Southern Province,Urban,Female,7.1
Nyaruguru,District,Southern Province,Rural,Male,7.0
Nyaruguru,District,Southern Province,Rural,Female,9.4
Huye,District,Southern Province,Rwanda,Male,7.4
Huye,District,Southern Province,Rwanda,Female,9.7
Huye,District,Southern Province,Urban,Male,9.6
Huye,District,Southern Province,Urban,Female,6.1
Huye,District,Southern Province,Rural,Male,6.7
Huye,District,Southern Province,Rural,Female,10.4
Nyamagabe,District,Southern Province,Rwanda,Male,7.2
Nyamagabe,District,Southern Province,Rwanda,Female,9.5
Nyamagabe,District,Southern Province,Urban,Male,6.0
