age_group,province,residence,sex,value
Population 10 years and above,Total,Rwanda,Male,737338.0
Population 10 years and above,Total,Rwanda,Female,553910.0
Population 10 years and above,Total,Urban,Male,481380.0
Population 10 years and above,Total,Urban,Female,389533.0
Population 10 years and above,Total,Rural,Male,255958.0
Population 10 years and above,Total,Rural,Female,164377.0
Population 10 years and above,City of Kigali,Rwanda,Male,291315.0
Population 10 years and above,City of Kigali,Rwanda,Female,231754.0
Population 10 years and above,City of Kigali,Urban,Male,281446.0
Population 10 years and above,City of Kigali,Urban,Female,225332.0
Population 10 years and above,City of Kigali,Rural,Male,9869.0
Population 10 years and above,City of Kigali,Rural,Female,6422.0
Population 10 years and above,Southern Province,Rwanda,Male,107750.0
Population 10 years and above,Southern Province,Rwanda,Female,86578.0
Population 10 years and above,Southern Province,Urban,Male,46237.0
Population 10 years and above,Southern Province,Urban,Female,41429.0
Population 10 years and above,Southern Province,Rural,Male,61513.0
Population 10 years and above,Southern Province,Rural,Female,45149.0
Population 10 years and above,Western Province,Rwanda,Male,109470.0
Population 10 years and above,Western Province,Rwanda,Female,75123.0
Population 10 years and above,Western Province,Urban,Male,55086.0
Population 10 years and above,Western Province,Urban,Female,42402.0
Population 10 years and above,Western Province,Rural,Male,54384.0
Population 10 years and above,Western Province,Rural,Female,32721.0
Population 10 years and above,Northern Province,Rwanda,Male,80538.0
Population 10 years and above,Northern Province,Rwanda,Female,56955.0
Population 10 years and above,Northern Province,Urban,Male,34068.0
Population 10 years and above,Northern Province,Urban,Female,28186.0
Population 10 years and above,Northern Province,Rural,Male,46470.0
Population 10 years and above,Northern Province,Rural,Female,28769.0
Population 10 years and above,Eastern Province,Rwanda,Male,148265.0
Population 10 years and above,Eastern Province,Rwanda,Female,103500.0
Population 10 years and above,Eastern Province,Urban,Male,64543.0
Population 10 years and above,Eastern Province,Urban,Female,52184.0
Population 10 years and above,Eastern Province,Rural,Male,83722.0
Population 10 years and above,Eastern Province,Rural,Female,51316.0
Population 16 years and above,Total,Rwanda,Male,706320.0
Population 16 years and above,Total,Rwanda,Female,521362.0
Population 16 years and above,Total,Urban,Male,460966.0
Population 16 years and above,Total,Urban,Female,369220.0
Population 16 years and above,Total,Rural,Male,245354.0
Population 16 years and above,Total,Rural,Female,152142.0
Population 16 years and above,City of Kigali,Rwanda,Male,279225.0
Population 16 years and above,City of Kigali,Rwanda,Female,219886.0
Population 16 years and above,City of Kigali,Urban,Male,269742.0
Population 16 years and above,City of Kigali,Urban,Female,213841.0
Population 16 years and above,City of Kigali,Rural,Male,9483.0
Population 16 years and above,City of Kigali,Rural,Female,6045.0
Population 16 years and above,Southern Province,Rwanda,Male,102395.0
