age_group,sex,count,pct
Total Resident,Both sexes,13246394.0,100.0
Total Resident,Male,6429326.0,48.5
Total Resident,Female,6817068.0,51.5
<1,Both sexes,339900.0,2.6
<1,Male,170246.0,1.3
<1,Female,169654.0,1.3
<5,Both sexes,1708460.0,12.9
<5,Male,856228.0,6.5
<5,Female,852232.0,6.4
1-4,Both sexes,1368560.0,10.3
1-4,Male,685982.0,5.2
1-4,Female,682578.0,5.2
3-5,Both sexes,1071139.0,8.1
3-5,Male,536957.0,4.1
3-5,Female,534182.0,4.0
3-6,Both sexes,1425212.0,10.8
3-6,Male,713927.0,5.4
3-6,Female,711285.0,5.4
0-15,Both sexes,5270262.0,39.8
0-15,Male,2637972.0,19.9
0-15,Female,2632290.0,19.9
0-17,Both sexes,5896601.0,44.5
0-17,Male,2949970.0,22.3
0-17,Female,2946631.0,22.2
6-11,Both sexes,1937762.0,14.6
6-11,Male,970363.0,7.3
6-11,Female,967399.0,7.3
7-12,Both sexes,1894300.0,14.3
7-12,Male,948050.0,7.2
7-12,Female,946250.0,7.1
12-17,Both sexes,1886896.0,14.2
12-17,Male,940635.0,7.1
12-17,Female,946261.0,7.1
13-18,Both sexes,1868015.0,14.1
13-18,Male,931523.0,7.0
13-18,Female,936492.0,7.1
14+,Both sexes,8619109.0,65.1
14+,Male,4111820.0,31.0
14+,Female,4507289.0,34.0
14-35,Both sexes,5153898.0,38.9
14-35,Male,2536585.0,19.1
14-35,Female,2617313.0,19.8
16-30,Both sexes,3595670.0,27.1
16-30,Male,1767063.0,13.3
16-30,Female,1828607.0,13.8
15-24,Both sexes,2683890.0,20.3
15-24,Male,1322706.0,10.0
15-24,Female,1361184.0,10.3
16-24,Both sexes,2370440.0,17.9
16-24,Male,1166123.0,8.8
16-24,Female,1204317.0,9.1
15-49,Both sexes,6716136.0,50.7
15-49,Male,3270471.0,24.7
15-49,Female,3445665.0,26.0
16-64,Both sexes,7424204.0,56.0
16-64,Male,3571680.0,27.0
16-64,Female,3852524.0,29.1
16+,Both sexes,7976132.0,60.2
16+,Male,3791354.0,28.6
16+,Female,4184778.0,31.6
18+,Both sexes,7349793.0,55.5
18+,Male,3479356.0,26.3
18+,Female,3870437.0,29.2
21+,Both sexes,6492924.0,49.0
21+,Male,3056093.0,23.1
21+,Female,3436831.0,25.9
60+,Both sexes,862929.0,6.5
60+,Male,356467.0,2.7
60+,Female,506462.0,3.8
65+,Both sexes,551928.0,4.2
65+,Male,219674.0,1.7
65+,Female,332254.0,2.5
