indicator,geo,geo_type,province,residence,sex,value
School attendance 13-18 (%),Rwanda,National,Rwanda,Rwanda,Both sexes,65.4
School attendance 13-18 (%),Rwanda,National,Rwanda,Rwanda,Male,63.2
School attendance 13-18 (%),Rwanda,National,Rwanda,Rwanda,Female,67.5
School attendance 13-18 (%),Rwanda,National,Rwanda,Urban,Both sexes,70.5
School attendance 13-18 (%),Rwanda,National,Rwanda,Urban,Male,72.0
School attendance 13-18 (%),Rwanda,National,Rwanda,Urban,Female,69.1
School attendance 13-18 (%),Rwanda,National,Rwanda,Rural,Both sexes,63.7
School attendance 13-18 (%),Rwanda,National,Rwanda,Rural,Male,60.6
School attendance 13-18 (%),Rwanda,National,Rwanda,Rural,Female,66.9
School attendance 13-18 (%),City of Kigali,Province,City of Kigali,Rwanda,Both sexes,69.2
School attendance 13-18 (%),City of Kigali,Province,City of Kigali,Rwanda,Male,71.5
School attendance 13-18 (%),City of Kigali,Province,City of Kigali,Rwanda,Female,67.3
School attendance 13-18 (%),City of Kigali,Province,City of Kigali,Urban,Both sexes,70.3
School attendance 13-18 (%),City of Kigali,Province,City of Kigali,Urban,Male,74.1
School attendance 13-18 (%),City of Kigali,Province,City of Kigali,Urban,Female,67.2
School attendance 13-18 (%),City of Kigali,Province,City of Kigali,Rural,Both sexes,63.2
School attendance 13-18 (%),City of Kigali,Province,City of Kigali,Rural,Male,58.6
School attendance 13-18 (%),City of Kigali,Province,City of Kigali,Rural,Female,68.0
School attendance 13-18 (%),Nyarugenge,District,City of Kigali,Rwanda,Both sexes,71.5
School attendance 13-18 (%),Nyarugenge,District,City of Kigali,Rwanda,Male,74.0
School attendance 13-18 (%),Nyarugenge,District,City of Kigali,Rwanda,Female,69.2
School attendance 13-18 (%),Nyarugenge,District,City of Kigali,Urban,Both sexes,72.1
School attendance 13-18 (%),Nyarugenge,District,City of Kigali,Urban,Male,75.6
School attendance 13-18 (%),Nyarugenge,District,City of Kigali,Urban,Female,69.0
School attendance 13-18 (%),Nyarugenge,District,City of Kigali,Rural,Both sexes,68.1
School attendance 13-18 (%),Nyarugenge,District,City of Kigali,Rural,Male,65.2
School attendance 13-18 (%),Nyarugenge,District,City of Kigali,Rural,Female,71.1
School attendance 13-18 (%),Gasabo,District,City of Kigali,Rwanda,Both sexes,67.6
School attendance 13-18 (%),Gasabo,District,City of Kigali,Rwanda,Male,69.0
School attendance 13-18 (%),Gasabo,District,City of Kigali,Rwanda,Female,66.3
School attendance 13-18 (%),Gasabo,District,City of Kigali,Urban,Both sexes,69.2
School attendance 13-18 (%),Gasabo,District,City of Kigali,Urban,Male,73.2
School attendance 13-18 (%),Gasabo,District,City of Kigali,Urban,Female,66.0
School attendance 13-18 (%),Gasabo,District,City of Kigali,Rural,Both sexes,62.0
School attendance 13-18 (%),Gasabo,District,City of Kigali,Rural,Male,56.8
School attendance 13-18 (%),Gasabo,District,City of Kigali,Rural,Female,67.5
School attendance 13-18 (%),Kicukiro,District,City of Kigali,Rwanda,Both sexes,70.5
School attendance 13-18 (%),Kicukiro,District,City of Kigali,Rwanda,Male,74.0
School attendance 13-18 (%),Kicukiro,District,City of Kigali,Rwanda,Female,67.5
School attendance 13-18 (%),Kicukiro,District,City of Kigali,Urban,Both sexes,70.6
School attendance 13-18 (%),Kicukiro,District,City of Kigali,Urban,Male,74.2
School attendance 13-18 (%),Kicukiro,District,City of Kigali,Urban,Female,67.6
School attendance 13-18 (%),Kicukiro,District,City of Kigali,Rural,Both sexes,58.3
School attendance 13-18 (%),Kicukiro,District,City of Kigali,Rural,Male,58.4
School attendance 13-18 (%),Kicukiro,District,City of Kigali,Rural,Female,58.2
School attendance 13-18 (%),Southern Province,Province,Southern Province,Rwanda,Both sexes,66.8
School attendance 13-18 (%),Southern Province,Province,Southern Province,Rwanda,Male,63.0
School attendance 13-18 (%),Southern Province,Province,Southern Province,Rwanda,Female,70.7
School attendance 13-18 (%),Southern Province,Province,Southern Province,Urban,Both sexes,72.2
School attendance 13-18 (%),Southern Province,Province,Southern Province,Urban,Male,73.1
School attendance 13-18 (%),Southern Province,Province,Southern Province,Urban,Female,71.3
School attendance 13-18 (%),Southern Province,Province,Southern Province,Rural,Both sexes,66.0
School attendance 13-18 (%),Southern Province,Province,Southern Province,Rural,Male,61.6
School attendance 13-18 (%),Southern Province,Province,Southern Province,Rural,Female,70.6
School attendance 13-18 (%),Nyanza,District,Southern Province,Rwanda,Both sexes,66.0
School attendance 13-18 (%),Nyanza,District,Southern Province,Rwanda,Male,61.1
School attendance 13-18 (%),Nyanza,District,Southern Province,Rwanda,Female,71.2
School attendance 13-18 (%),Nyanza,District,Southern Province,Urban,Both sexes,72.9
School attendance 13-18 (%),Nyanza,District,Southern Province,Urban,Male,72.3
School attendance 13-18 (%),Nyanza,District,Southern Province,Urban,Female,73.5
School attendance 13-18 (%),Nyanza,District,Southern Province,Rural,Both sexes,65.3
School attendance 13-18 (%),Nyanza,District,Southern Province,Rural,Male,60.1
School attendance 13-18 (%),Nyanza,District,Southern Province,Rural,Female,70.9
School attendance 13-18 (%),Gisagara,District,Southern Province,Rwanda,Both sexes,59.5
School attendance 13-18 (%),Gisagara,District,Southern Province,Rwanda,Male,57.0
School attendance 13-18 (%),Gisagara,District,Southern Province,Rwanda,Female,62.1
School attendance 13-18 (%),Gisagara,District,Southern Province,Urban,Both sexes,66.1
School attendance 13-18 (%),Gisagara,District,Southern Province,Urban,Male,64.7
School attendance 13-18 (%),Gisagara,District,Southern Province,Urban,Female,67.7
School attendance 13-18 (%),Gisagara,District,Southern Province,Rural,Both sexes,59.3
School attendance 13-18 (%),Gisagara,District,Southern Province,Rural,Male,56.7
School attendance 13-18 (%),Gisagara,District,Southern Province,Rural,Female,62.0
School attendance 13-18 (%),Nyaruguru,District,Southern Province,Rwanda,Both sexes,68.5
School attendance 13-18 (%),Nyaruguru,District,Southern Province,Rwanda,Male,64.4
School attendance 13-18 (%),Nyaruguru,District,Southern Province,Rwanda,Female,72.9
School attendance 13-18 (%),Nyaruguru,District,Southern Province,Urban,Both sexes,78.9
School attendance 13-18 (%),Nyaruguru,District,Southern Province,Urban,Male,75.5
School attendance 13-18 (%),Nyaruguru,District,Southern Province,Urban,Female,82.7
School attendance 13-18 (%),Nyaruguru,District,Southern Province,Rural,Both sexes,68.2
School attendance 13-18 (%),Nyaruguru,District,Southern Province,Rural,Male,64.1
School attendance 13-18 (%),Nyaruguru,District,Southern Province,Rural,Female,72.6
School attendance 13-18 (%),Huye,District,Southern Province,Rwanda,Both sexes,67.8
School attendance 13-18 (%),Huye,District,Southern Province,Rwanda,Male,64.5
School attendance 13-18 (%),Huye,District,Southern Province,Rwanda,Female,71.2
School attendance 13-18 (%),Huye,District,Southern Province,Urban,Both sexes,72.0
School attendance 13-18 (%),Huye,District,Southern Province,Urban,Male,76.6
School attendance 13-18 (%),Huye,District,Southern Province,Urban,Female,68.2
School attendance 13-18 (%),Huye,District,Southern Province,Rural,Both sexes,67.0
School attendance 13-18 (%),Huye,District,Southern Province,Rural,Male,62.6
School attendance 13-18 (%),Huye,District,Southern Province,Rural,Female,71.8
School attendance 13-18 (%),Nyamagabe,District,Southern Province,Rwanda,Both sexes,68.9
School attendance 13-18 (%),Nyamagabe,District,Southern Province,Rwanda,Male,65.7
School attendance 13-18 (%),Nyamagabe,District,Southern Province,Rwanda,Female,72.2
School attendance 13-18 (%),Nyamagabe,District,Southern Province,Urban,Both sexes,76.8
School attendance 13-18 (%),Nyamagabe,District,Southern Province,Urban,Male,76.6
School attendance 13-18 (%),Nyamagabe,District,Southern Province,Urban,Female,76.9
School attendance 13-18 (%),Nyamagabe,District,Southern Province,Rural,Both sexes,68.0
School attendance 13-18 (%),Nyamagabe,District,Southern Province,Rural,Male,64.5
School attendance 13-18 (%),Nyamagabe,District,Southern Province,Rural,Female,71.7
School attendance 13-18 (%),Ruhango,District,Southern Province,Rwanda,Both sexes,67.5
School attendance 13-18 (%),Ruhango,District,Southern Province,Rwanda,Male,63.8
School attendance 13-18 (%),Ruhango,District,Southern Province,Rwanda,Female,71.4
School attendance 13-18 (%),Ruhango,District,Southern Province,Urban,Both sexes,75.9
School attendance 13-18 (%),Ruhango,District,Southern Province,Urban,Male,76.2
School attendance 13-18 (%),Ruhango,District,Southern Province,Urban,Female,75.6
School attendance 13-18 (%),Ruhango,District,Southern Province,Rural,Both sexes,66.6
School attendance 13-18 (%),Ruhango,District,Southern Province,Rural,Male,62.6
School attendance 13-18 (%),Ruhango,District,Southern Province,Rural,Female,70.9
School attendance 13-18 (%),Muhanga,District,Southern Province,Rwanda,Both sexes,68.0
School attendance 13-18 (%),Muhanga,District,Southern Province,Rwanda,Male,63.9
School attendance 13-18 (%),Muhanga,District,Southern Province,Rwanda,Female,72.2
School attendance 13-18 (%),Muhanga,District,Southern Province,Urban,Both sexes,71.5
School attendance 13-18 (%),Muhanga,District,Southern Province,Urban,Male,75.5
School attendance 13-18 (%),Muhanga,District,Southern Province,Urban,Female,68.3
School attendance 13-18 (%),Muhanga,District,Southern Province,Rural,Both sexes,67.1
School attendance 13-18 (%),Muhanga,District,Southern Province,Rural,Male,61.1
School attendance 13-18 (%),Muhanga,District,Southern Province,Rural,Female,73.4
School attendance 13-18 (%),Kamonyi,District,Southern Province,Rwanda,Both sexes,68.8
School attendance 13-18 (%),Kamonyi,District,Southern Province,Rwanda,Male,64.4
School attendance 13-18 (%),Kamonyi,District,Southern Province,Rwanda,Female,73.2
School attendance 13-18 (%),Kamonyi,District,Southern Province,Urban,Both sexes,70.2
School attendance 13-18 (%),Kamonyi,District,Southern Province,Urban,Male,69.5
