indicator,geo,geo_type,province,residence,sex,value
Youth share of population (%),Rwanda,National,Rwanda,Rwanda,Both sexes,27.1
Youth share of population (%),Rwanda,National,Rwanda,Rwanda,Male,27.5
Youth share of population (%),Rwanda,National,Rwanda,Rwanda,Female,26.8
Youth share of population (%),Rwanda,National,Rwanda,Urban,Both sexes,31.4
Youth share of population (%),Rwanda,National,Rwanda,Urban,Male,30.8
Youth share of population (%),Rwanda,National,Rwanda,Urban,Female,32.1
Youth share of population (%),Rwanda,National,Rwanda,Rural,Both sexes,25.5
Youth share of population (%),Rwanda,National,Rwanda,Rural,Male,26.1
Youth share of population (%),Rwanda,National,Rwanda,Rural,Female,24.9
Youth share of population (%),City of Kigali,Province,City of Kigali,Rwanda,Both sexes,33.5
Youth share of population (%),City of Kigali,Province,City of Kigali,Rwanda,Male,32.5
Youth share of population (%),City of Kigali,Province,City of Kigali,Rwanda,Female,34.5
Youth share of population (%),City of Kigali,Province,City of Kigali,Urban,Both sexes,34.7
Youth share of population (%),City of Kigali,Province,City of Kigali,Urban,Male,33.4
Youth share of population (%),City of Kigali,Province,City of Kigali,Urban,Female,36.0
Youth share of population (%),City of Kigali,Province,City of Kigali,Rural,Both sexes,25.4
Youth share of population (%),City of Kigali,Province,City of Kigali,Rural,Male,26.3
Youth share of population (%),City of Kigali,Province,City of Kigali,Rural,Female,24.4
Youth share of population (%),Nyarugenge,District,City of Kigali,Rwanda,Both sexes,33.7
Youth share of population (%),Nyarugenge,District,City of Kigali,Rwanda,Male,33.4
Youth share of population (%),Nyarugenge,District,City of Kigali,Rwanda,Female,34.0
Youth share of population (%),Nyarugenge,District,City of Kigali,Urban,Both sexes,34.6
Youth share of population (%),Nyarugenge,District,City of Kigali,Urban,Male,34.0
Youth share of population (%),Nyarugenge,District,City of Kigali,Urban,Female,35.3
Youth share of population (%),Nyarugenge,District,City of Kigali,Rural,Both sexes,28.5
Youth share of population (%),Nyarugenge,District,City of Kigali,Rural,Male,30.7
Youth share of population (%),Nyarugenge,District,City of Kigali,Rural,Female,25.5
Youth share of population (%),Gasabo,District,City of Kigali,Rwanda,Both sexes,32.2
Youth share of population (%),Gasabo,District,City of Kigali,Rwanda,Male,31.0
Youth share of population (%),Gasabo,District,City of Kigali,Rwanda,Female,33.4
Youth share of population (%),Gasabo,District,City of Kigali,Urban,Both sexes,34.0
Youth share of population (%),Gasabo,District,City of Kigali,Urban,Male,32.4
Youth share of population (%),Gasabo,District,City of Kigali,Urban,Female,35.6
Youth share of population (%),Gasabo,District,City of Kigali,Rural,Both sexes,24.3
Youth share of population (%),Gasabo,District,City of Kigali,Rural,Male,24.5
Youth share of population (%),Gasabo,District,City of Kigali,Rural,Female,24.1
Youth share of population (%),Kicukiro,District,City of Kigali,Rwanda,Both sexes,35.6
Youth share of population (%),Kicukiro,District,City of Kigali,Rwanda,Male,34.3
Youth share of population (%),Kicukiro,District,City of Kigali,Rwanda,Female,37.0
Youth share of population (%),Kicukiro,District,City of Kigali,Urban,Both sexes,35.8
Youth share of population (%),Kicukiro,District,City of Kigali,Urban,Male,34.4
Youth share of population (%),Kicukiro,District,City of Kigali,Urban,Female,37.1
Youth share of population (%),Kicukiro,District,City of Kigali,Rural,Both sexes,24.6
Youth share of population (%),Kicukiro,District,City of Kigali,Rural,Male,24.7
Youth share of population (%),Kicukiro,District,City of Kigali,Rural,Female,24.5
Youth share of population (%),Southern Province,Province,Southern Province,Rwanda,Both sexes,24.9
Youth share of population (%),Southern Province,Province,Southern Province,Rwanda,Male,25.6
Youth share of population (%),Southern Province,Province,Southern Province,Rwanda,Female,24.2
Youth share of population (%),Southern Province,Province,Southern Province,Urban,Both sexes,28.9
Youth share of population (%),Southern Province,Province,Southern Province,Urban,Male,28.4
Youth share of population (%),Southern Province,Province,Southern Province,Urban,Female,29.4
Youth share of population (%),Southern Province,Province,Southern Province,Rural,Both sexes,24.2
