0,1,2
,,
,"Fifth Population and Housing Census, Rwanda 2022",
,Excel Tables in The Main Indicators Report,
,,
,Table of Contents,
,,"Table 1: Resident population by sex, Province, District and population density"
,,"Table 2: Resident population by residence, Province, and District"
,,Table 3: Number and population share (%) of some specific interventions target groups by sex
,,Table 4: Population change by sex and annual growth rate
,,Table 5: Five-years age group by sex distribution (Counts) by Area of residence
,,Table 6: Population by nationality and Province
,,Table 7: Resident population by religious affiliation and residence
,,Table 8: Population aged 15 years and above by language(s) of literacy[1]
,,"Table 9: Population by highest level of educational attended[1], sex and residence"
,," Table 10: Population aged 3 year and above by highest level of educational attended, sex and residence"
,,Table 11: Population aged 7-18 years by school attendance status
,,Table 12: Population aged 6-17 years by school attendance status
,,Table 13: Percentage of children aged 7-12 years currently attending school by sex and residence
,,Table 14: Percentage of children aged 6-11 currently attending school by sex and residence
,,Table 15: Percentage of children aged 13-18 years currently attending school by sex and residence
,,Table 16: Percentage of children aged 12-17 currently attending school by sex and residence
,,Table 17: Primary and secondary age population and corresponding number of students
,,"Table 18: Gross, net attendance rates in primary school level (6-11 years) by sex and residence"
,,"Table 19: Gross, net attendance rates in secondary education (12-17 years) by sex and residence"
,,Table 20: Number and % of the population who used internet by province and age groups
,,Table 21: Percentage of the population who used internet by district according to age groups
,,Table 22: Distribution of Population (10+ Years) who used internet by main place of access
,,Table 23: Number and % of population owning a mobile phone by Province and age groups
,,Table 24: Distribution of the population owning mobile phone by type of mobile phone
,,Table 25: Percentage of private households whose at least one member owns a mobile phone
,,Table 26: Percentage of single/never married population aged 12 and above by age groups and sex
,,"Table 27: Population aged 12 and above by marital status, sex and age groups"
,,"Table 28: Prevalence of medical insurance by district, residence and sex"
,,Table 29: Population who have a medical insurance by main type of insurance
,,Table 30: Lifetime migration matrix by Province[1]
,,Table 31: Recent migration matrix by Province
,,Table 32: Net lifetime and net recent migration by province and district
,,Table 33: Natality and fertility indicators among women aged 10 years and above
,,Table 34: Fertility indicators among the women aged 15-49 years
,,"Table 35: Both Sexes Abridged Life Table, Rwanda 2022"
,,"Table 36: Male Abridged Life Table, Rwanda 2022"
,,"Table 37: Female Abridged Life Table, Rwanda 2022"
,,"Table 38: Children (aged 0-17 years) by sex, Province, District and residence"
,,"Table 39: Share of the children in the population by district, sex and residence"
,,"Table 40: Birth registration rate by district, sex, and residence"
,,Table 41: Children by survivorship of biological parents and sex
,,Table 42: Children by survivorship of biological parents by residence
,,Table 43: Children by cohabitation status with biological parents by sex and residence
,,"Table 44: Number of youth (16-30 years) by district, sex and residence"
,,"Table 45: Share of the youth in the population by district, sex and residence"
,,"Table 46: Youth by marital status, sex, age group and residence"
,,"Table 47: Number and Percentage of women by Province, District and residence"
,,Table 48: Household headship rate among females and males (12+ years) by District
,,"Table 49: Number of elderly by sex by province, district and residence"
,,"Table 50: Share of the elderly in the population by sex and by district, sex and residence"
,,Table 51: Distribution (%) of elderly people by marital status by sex and residence
,,"Table 52: Prevalence (%) of disability among the elderly by district, sex and residence"
,,"Table 53: Proportion of the elderly by main type of medical insurance, sex and residence"
,,Table 54: Number and Percentage of population aged 5+ years with disability by district
,,"Table 55: Prevalence of disability by type, sex and residence"
,,Table 56: Prevalence of medical insurance among the population with/without disability by district
,,Table 57: Current school attendance rate in children (6-17) with/without disabilities by province
,,"Table 58: Private households (Number) by province, district and residence"
,,Table 59: Number and Percentage of the households headed by women by district
,,"Table 60: Mean size of the private households by district, sex of the household head and residence"
,,"Table 61: Mean number of persons by bedroom by sex of the household head, district and residence"
,,Table 62: Percentage of households with separate bedrooms for girls and boys by district
,,Table 63: Distribution (%) of the private households by type of habitat and District
,,Table 64: Distribution of the private housing units by tenure of household and District
,,Table 65: Distribution of the private housing units by main material of the roof and district
,,Table 66: Distribution of the private housing units by main material of the wall and District
,,Table 67: Distribution of the private housing units by main material of the floor and District
,,Table 68: Percentage of private households that have access to improved drinking water by district
,,Table 69: Distribution of the private households by main source of drinking water by district
,,Table 70: Distribution (%) of the private households by type of toilet facility and district
,,Table 71: Percentage of private households that use unshared improved toilet facility by District
,,Table 72: Distribution of the private households by main mode of waste disposal and district
