0,1,2,3,4,5,6,7,8
Table 32: Net lifetime and net recent migration by province and district,,,,,,,,
,Province/ District,Current population,Lifetime migration,,,Recent migration,,
,,,In-migrants,Out-migrants,In-migrants - Out-migrants (Net migration) ,In-migrants,Out-migrants,In-migrants - Out-migrants (Net migration) 
,Rwanda ,13246394,2706836,2706836,0,1382928,1382928,0
,City of Kigali,,,,,,,
,Nyarugenge,374319,180553,112395,68158,99979,97222,2757
,Gasabo,879505,412692,138984,273708,237073,139600,97473
,Kicukiro,491731,258296,89921,168375,164965,90243,74722
,Southern Province ,,,,,,,
,Nyanza,365718,64942,89012,-24070,27316,40756,-13440
,Gisagara,397051,28722,74453,-45731,13593,30227,-16634
,Nyaruguru,318126,14177,100130,-85953,7440,37029,-29589
,Huye,381900,68522,99375,-30853,35051,43554,-8503
,Nyamagabe,371501,19754,111279,-91525,9905,46576,-36671
,Ruhango,359121,57061,99592,-42531,24225,45504,-21279
,Muhanga,358433,52582,125393,-72811,31110,49092,-17982
,Kamonyi,450849,107370,89349,18021,64113,42668,21445
,Western Province  ,,,,,,,
,Karongi,373869,22702,97108,-74406,12140,39769,-27629
,Rutsiro,369180,16806,73839,-57033,7628,36987,-29359
,Rubavu,546683,88354,51696,36658,47560,30119,17441
,Nyabihu,319047,24529,90932,-66403,11261,35022,-23761
,Ngororero,367955,15514,111282,-95768,7220,48785,-41565
,Rusizi,485529,35916,90653,-54737,17424,42629,-25205
,Nyamasheke,434221,15726,122478,-106752,9065,50167,-41102
,Northern Province  ,,,,,,,
,Rulindo,360144,46850,102522,-55672,29540,33682,-4142
,Gakenke,365292,16810,138920,-122110,8400,41564,-33164
,Musanze,476522,67088,73669,-6581,40700,29824,10876
,Burera,387729,19598,80806,-61208,9349,22227,-12878
,Gicumbi,448824,27904,113380,-85476,14279,43963,-29684
,Eastern Province ,,,,,,,
,Rwamagana,484953,175021,72747,102274,104857,39933,64924
,Nyagatare,653861,261396,49184,212212,87615,47146,40469
,Gatsibo,551164,126833,71133,55700,46994,41995,4999
,Kayonza,457156,143795,53907,89888,61804,35579,26225
,Kirehe,460860,111891,46268,65623,39426,31033,8393
,Ngoma,404048,60715,56535,4180,24621,30956,-6335
,Bugesera,551103,164717,76217,88500,88275,36304,51971
,Not Stated,- ,- ,3677,- ,- ,2773,- 
