0,1,2,3,4
Table 51: Distribution (%) of elderly people by marital status by sex and residence,,,,
, Marital status,Both sexes,Male,Female
,Rwanda,100,100,100
,Never married,2.2,2.2,2.2
,Married,65.2,87.8,49.3
,Widowed,30.6,7.9,46.6
,Divorced,0.3,0.3,0.3
,Separated,1.7,1.8,1.6
,Urban,100,100,100
,Never married,3.4,3.4,3.3
,Married,63.5,85.6,46.4
,Widowed,30.9,8.6,48.2
,Divorced,0.5,0.5,0.5
,Separated,1.7,1.9,1.6
,Rural,100,100,100
,Never married,2,2,2
,Married,65.5,88.3,49.8
,Widowed,30.5,7.7,46.3
,Divorced,0.2,0.2,0.3
,Separated,1.7,1.8,1.6
