0,1,2,3,4,5,6,7,8,9
Table 63: Distribution (%) of the private households by type of habitat and District,,,,,,,,,
,Province/District,Total,Umudugudu (Planned rural settlement),Integrated Model Village,Old settlement,Dispersed/Isolated housing,Modern planned urban housing,Spontaneous/squatter housing,Other type of housing
,Rwanda,100,65.4,0.8,2.3,14.9,6.9,8.9,0.8
,City of Kigali,100,3.8,1.2,2.8,8,42.4,40.1,1.7
,Nyarugenge,100,2.8,0.9,2.3,11.3,28.3,53.2,1.1
,Gasabo,100,5.9,1,2.7,10.2,37.7,41.1,1.4
,Kicukiro,100,0.8,1.6,3.4,1.5,61.8,28.4,2.5
,Southern Province,100,72.3,1,1.3,20.2,0.7,3.7,0.9
,Nyanza,100,70.3,0.5,1.1,23.3,0.6,3.5,0.7
,Gisagara,100,77.3,1.1,1.2,17.7,0.1,0.8,1.8
,Nyaruguru,100,82.7,1.2,0.7,13.8,0,1.1,0.5
,Huye,100,82,1.6,1,11.6,0.6,2.8,0.4
,Nyamagabe,100,69.2,0.4,0.7,26.2,0.1,1.5,2
,Ruhango,100,61.2,0.7,2.8,31.6,0.1,3.4,0.4
,Muhanga,100,67.5,1.2,1.3,14.3,0.7,14.3,0.6
,Kamonyi,100,70.3,1.1,1.3,21.9,2.4,2.4,0.6
,Western Province,100,70.5,0.9,3.7,18.3,1.2,4.6,0.8
,Karongi,100,56.9,1.4,1.4,33.2,0.2,3.6,3.3
,Rutsiro,100,80.5,0.5,2.2,15.1,0,1.2,0.4
,Rubavu,100,70.7,0.5,6.7,4.9,5.4,11.5,0.3
,Nyabihu,100,61.8,0.9,13.6,18.1,0,5.5,0.1
,Ngororero,100,60.4,0.8,1.9,33.3,0.1,2.6,0.8
,Rusizi,100,85.4,1.1,0.7,7.4,0.7,4.6,0.1
,Nyamasheke,100,74.5,1.3,0.5,22.2,0,1,0.5
,Northern Province,100,70.5,0.6,1.7,22.3,0.5,4.1,0.3
,Rulindo,100,52.8,0.9,0.9,40.2,0.4,4.4,0.4
,Gakenke,100,85.5,0.5,0.3,13.1,0.1,0.3,0.2
,Musanze,100,76.4,0.7,4,7.7,1.6,9.3,0.2
,Burera,100,83.9,0.6,2.2,12.1,0,1,0.2
,Gicumbi,100,54.8,0.4,0.5,39.6,0.3,4,0.4
,Eastern Province,100,86.5,0.5,2.2,7.4,0.7,2,0.6
,Rwamagana,100,82.8,0.7,0.9,10.9,1.9,2.3,0.5
,Nyagatare,100,84.4,0.3,1.7,10.5,0.3,2.3,0.5
,Gatsibo,100,80.5,0.5,1,13.8,0.1,2.6,1.5
,Kayonza,100,91.8,0.4,0.7,5.4,0.4,0.8,0.5
,Kirehe,100,87.8,0.4,9.7,1,0.3,0.1,0.5
,Ngoma,100,96.3,0.5,0.2,2.1,0.1,0.7,0.1
,Bugesera,100,85.6,1,1.6,5.4,1.7,4.2,0.6
