0,1,2,3,4,5,6,7,8,9,10,11
Table 67: Distribution of the private housing units by main material of the floor and District,,,,,,,,,,,
,Province/District,Total,Earth,Dung hardened,Concrete,Stones,Burnt bricks,Wooden floor,Ceramic/clays/ Granite tiles,Cement,Other type of flooring materials
,Rwanda,100,60.4,3.6,0.2,0.5,0.6,0,3.3,31.2,0.1
,City of Kigali,100,18.8,0.2,0.4,0.2,0.1,0.1,16.6,63.1,0.2
,Nyarugenge,100,18.6,0.1,0.4,0.1,0.1,0,9.3,71,0.1
,Gasabo,100,21.5,0.3,0.4,0.2,0.1,0.1,16.6,59.9,0.2
,Kicukiro,100,13.8,0.1,0.4,0.3,0.2,0.1,22,62.7,0.2
,Southern Province,100,64.2,6,0.1,0.5,1.6,0,1,26.4,0.1
,Nyanza,100,68,6.3,0.1,0.2,0.5,0,0.5,24.3,0.1
,Gisagara,100,74.3,3.7,0,1.5,2.9,0,0.1,17.3,0.1
,Nyaruguru,100,62.2,21.1,0.1,0.2,1.4,,0.1,14.8,0.1
,Huye,100,53.3,12.6,0.1,0.9,2.7,0,1.3,29,0.1
,Nyamagabe,100,78.1,3.2,0,0.2,0.9,0,0.2,17.3,0
,Ruhango,100,64.6,3.8,0.1,0.3,2.1,0,0.3,28.7,0.1
,Muhanga,100,57.1,0.9,0.1,0.5,2.8,0,1.7,36.7,0.1
,Kamonyi,100,57,0.9,0.4,0.4,0.1,0,3.1,38,0.1
,Western Province,100,74.6,0.4,0.1,0.9,0.7,0,0.9,22.4,0
,Karongi,100,77.1,2.3,0,0.5,0.6,0,0.4,19.1,0
,Rutsiro,100,78.4,0.1,0,0.1,2.6,0,0.1,18.7,0
,Rubavu,100,57.8,0.2,0.2,1.8,0.2,0,3.1,36.5,0.1
,Nyabihu,100,77.8,0.1,0,1.7,0,0,0.1,20.2,0
,Ngororero,100,82.4,0.1,0.1,0.2,0.4,,0.1,16.7,0
,Rusizi,100,77.2,0.1,0.1,0.9,1,0.1,1.1,19.5,0
,Nyamasheke,100,77.6,0.1,0.1,1.1,0.3,0.1,0.2,20.6,0
,Northern Province,100,75.1,1,0.2,0.9,0.2,0,0.9,21.7,0.1
,Rulindo,100,70.8,0.6,0.3,0.2,0.4,0,0.8,26.6,0.1
,Gakenke,100,81.8,0.2,0,0.8,0.3,,0.2,16.7,0
,Musanze,100,64.9,0.1,0.3,1.9,0.1,0,2.6,30,0.1
,Burera,100,85.3,0.1,0.1,1.1,0.1,0,0.1,13.2,0
,Gicumbi,100,75.4,3.9,0.1,0.4,0.1,0,0.4,19.7,0.1
,Eastern Province,100,60.9,7.2,0.3,0.2,0.1,0,1.2,30.1,0.1
,Rwamagana,100,55,4.4,0.5,0.3,0.1,0,2.4,37.1,0.1
,Nyagatare,100,64.9,2,0.2,0.2,0,0,0.6,31.9,0.1
,Gatsibo,100,67,9.3,0.2,0.2,0,0,0.4,22.7,0
,Kayonza,100,60.7,11.4,0.4,0.2,0,0,0.7,26.5,0
,Kirehe,100,62.1,11.3,0.4,0.2,0,0,0.2,25.6,0
,Ngoma,100,60.9,15.7,0.3,0.1,0.1,0,0.3,22.5,0
,Bugesera,100,54.3,0.3,0.4,0.2,0,0,3.4,41.2,0.1
