0,1,2,3,4,5,6,7,8,9,10,11,12,13
"Table 75: Distribution of private households by main source of energy for lighting, Province and District",,,,,,,,,,,,,
,Province/District,Total,Electricity from REG,Private Hydro Mini grid,Solar power,Generator/ Betteries,Kerosene/ Paraffin/ Lantern lamp,Biogas,Candles,Firewoods,Flashlight/ phone flashlight,Other,Not Stated
,Rwanda,100,47,0.1,13.9,1.3,1.6,0,2.9,4.2,28.4,0.5,0
,City of Kigali,100,88,0.1,1.6,0.2,0.4,0,3.9,0.2,5.5,0.1,0
,Nyarugenge,100,92,0.1,0.8,0.1,0.3,0,3,0.1,3.5,0.1,0
,Gasabo,100,84.5,0.1,2,0.2,0.5,0,4.6,0.3,7.6,0.2,0
,Kicukiro,100,91.5,0,1.4,0.1,0.4,0,3.1,0.1,3.2,0.1,0
,Southern Province,100,35,0.2,19.9,1.8,1.3,0,2,4.7,34.6,0.6,0
,Nyanza,100,35.2,0.1,16.3,2.2,1.3,0,1.1,2.5,40.6,0.6,
,Gisagara,100,38.6,0.1,13.8,2,0.8,0,1.8,4.5,37.5,0.7,0
,Nyaruguru,100,32,0.2,33.6,0.8,0.9,0,1.8,10.4,19.6,0.8,0
,Huye,100,41.2,0.1,15.1,2,2.1,0,3.2,4.1,31.6,0.5,0
,Nyamagabe,100,20.7,0.1,25.8,1.7,0.8,0,2.2,12.4,35.6,0.5,0
,Ruhango,100,42.2,0.2,16.2,1.8,1.4,0,1.3,2.4,34,0.5,0
,Muhanga,100,34.1,0.5,22.6,1.8,1.3,0,1.4,2.2,35.8,0.4,0
,Kamonyi,100,34.3,0.4,19.3,1.8,1.6,0,3,0.9,38.2,0.5,0
,Western Province,100,45.5,0.1,11.1,1,2.1,0,3.2,9.8,26.7,0.6,0
,Karongi,100,30.6,0.1,19.7,1.9,1.3,0,1.9,7.1,36.6,0.8,0
,Rutsiro,100,42.1,0.1,8,1.1,1.2,0,1.8,13.8,31.4,0.6,0
,Rubavu,100,67.8,0.1,3.6,0.3,1.9,0,6.7,6.5,12.7,0.5,0
,Nyabihu,100,37.3,0.1,9.7,0.5,2,0,3,14.9,32,0.5,0
,Ngororero,100,27.4,0.1,13,1.3,1.7,0,1.3,15.6,39,0.6,0
,Rusizi,100,58.2,0.1,8.9,1.1,3.2,0,3.2,5.4,19.1,0.7,0
,Nyamasheke,100,44,0.3,17.3,0.9,3.2,0,2.8,7.8,23,0.7,0
,Northern Province,100,39,0.1,15,0.9,1.2,0,3,5,35.3,0.4,0
,Rulindo,100,30.2,0.1,24.3,0.9,1.1,0,4,2.9,36,0.4,0
,Gakenke,100,26.6,0.1,23,1.3,1.4,,1.2,6.9,39.2,0.4,0
,Musanze,100,58.7,0,4.2,0.3,1.1,0,4.7,4.5,26.1,0.3,0
,Burera,100,45.7,0,6.9,0.5,1.5,0,1.8,7.7,35.4,0.5,0
,Gicumbi,100,30,0.1,19,1.5,0.9,0,2.9,3.7,41.3,0.5,0
,Eastern Province,100,40.3,0.2,17.1,1.9,2.4,0,3.1,1.4,33.2,0.5,0
,Rwamagana,100,53,0.2,14.5,1,1.3,0,4.6,0.8,24.2,0.5,0
,Nyagatare,100,37,0.1,17.4,2.4,1.5,0,2.7,1.5,37,0.4,0
,Gatsibo,100,27,0.4,21.4,2.8,1.5,0,3.2,1.3,41.8,0.6,0
,Kayonza,100,39.6,0.2,18.1,1.7,3.7,0,2.7,1.4,32.1,0.4,0
,Kirehe,100,40.6,0.3,16.2,1.6,3.8,0,2.4,1.4,33.3,0.4,
,Ngoma,100,36,0.1,22.1,1.7,5.5,0,1.8,1.1,31.1,0.6,
,Bugesera,100,49.8,0.3,10.7,1.7,0.9,0,3.8,2,30.5,0.4,0
