0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Table 78: Percentage of private households possessing specific assets by Province and District,,,,,,,,,,,,,,,,,,
,,Mobile Phone,Radio[1],Television,Refrigerator/ Freezer,Gas/Electrical Cooker,Washing Machine,Microwave,Mattress,Bench/ Chair,Bed,Tables,Sofa,Computers,Vehicles,Motorcycles,Bicycles,Electrical/Charcoal Iron
,Rwanda,78.1,81.3,12.3,2.7,9.2,0.5,1,70.2,73.7,60.6,63.3,12.9,4.2,1.8,1.6,11,14.5
,City of Kigali ,92.4,93.9,36.1,12.3,34.7,2,4.4,91.3,53.8,55.2,64.6,34.9,16.3,7.6,2.4,6.5,37
,Nyarugenge,92.8,94,36.8,8.9,32.2,1.2,2.5,91.9,47.6,51.4,62.3,32.9,13.1,4.3,1.9,3.9,35.2
,Gasabo,91.3,93,32.6,10.6,31.1,2.3,4.1,90.1,55.8,54.9,64.5,31.8,14.3,6.7,2.3,6.9,33.7
,Kicukiro,94.3,95.3,41.9,18,43.1,2.3,6.2,93.1,54.8,58.6,66.6,42.3,22.5,11.7,2.7,7.8,44.3
,Southern Province ,71.9,76,7.6,1.1,4.1,0.3,0.4,62,76.5,61.9,58.3,9.1,2.3,0.9,1.3,9.5,10.7
,Nyanza,69.3,74.5,6.5,0.7,2.7,0.2,0.3,60.2,72.8,45.4,51,8.4,1.6,0.6,1.3,12.7,10.3
,Gisagara,66.5,68.8,3.7,0.4,3.4,0.2,0.3,55.2,75.6,70.3,47.3,4.6,0.9,0.5,1.2,15.8,5.5
,Nyaruguru,67.6,72.5,2.8,0.3,1,0.2,0.2,49.1,76,77,54.2,4.3,0.9,0.3,0.9,5,4.2
,Huye,70.1,75.1,10,1.8,6.4,0.3,0.6,60.4,75,62.4,55.8,12.4,4.1,1.4,1.5,11.7,13
,Nyamagabe,70.5,74.3,3.8,0.4,1.7,0.2,0.2,54.3,79.9,65.7,61.2,3.7,1.3,0.4,1.1,4.9,5.8
,Ruhango,71.2,75.7,6.9,0.6,2.4,0.2,0.3,61.3,73.4,47.3,55.3,7.8,1.5,0.5,1.2,9.6,10.1
,Muhanga,77.9,82.6,11.7,1.5,7,0.3,0.4,77.1,83.4,72.5,75.2,13.9,3.6,1.2,1.5,7.3,15.3
,Kamonyi,79.6,83.1,12.9,2.5,7.2,0.4,0.7,73.4,76.2,58.3,65.2,15.3,3.6,1.9,1.9,8,18.3
,Western Province  ,77.1,79.2,8,1,3.4,0.3,0.4,63.6,78.2,70.1,67.9,7.2,1.9,0.7,0.8,2.4,10.9
,Karongi,74.1,77.5,5,0.6,2.8,0.2,0.3,65.6,83.2,64.8,65.2,4.7,1.6,0.5,0.8,1.5,8.3
,Rutsiro,73,75.6,4.1,0.4,1.1,0.2,0.2,53.9,80.8,73.8,59.9,3.1,0.9,0.3,0.9,1.6,6.9
,Rubavu,79.3,81,17.2,2.6,9.5,0.5,0.8,68.3,70,68.6,69.1,18.4,4.3,1.7,1.1,4.4,16.8
,Nyabihu,76.1,78.1,4.1,0.3,1.6,0.2,0.3,61.8,80.7,72.1,68.4,6.2,1.2,0.3,0.4,2.7,6.6
,Ngororero,72.4,73.8,3.1,0.3,1.2,0.2,0.2,53,81.5,63.8,62.3,2.9,0.8,0.3,0.5,1.3,4.1
,Rusizi,81,83,11.7,1.2,3.9,0.3,0.4,70.6,74.8,72.2,74,5.7,1.9,0.9,0.9,3.2,15.4
,Nyamasheke,82.1,84.1,6.7,0.5,1.6,0.2,0.3,68.5,80.6,76.3,74.8,5.4,1.2,0.4,1,1.1,14.4
,Northern Province ,77.6,82,7.5,0.8,4.2,0.3,0.4,68.3,81,74.8,72.6,8.1,2.3,0.7,1.1,6.8,8.8
,Rulindo,77.8,83.4,9,1,4.2,0.3,0.4,72.9,81.8,76.5,74.5,11.5,2.2,0.7,1.5,7.3,10.5
,Gakenke,76.2,81.2,3.7,0.4,1.4,0.2,0.2,63.8,82,75.9,73.9,4.5,1.1,0.4,0.9,5.1,4.9
,Musanze,81.6,84.5,13.4,1.7,10.2,0.5,0.7,70.8,78.5,75.2,74.2,12.3,5.1,1.3,0.9,5.9,14.5
,Burera,77.6,81.1,4.1,0.4,1.2,0.2,0.3,61.9,79.8,68,66.6,2.9,1.1,0.3,0.8,5.6,4.5
,Gicumbi,74.5,79.5,6,0.5,2.8,0.2,0.3,70.8,83,77.9,73.1,7.9,1.7,0.5,1.6,10,8
,Eastern Province ,76.5,80.1,9.3,1.2,6.6,0.3,0.4,71.8,74.7,47.1,58.1,11.1,2.1,0.9,2.3,23.6,11.3
,Rwamagana,81.1,84.3,15.1,1.9,8.5,0.4,0.6,80.1,73.1,59.8,63.7,18.6,3.2,1.3,2.4,19.6,17.7
,Nyagatare,78.9,81.8,8.5,0.8,4.1,0.3,0.4,74.5,71.9,31.3,52.9,10.4,1.7,0.6,3.4,26.9,8.9
,Gatsibo,71.4,76.3,6.3,0.6,2.8,0.2,0.3,68.7,77,49.5,57.3,9.7,1.3,0.5,1.9,19.9,9.6
,Kayonza,76.2,79.6,8.8,0.9,5.1,0.3,0.4,72.3,73.4,47.9,55.3,10.4,1.8,0.7,1.8,21.8,11
,Kirehe,76.9,80.6,5.6,0.5,12.9,0.3,0.3,66.8,77.3,41.7,58.1,5.6,1.1,0.4,1.7,21.5,7.6
,Ngoma,71.4,76,7.3,0.7,3,0.2,0.3,67.9,76.3,62,60.8,6.6,1.4,0.6,1.5,25.3,10.2
,Bugesera,78.3,81.4,13.1,2.8,10,0.4,0.8,70.9,74.6,44.7,60.1,15.3,4,1.9,2.6,28.7,14.6
,[1] Possession of radio include households owning smart phones and mobile phone with radio,,,,,,,,,,,,,,,,,
