0,1,2,3,4,5,6,7,8,9,10
Table 80: Number and Percentage of private agricultural households by district and sex of hosehold head,,,,,,,,,,
,Province/,Total households,,,Agricultural households,,,,,
,District,Counts,,,Counts,,,,,
,,Total,Male Headed,Female Headed,Total,Male Headed,Female Headed,Total,Male Headed,Female Headed
,Rwanda,3312743,2355298,957445,2280854,1639073,641781,68.9,69.6,67
,City of Kigali ,488868,371404,117464,102733,80133,22600,21,21.6,19.2
,Nyarugenge,103985,77522,26463,20073,15403,4670,19.3,19.9,17.6
,Gasabo,249420,190586,58834,58735,45464,13271,23.5,23.9,22.6
,Kicukiro,135463,103296,32167,23925,19266,4659,17.7,18.7,14.5
,Southern Province ,760173,517719,242454,618452,426130,192322,81.4,82.3,79.3
,Nyanza,93007,61266,31741,75365,50120,25245,81,81.8,79.5
,Gisagara,101145,65565,35580,87353,57938,29415,86.4,88.4,82.7
,Nyaruguru,73805,51127,22678,65613,46103,19510,88.9,90.2,86
,Huye,96037,62541,33496,74948,48819,26129,78,78.1,78
,Nyamagabe,92052,63831,28221,79974,56997,22977,86.9,89.3,81.4
,Ruhango,94508,63571,30937,74538,51066,23472,78.9,80.3,75.9
,Muhanga,93241,66126,27115,74147,53056,21091,79.5,80.2,77.8
,Kamonyi,116378,83692,32686,86514,62031,24483,74.3,74.1,74.9
,Western Province ,671506,472913,198593,503360,362439,140921,75,76.6,71
,Karongi,91444,62341,29103,76076,53289,22787,83.2,85.5,78.3
,Rutsiro,86802,61866,24936,73034,53479,19555,84.1,86.4,78.4
,Rubavu,124080,89032,35048,56974,42297,14677,45.9,47.5,41.9
,Nyabihu,76391,52819,23572,56126,39840,16286,73.5,75.4,69.1
,Ngororero,92623,62845,29778,82102,56752,25350,88.6,90.3,85.1
,Rusizi,104937,76244,28693,78039,57557,20482,74.4,75.5,71.4
,Nyamasheke,95229,67766,27463,81009,59225,21784,85.1,87.4,79.3
,Northern Province ,506064,369868,136196,417503,309819,107684,82.5,83.8,79.1
,Rulindo,91909,66716,25193,77125,56248,20877,83.9,84.3,82.9
,Gakenke,93609,67915,25694,86772,63654,23118,92.7,93.7,90
,Musanze,119387,86365,33022,79190,58454,20736,66.3,67.7,62.8
,Burera,91786,68469,23317,78077,59427,18650,85.1,86.8,80
,Gicumbi,109373,80403,28970,96339,72036,24303,88.1,89.6,83.9
,Eastern Province ,886132,623394,262738,638806,460552,178254,72.1,73.9,67.8
,Rwamagana,121051,84414,36637,79624,56113,23511,65.8,66.5,64.2
,Nyagatare,160435,115690,44745,106284,79310,26974,66.3,68.6,60.3
,Gatsibo,136208,96250,39958,106895,78051,28844,78.5,81.1,72.2
,Kayonza,114186,79812,34374,85078,60689,24389,74.5,76,71
,Kirehe,113886,78759,35127,84424,61173,23251,74.1,77.7,66.2
,Ngoma,102589,70350,32239,85032,59352,25680,82.9,84.4,79.7
,Bugesera,137777,98119,39658,91469,65864,25605,66.4,67.1,64.6
