sex,disability,level,pct
Both sexes,Total,No Education,14.0
Both sexes,Total,Pre-Nursery/ECD,0.6
Both sexes,Total,Pre-primary,1.5
Both sexes,Total,Primary,61.9
Both sexes,Total,Vocational/INGOBOKA,0.8
Both sexes,Total,Lower Secondary,10.0
Both sexes,Total,Upper Secondary,7.4
Both sexes,Total,University/Higher,3.8
Both sexes,Total,Not stated,0.0
Both sexes,Without disability,No Education,13.3
Both sexes,Without disability,Pre-Nursery/ECD,0.6
Both sexes,Without disability,Pre-primary,1.5
Both sexes,Without disability,Primary,62.2
Both sexes,Without disability,Vocational/INGOBOKA,0.8
Both sexes,Without disability,Lower Secondary,10.2
Both sexes,Without disability,Upper Secondary,7.5
Both sexes,Without disability,University/Higher,3.8
Both sexes,Without disability,Not stated,0.0
Both sexes,With disability,No Education,34.7
Both sexes,With disability,Pre-Nursery/ECD,0.3
Both sexes,With disability,Pre-primary,0.6
Both sexes,With disability,Primary,52.6
Both sexes,With disability,Vocational/INGOBOKA,1.2
Both sexes,With disability,Lower Secondary,5.5
Both sexes,With disability,Upper Secondary,3.7
Both sexes,With disability,University/Higher,1.4
Male,Total,No Education,12.2
Male,Total,Pre-Nursery/ECD,0.6
Male,Total,Pre-primary,1.6
Male,Total,Primary,63.6
Male,Total,Vocational/INGOBOKA,0.9
Male,Total,Lower Secondary,9.3
Male,Total,Upper Secondary,7.3
Male,Total,University/Higher,4.4
Male,Total,Not stated,0.0
Male,Without disability,No Education,11.7
Male,Without disability,Pre-Nursery/ECD,0.6
Male,Without disability,Pre-primary,1.6
Male,Without disability,Primary,63.8
Male,Without disability,Vocational/INGOBOKA,0.9
Male,Without disability,Lower Secondary,9.5
Male,Without disability,Upper Secondary,7.4
Male,Without disability,University/Higher,4.5
Male,Without disability,Not stated,0.0
Male,With disability,No Education,29.7
Male,With disability,Pre-Nursery/ECD,0.3
Male,With disability,Pre-primary,0.8
Male,With disability,Primary,56.9
Male,With disability,Vocational/INGOBOKA,1.2
Male,With disability,Lower Secondary,5.4
Male,With disability,Upper Secondary,3.9
Male,With disability,University/Higher,1.7
Female,Total,No Education,15.7
Female,Total,Pre-Nursery/ECD,0.6
Female,Total,Pre-primary,1.5
Female,Total,Primary,60.3
Female,Total,Vocational/INGOBOKA,0.7
Female,Total,Lower Secondary,10.6
Female,Total,Upper Secondary,7.4
Female,Total,University/Higher,3.2
Female,Total,Not stated,0.0
Female,Without disability,No Education,14.8
Female,Without disability,Pre-Nursery/ECD,0.6
Female,Without disability,Pre-primary,1.5
Female,Without disability,Primary,60.7
Female,Without disability,Vocational/INGOBOKA,0.7
Female,Without disability,Lower Secondary,10.8
Female,Without disability,Upper Secondary,7.5
Female,Without disability,University/Higher,3.2
Female,Without disability,Not stated,0.0
Female,With disability,No Education,38.7
Female,With disability,Pre-Nursery/ECD,0.2
Female,With disability,Pre-primary,0.5
Female,With disability,Primary,49.1
Female,With disability,Vocational/INGOBOKA,1.3
Female,With disability,Lower Secondary,5.5
Female,With disability,Upper Secondary,3.6
Female,With disability,University/Higher,1.1
