age_group,sex,illiterate,literate,total,pct_literate
15-19,Both sexes,150579.0,1358762.0,1509341.0,90.0
20-24,Both sexes,118490.0,1056059.0,1174549.0,89.9
25-29,Both sexes,113507.0,893800.0,1007307.0,88.7
30-34,Both sexes,161709.0,789038.0,950747.0,83.0
35-39,Both sexes,211346.0,658637.0,869983.0,75.7
40-44,Both sexes,177469.0,547485.0,724954.0,75.5
45-49,Both sexes,119598.0,359657.0,479255.0,75.0
50-54,Both sexes,115991.0,277797.0,393788.0,70.5
55-59,Both sexes,126246.0,190483.0,316729.0,60.1
60-64,Both sexes,145667.0,165334.0,311001.0,53.2
65-69,Both sexes,108952.0,105049.0,214001.0,49.1
70-74,Both sexes,84472.0,62666.0,147138.0,42.6
75-79,Both sexes,48528.0,29277.0,77805.0,37.6
80-84,Both sexes,38478.0,19521.0,57999.0,33.7
85+,Both sexes,39412.0,15573.0,54985.0,28.3
15-19,Male,96861.0,653302.0,750163.0,87.1
20-24,Male,68384.0,504159.0,572543.0,88.1
25-29,Male,59819.0,434775.0,494594.0,87.9
30-34,Male,75441.0,390303.0,465744.0,83.8
35-39,Male,94249.0,331064.0,425313.0,77.8
40-44,Male,77133.0,269667.0,346800.0,77.8
45-49,Male,45939.0,169375.0,215314.0,78.7
50-54,Male,43129.0,135541.0,178670.0,75.9
55-59,Male,45550.0,96779.0,142329.0,68.0
60-64,Male,50835.0,85958.0,136793.0,62.8
65-69,Male,34506.0,57592.0,92098.0,62.5
70-74,Male,24513.0,35764.0,60277.0,59.3
75-79,Male,12661.0,15815.0,28476.0,55.5
80-84,Male,9836.0,10572.0,20408.0,51.8
85+,Male,10039.0,8376.0,18415.0,45.5
15-19,Female,53718.0,705460.0,759178.0,92.9
20-24,Female,50106.0,551900.0,602006.0,91.7
25-29,Female,53688.0,459025.0,512713.0,89.5
30-34,Female,86268.0,398735.0,485003.0,82.2
35-39,Female,117097.0,327573.0,444670.0,73.7
40-44,Female,100336.0,277818.0,378154.0,73.5
45-49,Female,73659.0,190282.0,263941.0,72.1
50-54,Female,72862.0,142256.0,215118.0,66.1
55-59,Female,80696.0,93704.0,174400.0,53.7
60-64,Female,94832.0,79376.0,174208.0,45.6
65-69,Female,74446.0,47457.0,121903.0,38.9
70-74,Female,59959.0,26902.0,86861.0,31.0
75-79,Female,35867.0,13462.0,49329.0,27.3
80-84,Female,28642.0,8949.0,37591.0,23.8
85+,Female,29373.0,7197.0,36570.0,19.7
