group,year,sex,count,pct
Total boarding Students,2017,Male,80236.0,0.491
Total boarding Students,2017,Female,83243.0,0.509
Total boarding Students,2018,Male,79673.0,0.488
Total boarding Students,2018,Female,83462.0,0.512
Total boarding Students,2019,Male,84882.0,0.496
Total boarding Students,2019,Female,86350.0,0.504
Total boarding Students,2020/21,Male,89833.0,0.486
Total boarding Students,2020/21,Female,94858.0,0.514
Total boarding Students,2021/22,Male,94686.0,0.48
Total boarding Students,2021/22,Female,102482.0,0.52
Total boarding Students,2022/23,Male,105300.0,0.482
Total boarding Students,2022/23,Female,112965.0,0.518
Total non-boarding Students,2017,Male,0.72,0.461
Total non-boarding Students,2017,Female,0.743,0.539
Total non-boarding Students,2018,Male,0.742,0.462
Total non-boarding Students,2018,Female,0.761,0.538
Total non-boarding Students,2019,Male,0.752,0.458
Total non-boarding Students,2019,Female,0.779,0.542
Total non-boarding Students,2020/21,Male,0.753,0.457
Total non-boarding Students,2020/21,Female,0.774,0.543
Total non-boarding Students,2021/22,Male,0.747,0.452
Total non-boarding Students,2021/22,Female,0.767,0.548
Total non-boarding Students,2022/23,Male,0.723,0.447
Total non-boarding Students,2022/23,Female,0.75,0.553
