group,year,sex,count,pct,table
Total learners with disability,2017,Male,16807.0,0.529,trend
Total learners with disability,2017,Female,14963.0,0.471,trend
Total learners with disability,2018,Male,12955.0,0.557,trend
Total learners with disability,2018,Female,10289.0,0.443,trend
Total learners with disability,2019,Male,12780.0,0.545,trend
Total learners with disability,2019,Female,10661.0,0.455,trend
Total learners with disability,2020/21,Male,16978.0,0.553,trend
Total learners with disability,2020/21,Female,13751.0,0.447,trend
Total learners with disability,2021/22,Male,21615.0,0.555,trend
Total learners with disability,2021/22,Female,17322.0,0.445,trend
Total learners with disability,2022/23,Male,22497.0,0.558,trend
Total learners with disability,2022/23,Female,17845.0,0.442,trend
In Preprimary,2017,Male,829.0,,trend
In Preprimary,2017,Female,533.0,,trend
In Preprimary,2018,Male,743.0,,trend
In Preprimary,2018,Female,510.0,,trend
In Preprimary,2019,Male,1077.0,,trend
In Preprimary,2019,Female,854.0,,trend
In Preprimary,2020/21,Male,1297.0,,trend
In Preprimary,2020/21,Female,923.0,,trend
In Preprimary,2021/22,Male,1633.0,,trend
In Preprimary,2021/22,Female,1149.0,,trend
In Preprimary,2022/23,Male,1790.0,,trend
In Preprimary,2022/23,Female,1295.0,,trend
In Primary,2017,Male,13317.0,,trend
In Primary,2017,Female,11663.0,,trend
In Primary,2018,Male,9669.0,,trend
In Primary,2018,Female,7464.0,,trend
In Primary,2019,Male,8953.0,,trend
In Primary,2019,Female,7068.0,,trend
In Primary,2020/21,Male,13027.0,,trend
In Primary,2020/21,Female,10400.0,,trend
In Primary,2021/22,Male,16848.0,,trend
In Primary,2021/22,Female,13275.0,,trend
In Primary,2022/23,Male,17518.0,,trend
In Primary,2022/23,Female,13641.0,,trend
Gen and prof. secondary,2017,Male,2253.0,,trend
Gen and prof. secondary,2017,Female,2304.0,,trend
Gen and prof. secondary,2018,Male,2194.0,,trend
Gen and prof. secondary,2018,Female,2008.0,,trend
Gen and prof. secondary,2019,Male,2206.0,,trend
Gen and prof. secondary,2019,Female,2061.0,,trend
Gen and prof. secondary,2020/21,Male,2088.0,,trend
Gen and prof. secondary,2020/21,Female,1885.0,,trend
Gen and prof. secondary,2021/22,Male,2536.0,,trend
Gen and prof. secondary,2021/22,Female,2309.0,,trend
Gen and prof. secondary,2022/23,Male,2591.0,,trend
Gen and prof. secondary,2022/23,Female,2392.0,,trend
In TVET L1 to L5,2017,Male,318.0,,trend
In TVET L1 to L5,2017,Female,399.0,,trend
In TVET L1 to L5,2018,Male,251.0,,trend
In TVET L1 to L5,2018,Female,232.0,,trend
In TVET L1 to L5,2019,Male,212.0,,trend
In TVET L1 to L5,2019,Female,154.0,,trend
In TVET L1 to L5,2020/21,Male,281.0,,trend
In TVET L1 to L5,2020/21,Female,197.0,,trend
In TVET L1 to L5,2021/22,Male,350.0,,trend
In TVET L1 to L5,2021/22,Female,260.0,,trend
In TVET L1 to L5,2022/23,Male,360.0,,trend
In TVET L1 to L5,2022/23,Female,260.0,,trend
In Higher education,2017,Male,90.0,,trend
In Higher education,2017,Female,64.0,,trend
In Higher education,2018,Male,98.0,,trend
In Higher education,2018,Female,75.0,,trend
In Higher education,2019,Male,68.0,,trend
In Higher education,2019,Female,41.0,,trend
In Higher education,2020/21,Male,80.0,,trend
In Higher education,2020/21,Female,39.0,,trend
In Higher education,2021/22,Male,146.0,,trend
In Higher education,2021/22,Female,88.0,,trend
In Higher education,2022/23,Male,140.0,,trend
In Higher education,2022/23,Female,84.0,,trend
In Adult literacy,2019,Male,264.0,,trend
In Adult literacy,2019,Female,483.0,,trend
In Adult literacy,2020/21,Male,205.0,,trend
In Adult literacy,2020/21,Female,307.0,,trend
In Adult literacy,2021/22,Male,102.0,,trend
In Adult literacy,2021/22,Female,241.0,,trend
In Adult literacy,2022/23,Male,98.0,,trend
In Adult literacy,2022/23,Female,173.0,,trend
