location,province,geo_type,year,count,level
Gisagara,South,District,2021/22,185.0,Preprimary
Gisagara,South,District,2022/23,239.0,Preprimary
Huye,South,District,2021/22,245.0,Preprimary
Huye,South,District,2022/23,333.0,Preprimary
Kamonyi,South,District,2021/22,349.0,Preprimary
Kamonyi,South,District,2022/23,503.0,Preprimary
Muhanga,South,District,2021/22,296.0,Preprimary
Muhanga,South,District,2022/23,343.0,Preprimary
Nyamagabe,South,District,2021/22,196.0,Preprimary
Nyamagabe,South,District,2022/23,247.0,Preprimary
Nyanza,South,District,2021/22,188.0,Preprimary
Nyanza,South,District,2022/23,265.0,Preprimary
Nyaruguru,South,District,2021/22,154.0,Preprimary
Nyaruguru,South,District,2022/23,222.0,Preprimary
Ruhango,South,District,2021/22,185.0,Preprimary
Ruhango,South,District,2022/23,239.0,Preprimary
South,South,Province,2021/22,1798.0,Preprimary
South,South,Province,2022/23,2391.0,Preprimary
Karongi,West,District,2021/22,359.0,Preprimary
Karongi,West,District,2022/23,452.0,Preprimary
Ngororero,West,District,2021/22,188.0,Preprimary
Ngororero,West,District,2022/23,244.0,Preprimary
Nyabihu,West,District,2021/22,167.0,Preprimary
Nyabihu,West,District,2022/23,215.0,Preprimary
Nyamasheke,West,District,2021/22,198.0,Preprimary
Nyamasheke,West,District,2022/23,281.0,Preprimary
Rubavu,West,District,2021/22,323.0,Preprimary
Rubavu,West,District,2022/23,396.0,Preprimary
Rusizi,West,District,2021/22,251.0,Preprimary
Rusizi,West,District,2022/23,372.0,Preprimary
Rutsiro,West,District,2021/22,155.0,Preprimary
Rutsiro,West,District,2022/23,219.0,Preprimary
West,West,Province,2021/22,1641.0,Preprimary
West,West,Province,2022/23,2179.0,Preprimary
Bugesera,East,District,2021/22,331.0,Preprimary
Bugesera,East,District,2022/23,442.0,Preprimary
Gatsibo,East,District,2021/22,356.0,Preprimary
Gatsibo,East,District,2022/23,464.0,Preprimary
Kayonza,East,District,2021/22,151.0,Preprimary
Kayonza,East,District,2022/23,251.0,Preprimary
Kirehe,East,District,2021/22,240.0,Preprimary
Kirehe,East,District,2022/23,268.0,Preprimary
Ngoma,East,District,2021/22,192.0,Preprimary
Ngoma,East,District,2022/23,274.0,Preprimary
Nyagatare,East,District,2021/22,571.0,Preprimary
Nyagatare,East,District,2022/23,662.0,Preprimary
Rwamagana,East,District,2021/22,231.0,Preprimary
Rwamagana,East,District,2022/23,309.0,Preprimary
East,East,Province,2021/22,2072.0,Preprimary
East,East,Province,2022/23,2670.0,Preprimary
Burera,North,District,2021/22,213.0,Preprimary
Burera,North,District,2022/23,269.0,Preprimary
Gakenke,North,District,2021/22,191.0,Preprimary
Gakenke,North,District,2022/23,255.0,Preprimary
Gicumbi,North,District,2021/22,255.0,Preprimary
Gicumbi,North,District,2022/23,309.0,Preprimary
Musanze,North,District,2021/22,362.0,Preprimary
Musanze,North,District,2022/23,575.0,Preprimary
Rulindo,North,District,2021/22,229.0,Preprimary
Rulindo,North,District,2022/23,265.0,Preprimary
North,North,Province,2021/22,1250.0,Preprimary
North,North,Province,2022/23,1673.0,Preprimary
Gasabo,Kigali City,District,2021/22,820.0,Preprimary
Gasabo,Kigali City,District,2022/23,921.0,Preprimary
Kicukiro,Kigali City,District,2021/22,459.0,Preprimary
Kicukiro,Kigali City,District,2022/23,505.0,Preprimary
Nyarugenge,Kigali City,District,2021/22,318.0,Preprimary
Nyarugenge,Kigali City,District,2022/23,387.0,Preprimary
Kigali City,Kigali City,Province,2021/22,1597.0,Preprimary
Kigali City,Kigali City,Province,2022/23,1813.0,Preprimary
Rwanda,Rwanda,National,2021/22,8358.0,Preprimary
Rwanda,Rwanda,National,2022/23,10726.0,Preprimary
Gisagara,South,District,2021/22,1440.0,Primary
Gisagara,South,District,2022/23,1491.0,Primary
Huye,South,District,2021/22,1319.0,Primary
Huye,South,District,2022/23,1398.0,Primary
Kamonyi,South,District,2021/22,1612.0,Primary
Kamonyi,South,District,2022/23,1755.0,Primary
Muhanga,South,District,2021/22,1339.0,Primary
Muhanga,South,District,2022/23,1445.0,Primary
Nyamagabe,South,District,2021/22,1562.0,Primary
Nyamagabe,South,District,2022/23,1650.0,Primary
Nyanza,South,District,2021/22,1273.0,Primary
Nyanza,South,District,2022/23,1378.0,Primary
Nyaruguru,South,District,2021/22,1231.0,Primary
Nyaruguru,South,District,2022/23,1236.0,Primary
Ruhango,South,District,2021/22,1339.0,Primary
Ruhango,South,District,2022/23,1367.0,Primary
South,South,Province,2021/22,11115.0,Primary
South,South,Province,2022/23,11720.0,Primary
Karongi,West,District,2021/22,1488.0,Primary
Karongi,West,District,2022/23,1683.0,Primary
Ngororero,West,District,2021/22,1283.0,Primary
Ngororero,West,District,2022/23,1389.0,Primary
Nyabihu,West,District,2021/22,1254.0,Primary
Nyabihu,West,District,2022/23,1332.0,Primary
Nyamasheke,West,District,2021/22,1670.0,Primary
Nyamasheke,West,District,2022/23,1826.0,Primary
Rubavu,West,District,2021/22,1667.0,Primary
Rubavu,West,District,2022/23,1845.0,Primary
Rusizi,West,District,2021/22,1772.0,Primary
Rusizi,West,District,2022/23,1905.0,Primary
Rutsiro,West,District,2021/22,1363.0,Primary
Rutsiro,West,District,2022/23,1363.0,Primary
West,West,Province,2021/22,10497.0,Primary
West,West,Province,2022/23,11343.0,Primary
Bugesera,East,District,2021/22,1864.0,Primary
Bugesera,East,District,2022/23,1963.0,Primary
Gatsibo,East,District,2021/22,2012.0,Primary
Gatsibo,East,District,2022/23,2185.0,Primary
Kayonza,East,District,2021/22,1573.0,Primary
Kayonza,East,District,2022/23,1689.0,Primary
Kirehe,East,District,2021/22,1632.0,Primary
Kirehe,East,District,2022/23,1724.0,Primary
Ngoma,East,District,2021/22,1486.0,Primary
Ngoma,East,District,2022/23,1632.0,Primary
Nyagatare,East,District,2021/22,2394.0,Primary
Nyagatare,East,District,2022/23,2403.0,Primary
Rwamagana,East,District,2021/22,1540.0,Primary
Rwamagana,East,District,2022/23,1680.0,Primary
East,East,Province,2021/22,12501.0,Primary
East,East,Province,2022/23,13276.0,Primary
Burera,North,District,2021/22,1499.0,Primary
Burera,North,District,2022/23,1613.0,Primary
Gakenke,North,District,2021/22,1389.0,Primary
Gakenke,North,District,2022/23,1502.0,Primary
Gicumbi,North,District,2021/22,1567.0,Primary
Gicumbi,North,District,2022/23,1709.0,Primary
Musanze,North,District,2021/22,1702.0,Primary
Musanze,North,District,2022/23,1843.0,Primary
Rulindo,North,District,2021/22,1219.0,Primary
Rulindo,North,District,2022/23,1328.0,Primary
North,North,Province,2021/22,7376.0,Primary
North,North,Province,2022/23,7995.0,Primary
Gasabo,Kigali City,District,2021/22,2267.0,Primary
Gasabo,Kigali City,District,2022/23,2638.0,Primary
Kicukiro,Kigali City,District,2021/22,1223.0,Primary
Kicukiro,Kigali City,District,2022/23,1419.0,Primary
Nyarugenge,Kigali City,District,2021/22,1031.0,Primary
Nyarugenge,Kigali City,District,2022/23,1170.0,Primary
